Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Vermont,W,70,50,25,58,.431,2,11,.182,18,23,.783,8,32,8,15,7,9,18,,16,52,.308,8,26,.308,10,18,.556,11,36,9,4,7,21,21
2,2,2015-11-18,@,Oakland,L,81,91,30,76,.395,7,30,.233,14,19,.737,15,38,17,9,6,18,26,,29,71,.408,12,31,.387,21,24,.875,13,39,22,3,4,14,21
3,3,2015-11-20,,Siena Heights,W,79,34,31,59,.525,3,9,.333,14,27,.519,7,48,14,15,8,18,20,,13,61,.213,2,22,.091,6,16,.375,11,40,7,7,2,24,24
4,4,2015-11-23,@,Michigan State,L,65,89,23,68,.338,5,19,.263,14,25,.560,10,28,9,7,2,4,21,,31,64,.484,9,20,.450,18,24,.750,15,55,26,2,8,13,22
5,5,2015-11-25,,Marygrove,W,108,64,39,73,.534,4,14,.286,26,40,.650,17,49,24,11,6,11,16,,24,65,.369,7,27,.259,9,16,.563,7,29,13,8,4,23,29
6,6,2015-11-28,,Madonna,W,79,63,27,65,.415,3,15,.200,22,30,.733,19,49,10,13,1,19,10,,25,63,.397,11,34,.324,2,5,.400,7,29,15,13,1,22,29
7,7,2015-12-01,@,Nebraska-Omaha,W,80,73,27,69,.391,8,22,.364,18,27,.667,14,37,13,7,5,13,24,,26,70,.371,4,17,.235,17,25,.680,18,47,13,7,0,16,24
8,8,2015-12-05,@,Penn State,L,70,81,23,54,.426,4,17,.235,20,31,.645,6,29,8,11,3,13,26,,22,61,.361,9,21,.429,28,38,.737,16,45,13,4,0,15,25
9,9,2015-12-08,,Rochester (MI),W,86,58,33,62,.532,6,21,.286,14,17,.824,9,32,14,15,6,12,11,,22,61,.361,9,35,.257,5,9,.556,12,31,13,7,3,21,18
10,10,2015-12-12,@,Louisville,L,53,86,19,64,.297,4,26,.154,11,16,.688,14,34,8,9,2,16,18,,31,58,.534,8,22,.364,16,21,.762,8,38,20,11,7,14,19
11,11,2015-12-21,@,Coppin State,W,73,62,27,52,.519,7,17,.412,12,21,.571,8,30,13,3,2,13,23,,18,60,.300,9,31,.290,17,21,.810,15,32,11,5,5,11,22
12,12,2015-12-28,,Detroit,W,88,73,30,67,.448,4,22,.182,24,30,.800,8,30,18,13,4,10,21,,26,59,.441,9,27,.333,12,24,.500,12,40,9,6,6,23,22
13,13,2016-01-02,,North Florida,L,77,82,29,59,.492,9,25,.360,10,16,.625,15,31,14,9,1,11,15,,31,58,.534,11,24,.458,9,12,.750,10,27,19,4,4,12,17
14,14,2016-01-06,@,Central Michigan,W,99,80,33,50,.660,13,20,.650,20,28,.714,6,32,16,5,0,13,19,,28,63,.444,11,28,.393,13,23,.565,9,23,18,4,0,7,21
15,15,2016-01-09,@,Northern Illinois,L,63,80,19,43,.442,5,19,.263,20,26,.769,3,19,10,13,2,16,20,,25,56,.446,9,24,.375,21,22,.955,11,31,16,8,2,18,19
16,16,2016-01-12,,Buffalo,W,81,69,22,54,.407,2,15,.133,35,47,.745,9,29,10,16,7,8,26,,21,55,.382,6,25,.240,21,35,.600,19,47,8,4,4,23,33
17,17,2016-01-16,,Bowling Green State,L,79,84,26,59,.441,5,22,.227,22,25,.880,10,32,4,7,4,13,23,,28,59,.475,12,23,.522,16,26,.615,14,37,16,7,0,15,23
18,18,2016-01-19,@,Akron,L,88,92,30,58,.517,9,17,.529,19,27,.704,7,26,13,7,2,9,23,,26,55,.473,13,26,.500,27,36,.750,9,28,18,4,5,10,21
19,19,2016-01-23,,Ball State,L (2 OT),87,88,27,70,.386,3,17,.176,30,34,.882,12,36,10,17,2,15,27,,27,58,.466,12,31,.387,22,34,.647,13,43,16,5,3,25,30
20,20,2016-01-26,@,Kent State,L,58,73,19,64,.297,5,18,.278,15,21,.714,11,32,11,9,3,10,27,,22,51,.431,4,13,.308,25,35,.714,13,45,17,5,6,17,19
21,21,2016-01-30,@,Western Michigan,L,86,94,28,65,.431,8,23,.348,22,25,.880,11,27,14,6,3,7,25,,29,59,.492,10,14,.714,26,35,.743,13,35,20,6,4,14,20
22,22,2016-02-02,,Miami (OH),W,94,69,25,50,.500,13,25,.520,31,39,.795,10,32,12,8,3,16,23,,21,60,.350,6,27,.222,21,30,.700,14,33,8,10,3,16,26
23,23,2016-02-06,@,Buffalo,L,70,80,24,59,.407,4,15,.267,18,23,.783,14,41,11,5,9,18,28,,23,63,.365,6,23,.261,28,38,.737,16,38,13,9,4,12,21
24,24,2016-02-09,,Central Michigan,W,71,56,25,51,.490,5,11,.455,16,20,.800,12,38,11,5,3,14,13,,23,63,.365,5,25,.200,5,7,.714,9,25,12,5,5,7,19
25,25,2016-02-13,,Kent State,W,75,70,27,62,.435,1,14,.071,20,32,.625,16,37,6,8,2,8,16,,25,53,.472,5,13,.385,15,21,.714,9,29,6,3,2,15,22
26,26,2016-02-16,@,Ohio,L,64,86,22,52,.423,6,18,.333,14,19,.737,4,23,6,5,5,10,21,,29,60,.483,10,23,.435,18,23,.783,13,39,20,5,2,13,16
27,27,2016-02-20,,Toledo,W,91,85,34,50,.680,11,16,.688,12,16,.750,3,20,18,5,5,16,20,,31,61,.508,7,17,.412,16,19,.842,11,23,17,11,2,9,17
28,28,2016-02-23,,Western Michigan,W,73,62,28,54,.519,6,17,.353,11,18,.611,7,28,10,10,5,15,23,,21,50,.420,3,14,.214,17,26,.654,9,29,7,6,3,18,20
29,29,2016-02-27,@,Ball State,L,79,115,26,63,.413,5,23,.217,22,32,.688,9,27,12,10,1,11,19,,38,69,.551,18,39,.462,21,29,.724,15,42,30,4,2,15,25
30,30,2016-03-01,,Northern Illinois,W,75,71,24,56,.429,5,18,.278,22,31,.710,14,35,7,8,5,16,22,,23,47,.489,5,12,.417,20,28,.714,7,30,10,7,1,21,25
31,31,2016-03-04,@,Toledo,W,79,75,26,61,.426,5,15,.333,22,31,.710,12,40,13,11,3,11,23,,26,56,.464,10,20,.500,13,22,.591,6,29,19,4,3,13,22
32,32,2016-03-07,,Toledo,W,69,60,25,56,.446,5,17,.294,14,21,.667,8,30,9,17,3,10,12,,22,53,.415,7,23,.304,9,14,.643,7,32,11,7,3,19,15
33,33,2016-03-10,N,Akron,L,63,65,22,58,.379,5,14,.357,14,17,.824,10,43,6,3,2,10,15,,21,62,.339,9,33,.273,14,22,.636,10,37,10,4,3,5,18
