,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-10,,Pacific (OR),W,87,58,35,61,.574,6,20,.300,11,15,.733,10,36,21,9,8,10,10,,25,54,.463,7,18,.389,1,3,.333,2,19,16,3,2,15,14
2,2,2013-11-17,@,Washington,L,80,92,29,65,.446,11,26,.423,11,23,.478,10,31,13,5,2,15,24,,30,67,.448,1,13,.077,31,34,.912,11,40,11,8,6,10,21
3,3,2013-11-19,,Walla Walla,W,82,44,32,67,.478,10,26,.385,8,13,.615,13,45,21,10,3,7,14,,16,53,.302,7,31,.226,5,8,.625,5,29,12,3,4,16,7
4,4,2013-11-22,N,Boston University,W,80,68,31,57,.544,10,18,.556,8,14,.571,8,39,15,2,2,16,15,,24,63,.381,9,25,.360,11,19,.579,8,29,14,7,2,8,13
5,5,2013-11-23,N,LIU-Brooklyn,W,102,70,39,61,.639,11,17,.647,13,22,.591,9,34,16,4,4,10,22,,21,60,.350,7,28,.250,21,26,.808,8,24,9,3,3,15,21
6,6,2013-11-24,@,UC-Irvine,L,58,81,18,60,.300,4,21,.190,18,25,.720,14,41,6,4,4,11,15,,27,67,.403,11,19,.579,16,24,.667,15,41,17,8,14,6,13
7,7,2013-11-29,,Seattle,W,82,75,30,59,.508,9,19,.474,13,16,.813,4,25,13,6,6,10,11,,28,63,.444,8,21,.381,11,16,.688,10,33,20,5,6,13,17
8,8,2013-12-08,@,Saint Mary's (CA),L,65,93,23,59,.390,4,23,.174,15,24,.625,10,34,9,5,5,14,25,,31,65,.477,8,17,.471,23,37,.622,18,48,18,9,1,11,17
9,9,2013-12-15,,UC-Irvine,L,61,70,21,63,.333,9,27,.333,10,19,.526,11,31,12,4,4,10,18,,27,55,.491,5,14,.357,11,20,.550,9,40,14,7,8,18,20
10,10,2013-12-22,@,Seton Hall,L,70,92,25,63,.397,10,27,.370,10,17,.588,15,36,11,5,3,16,25,,29,51,.569,7,16,.438,27,38,.711,6,28,16,11,4,11,17
11,11,2013-12-28,N,UConn,L,65,82,25,67,.373,9,28,.321,6,7,.857,13,33,11,5,4,15,23,,27,59,.458,3,10,.300,25,27,.926,12,36,13,9,8,11,13
12,12,2014-01-02,@,Weber State,L,67,74,25,57,.439,4,13,.308,13,16,.813,4,25,8,2,1,9,20,,26,54,.481,6,20,.300,16,25,.640,9,34,16,2,3,9,16
13,13,2014-01-04,@,Idaho State,L,72,83,25,64,.391,14,38,.368,8,9,.889,8,29,13,4,5,10,21,,30,62,.484,5,18,.278,18,24,.750,9,37,14,4,4,8,13
14,14,2014-01-09,,Montana,W,69,62,27,60,.450,4,18,.222,11,22,.500,14,35,16,6,7,8,20,,22,50,.440,5,12,.417,13,19,.684,6,28,9,4,4,13,24
15,15,2014-01-11,,Montana State,W,77,72,27,57,.474,12,23,.522,11,18,.611,7,40,17,4,6,16,21,,27,70,.386,5,20,.250,13,26,.500,17,39,17,12,4,8,21
16,16,2014-01-16,@,Northern Arizona,L,65,84,17,56,.304,4,23,.174,27,33,.818,6,33,4,4,7,13,19,,28,58,.483,4,10,.400,24,31,.774,5,37,12,11,6,9,23
17,17,2014-01-18,@,Sacramento State,L,64,75,20,49,.408,6,17,.353,18,28,.643,6,22,12,6,3,11,23,,26,52,.500,6,15,.400,17,25,.680,9,35,14,6,2,10,23
18,18,2014-01-23,,Southern Utah,W,90,83,24,49,.490,4,15,.267,38,49,.776,9,33,9,6,3,14,16,,32,59,.542,8,17,.471,11,19,.579,5,29,14,8,2,13,33
19,19,2014-01-27,@,Portland State,L,83,92,29,59,.492,9,24,.375,16,25,.640,12,31,19,4,0,19,20,,30,57,.526,9,25,.360,23,27,.852,5,24,20,10,4,11,22
20,20,2014-01-30,,North Dakota,L,61,73,23,61,.377,6,22,.273,9,12,.750,13,36,10,6,6,16,17,,28,60,.467,5,20,.250,12,16,.750,8,32,18,9,5,11,16
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2014-02-01,,Northern Colorado,W (1 OT),94,90,31,57,.544,16,29,.552,16,21,.762,6,32,25,6,10,15,21,,36,74,.486,6,17,.353,12,22,.545,13,33,13,8,5,9,22
22,22,2014-02-06,@,Montana State,W,79,50,28,53,.528,11,21,.524,12,16,.750,9,37,15,9,0,12,16,,19,49,.388,4,17,.235,8,14,.571,4,19,7,5,2,13,14
23,23,2014-02-08,@,Montana,L,77,82,24,62,.387,5,22,.227,24,30,.800,12,35,8,1,4,7,24,,26,58,.448,10,24,.417,20,28,.714,12,35,12,4,4,6,22
24,24,2014-02-13,,Sacramento State,W,85,72,29,52,.558,9,19,.474,18,27,.667,9,34,19,1,5,8,15,,24,54,.444,7,14,.500,17,18,.944,2,23,15,7,0,8,23
25,25,2014-02-15,,Northern Arizona,W,84,65,27,58,.466,16,30,.533,14,23,.609,12,40,20,4,3,12,19,,21,58,.362,3,15,.200,20,24,.833,8,30,10,9,8,9,15
26,26,2014-02-22,@,Southern Utah,W,85,74,24,48,.500,4,12,.333,33,46,.717,6,33,10,4,1,10,26,,23,51,.451,8,16,.500,20,33,.606,8,29,12,3,3,13,34
