Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Mississippi State,L,88,106,33,65,.508,6,22,.273,16,22,.727,9,22,9,8,0,10,20,,41,66,.621,5,17,.294,19,24,.792,10,36,14,4,7,13,21
2,2,2015-11-15,,George Fox,W,126,64,50,79,.633,9,25,.360,17,27,.630,16,49,30,23,7,15,20,,22,59,.373,3,17,.176,17,22,.773,7,22,15,9,3,27,23
3,3,2015-11-18,,Seattle,W,76,70,25,56,.446,15,34,.441,11,16,.688,8,28,16,3,4,7,15,,26,51,.510,9,15,.600,9,13,.692,5,28,18,3,1,10,19
4,4,2015-11-23,@,Seattle,L,52,58,20,52,.385,9,29,.310,3,5,.600,6,30,13,4,5,18,27,,21,47,.447,1,5,.200,15,30,.500,8,35,11,8,0,13,11
5,5,2015-11-28,N,Pacific,W,70,63,21,48,.438,5,24,.208,23,30,.767,7,30,7,7,4,10,18,,21,56,.375,5,17,.294,16,19,.842,8,30,10,4,4,11,25
6,6,2015-11-29,N,South Dakota,L,71,77,26,59,.441,12,31,.387,7,11,.636,6,20,15,5,4,8,18,,28,48,.583,3,7,.429,18,21,.857,5,29,13,5,3,10,18
7,7,2015-12-01,@,San Francisco,W,81,77,29,57,.509,14,30,.467,9,18,.500,4,19,15,5,5,8,23,,29,52,.558,3,15,.200,16,22,.727,9,34,13,5,1,16,16
8,8,2015-12-06,,Great Falls,W,104,64,34,64,.531,17,40,.425,19,29,.655,12,41,20,10,4,6,20,,24,55,.436,6,16,.375,10,20,.500,4,25,11,4,1,13,22
9,9,2015-12-09,@,Davidson,L,86,96,33,68,.485,10,27,.370,10,12,.833,9,31,9,6,2,11,18,,34,57,.596,13,26,.500,15,19,.789,3,30,18,7,4,11,14
10,10,2015-12-11,@,Pitt,L,51,84,19,51,.373,7,23,.304,6,10,.600,4,18,8,5,1,14,18,,28,56,.500,6,14,.429,22,27,.815,12,38,15,5,3,12,12
11,11,2015-12-14,@,Western Carolina,L,80,97,26,49,.531,13,27,.481,15,26,.577,5,22,8,5,1,17,25,,32,57,.561,9,20,.450,24,30,.800,11,32,18,10,1,11,22
12,12,2015-12-20,@,Denver,W,74,58,26,51,.510,12,25,.480,10,15,.667,14,39,12,6,4,14,17,,21,52,.404,4,17,.235,12,16,.750,7,19,11,6,2,7,14
13,13,2015-12-31,@,Northern Colorado,L,90,96,33,70,.471,7,21,.333,17,22,.773,14,30,7,3,1,7,14,,40,65,.615,9,13,.692,7,15,.467,11,36,16,1,4,12,22
14,14,2016-01-02,@,North Dakota,L,71,79,24,62,.387,11,28,.393,12,18,.667,6,30,13,4,2,14,20,,29,55,.527,2,9,.222,19,31,.613,7,33,14,9,7,9,15
15,15,2016-01-09,,Idaho,W,74,60,25,47,.532,15,29,.517,9,18,.500,4,29,15,3,9,11,20,,20,64,.313,3,15,.200,17,25,.680,14,38,8,7,2,6,20
16,16,2016-01-14,,Southern Utah,W,106,80,38,62,.613,11,18,.611,19,28,.679,5,33,15,6,2,9,28,,28,59,.475,3,15,.200,21,31,.677,6,29,14,3,2,12,25
17,17,2016-01-16,,Northern Arizona,W,96,73,36,65,.554,10,26,.385,14,16,.875,13,39,18,5,5,11,15,,27,61,.443,9,18,.500,10,12,.833,5,18,17,5,3,9,16
18,18,2016-01-21,@,Montana State,L,71,85,23,55,.418,7,25,.280,18,29,.621,8,37,5,3,7,13,21,,30,66,.455,11,22,.500,14,21,.667,9,37,17,3,4,6,24
19,19,2016-01-23,@,Montana,L,69,74,25,53,.472,6,20,.300,13,21,.619,9,26,8,11,1,14,17,,29,50,.580,5,11,.455,11,16,.688,6,26,12,6,3,15,17
20,20,2016-01-28,,Portland State,W,112,83,37,58,.638,20,31,.645,18,27,.667,4,29,22,6,8,10,27,,31,64,.484,3,11,.273,18,32,.563,13,33,20,5,4,13,19
21,21,2016-01-30,,Sacramento State,W,74,67,27,57,.474,1,20,.050,19,24,.792,8,36,9,4,4,12,12,,27,66,.409,8,22,.364,5,8,.625,8,30,10,4,4,10,23
22,22,2016-02-04,@,Northern Arizona,W,84,73,24,53,.453,13,34,.382,23,37,.622,7,34,15,5,5,10,18,,27,58,.466,5,18,.278,14,24,.583,6,34,12,5,0,11,26
23,23,2016-02-06,@,Southern Utah,W,81,67,26,50,.520,9,19,.474,20,24,.833,4,27,10,5,4,10,14,,24,56,.429,11,23,.478,8,13,.615,6,24,13,6,5,12,20
24,24,2016-02-11,,North Dakota,W,95,85,30,58,.517,11,29,.379,24,32,.750,10,38,19,2,7,11,19,,30,64,.469,6,13,.462,19,26,.731,8,29,20,6,4,6,24
25,25,2016-02-13,,Northern Colorado,W,97,80,33,59,.559,14,32,.438,17,23,.739,8,34,21,8,7,15,19,,27,63,.429,5,17,.294,21,23,.913,10,29,15,8,1,15,22
26,26,2016-02-18,@,Sacramento State,W,93,88,31,58,.534,11,26,.423,20,33,.606,7,35,15,4,4,14,19,,34,68,.500,5,15,.333,15,26,.577,11,34,21,11,6,6,22
27,27,2016-02-20,@,Portland State,L,91,107,31,62,.500,8,25,.320,21,26,.808,7,24,11,7,2,17,20,,44,68,.647,5,12,.417,14,20,.700,10,34,24,13,1,13,26
28,28,2016-02-27,@,Idaho,L,62,66,22,51,.431,9,29,.310,9,12,.750,4,25,10,3,2,12,16,,26,54,.481,6,16,.375,8,12,.667,7,29,14,5,3,12,17
29,29,2016-03-03,,Idaho State,L,71,75,27,62,.435,8,28,.286,9,19,.474,9,32,14,7,4,12,23,,25,55,.455,3,13,.231,22,32,.688,6,40,10,10,6,10,18
30,30,2016-03-05,,Weber State,L,77,79,27,57,.474,10,20,.500,13,23,.565,7,23,8,9,3,9,31,,20,37,.541,7,14,.500,32,43,.744,6,32,12,4,3,18,22
