Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-08,,Washington & Lee,W,114,64,41,57,.719,12,21,.571,20,23,.870,9,34,19,11,2,13,17,,22,54,.407,6,20,.300,14,21,.667,5,13,12,5,1,13,20
2,2,2013-11-10,@,Marist,W,75,48,30,60,.500,10,27,.370,5,9,.556,5,30,17,8,4,11,21,,15,48,.313,0,14,.000,18,26,.692,7,35,1,6,0,18,15
3,3,2013-11-15,@,Charlotte,L,69,83,27,65,.415,10,27,.370,5,6,.833,3,22,16,9,3,12,27,,28,55,.509,4,13,.308,23,33,.697,10,44,11,5,3,19,12
4,4,2013-11-18,N,Drexel,L,64,71,21,48,.438,2,16,.125,20,24,.833,1,22,7,1,5,9,27,,21,49,.429,4,11,.364,25,38,.658,11,37,7,5,0,10,27
5,5,2013-11-19,N,Canisius,L,85,86,26,57,.456,9,19,.474,24,27,.889,9,30,13,5,1,15,25,,30,52,.577,4,15,.267,22,34,.647,7,23,10,10,1,11,24
6,6,2013-11-25,,Metropolitan State,L,74,75,21,46,.457,12,21,.571,20,26,.769,3,26,16,2,5,13,15,,27,57,.474,6,15,.400,15,19,.789,6,26,6,11,3,8,23
7,7,2013-11-26,,Georgia State,W,90,85,27,48,.563,15,24,.625,21,26,.808,6,26,18,2,0,11,15,,32,60,.533,10,17,.588,11,15,.733,8,25,14,6,3,7,20
8,8,2013-12-01,,Columbia,W (1 OT),68,65,25,56,.446,6,13,.462,12,18,.667,4,33,8,4,7,12,15,,23,55,.418,9,22,.409,10,16,.625,6,33,8,5,1,17,21
9,9,2013-12-03,,Virginia Military Institute,W,87,70,30,53,.566,6,18,.333,21,38,.553,7,34,15,6,2,11,16,,26,66,.394,6,21,.286,12,15,.800,7,29,10,5,2,12,26
10,10,2013-12-13,@,Colorado,L,63,80,22,59,.373,13,32,.406,6,15,.400,4,27,12,10,0,10,27,,24,49,.490,5,13,.385,27,46,.587,14,53,13,6,3,16,18
11,11,2013-12-17,@,Georgetown,L,76,85,27,54,.500,13,29,.448,9,18,.500,7,27,19,2,2,11,24,,28,52,.538,6,11,.545,23,31,.742,5,25,20,8,1,5,19
12,12,2013-12-19,,Central Pennsylvania College,W,126,78,51,87,.586,9,27,.333,15,18,.833,15,57,25,9,6,15,14,,30,83,.361,6,17,.353,12,21,.571,11,30,5,12,6,13,17
13,13,2013-12-22,@,Florida Atlantic,W,67,62,20,52,.385,8,20,.400,19,23,.826,8,34,8,7,4,14,20,,23,63,.365,4,22,.182,12,20,.600,13,33,10,7,4,11,20
14,14,2013-12-31,N,Duke,L,48,86,19,54,.352,5,21,.238,5,7,.714,6,33,9,3,2,21,22,,32,66,.485,10,19,.526,12,23,.522,10,38,13,12,5,7,15
15,15,2014-01-04,@,Western Carolina,L,62,74,20,44,.455,5,14,.357,17,26,.654,7,30,9,9,1,23,16,,28,65,.431,6,15,.400,12,15,.800,12,31,14,14,4,14,21
16,16,2014-01-06,,Appalachian State,W,75,66,29,53,.547,3,13,.231,14,18,.778,11,32,17,2,3,15,19,,22,47,.468,2,10,.200,20,29,.690,5,17,7,8,1,11,19
17,17,2014-01-11,,Citadel,W,74,65,25,62,.403,9,31,.290,15,20,.750,10,30,14,1,4,4,11,,27,54,.500,5,13,.385,6,9,.667,8,32,10,1,2,10,19
18,18,2014-01-16,@,Davidson,W (1 OT),87,85,34,67,.507,7,18,.389,12,16,.750,10,44,18,1,4,11,10,,33,76,.434,6,23,.261,13,16,.813,8,29,13,9,1,3,15
19,19,2014-01-18,,UMass,L,74,84,22,64,.344,9,24,.375,21,27,.778,12,30,13,7,3,7,23,,27,58,.466,4,10,.400,26,35,.743,14,42,13,4,3,11,21
20,20,2014-01-23,@,Chattanooga,L,63,84,21,50,.420,6,18,.333,15,19,.789,6,22,13,2,3,13,19,,24,51,.471,8,14,.571,28,32,.875,9,32,13,4,6,9,19
21,21,2014-01-25,@,Samford,L,59,62,20,51,.392,10,26,.385,9,12,.750,8,23,16,6,1,12,12,,23,44,.523,5,14,.357,11,13,.846,6,25,19,7,4,12,13
22,22,2014-01-30,,Western Carolina,W,74,60,26,49,.531,9,17,.529,13,23,.565,10,31,12,8,2,12,7,,25,62,.403,10,23,.435,0,0,,14,28,10,8,5,14,16
23,23,2014-02-01,@,Appalachian State,W,83,76,29,52,.558,11,25,.440,14,18,.778,9,25,20,5,2,8,17,,26,49,.531,9,21,.429,15,24,.625,11,26,16,4,1,11,15
24,24,2014-02-06,,North Carolina-Greensboro,W,72,66,25,62,.403,2,20,.100,20,27,.741,15,35,8,5,6,12,19,,23,64,.359,2,13,.154,18,25,.720,14,37,8,6,1,11,23
25,25,2014-02-08,,Georgia Southern,W,60,59,21,63,.333,7,33,.212,11,18,.611,10,38,9,4,0,11,14,,24,63,.381,3,14,.214,8,13,.615,12,40,9,5,3,11,19
26,26,2014-02-15,,Samford,W,86,69,31,58,.534,10,22,.455,14,19,.737,8,33,18,3,4,7,17,,27,58,.466,3,11,.273,12,23,.522,8,26,8,2,1,6,18
27,27,2014-02-19,@,North Carolina-Greensboro,W,81,68,25,52,.481,8,17,.471,23,26,.885,5,35,14,4,3,14,19,,25,71,.352,2,17,.118,16,26,.615,15,36,6,7,3,11,21
28,28,2014-02-22,@,Georgia Southern,W,66,61,26,55,.473,10,28,.357,4,8,.500,11,35,15,4,4,10,13,,24,61,.393,4,19,.211,9,16,.563,13,30,6,6,0,9,13
29,29,2014-02-24,@,Furman,W,78,49,32,59,.542,7,18,.389,7,11,.636,4,33,19,8,2,9,20,,15,50,.300,6,21,.286,13,23,.565,6,28,10,3,1,15,12
30,30,2014-02-27,,Wofford,L,59,63,18,48,.375,3,10,.300,20,23,.870,10,32,5,4,5,12,18,,17,45,.378,7,19,.368,22,27,.815,6,25,11,7,1,10,19
31,31,2014-03-01,,Davidson,L,69,86,23,51,.451,5,15,.333,18,28,.643,4,20,9,3,0,8,19,,31,50,.620,8,17,.471,16,22,.727,5,31,9,1,0,11,24
32,32,2014-03-08,N,Western Carolina,L,64,66,23,53,.434,5,19,.263,13,22,.591,9,30,11,6,3,13,18,,24,60,.400,4,16,.250,14,22,.636,16,37,10,6,8,12,19
