Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-15,,Southeast Missouri State,W,80,65,24,54,.444,4,15,.267,28,34,.824,8,42,17,2,9,14,23,,25,59,.424,5,14,.357,10,22,.455,3,23,14,7,2,9,27
2,2,2015-11-17,,Marian,W,84,59,32,61,.525,1,11,.091,19,29,.655,9,35,22,7,2,10,18,,19,55,.345,7,25,.280,14,19,.737,7,26,12,4,5,17,24
3,3,2015-11-21,,Belmont,W,93,88,31,60,.517,6,12,.500,25,38,.658,9,32,23,8,1,9,17,,35,63,.556,9,30,.300,9,13,.692,5,29,24,5,1,15,28
4,4,2015-11-26,N,Providence,L,64,74,27,53,.509,5,14,.357,5,11,.455,4,27,26,2,9,15,22,,23,57,.404,5,16,.313,23,29,.793,10,30,12,6,4,10,19
5,5,2015-11-27,N,Santa Clara,W,69,57,24,51,.471,5,14,.357,16,22,.727,7,36,21,6,2,14,20,,22,54,.407,3,15,.200,10,16,.625,7,28,17,3,2,11,23
6,6,2015-11-29,N,UC-Irvine,W,75,56,26,47,.553,4,11,.364,19,23,.826,3,34,23,3,6,12,18,,20,62,.323,3,15,.200,13,19,.684,6,26,16,3,3,5,16
7,7,2015-12-01,,Alabama State,W,88,56,35,51,.686,5,9,.556,13,22,.591,3,33,26,4,5,12,12,,21,64,.328,7,19,.368,7,13,.538,9,25,11,6,5,12,20
8,8,2015-12-05,@,Murray State,W (1 OT),85,81,32,57,.561,2,7,.286,19,24,.792,6,27,21,11,3,17,20,,28,55,.509,10,21,.476,15,17,.882,3,25,15,7,1,17,19
9,9,2015-12-08,@,Arkansas,L,76,89,28,57,.491,3,17,.176,17,19,.895,7,26,17,7,6,14,23,,28,52,.538,9,13,.692,24,30,.800,4,25,18,10,8,11,16
10,10,2015-12-12,,Mississippi Valley State,W,95,60,28,69,.406,9,19,.474,30,43,.698,17,56,21,7,9,9,22,,17,58,.293,5,18,.278,21,31,.677,6,35,10,8,4,16,29
