,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Johnson University,W,103,71,42,82,.512,6,24,.250,13,27,.481,20,53,20,9,4,12,16,,26,70,.371,7,23,.304,12,22,.545,13,36,10,5,0,18,20
2,2,2015-11-15,@,Southern Illinois,L,51,81,16,53,.302,5,20,.250,14,19,.737,5,28,6,8,1,24,24,,29,61,.475,7,20,.350,16,26,.615,13,42,18,13,3,18,22
3,3,2015-11-18,,Thomas University,W,70,68,20,50,.400,5,14,.357,25,38,.658,8,31,8,10,2,16,26,,25,57,.439,5,17,.294,13,20,.650,5,30,8,5,1,21,34
4,4,2015-11-21,@,Houston,L,52,97,17,47,.362,4,17,.235,14,30,.467,8,32,6,5,0,22,17,,39,67,.582,9,27,.333,10,18,.556,9,36,21,13,3,9,23
5,5,2015-11-24,@,UTEP,L,54,72,20,58,.345,6,22,.273,8,13,.615,7,30,9,12,0,20,19,,27,54,.500,7,15,.467,11,17,.647,6,37,16,6,3,21,17
6,6,2015-11-27,N,Abilene Christian,L,62,72,24,58,.414,2,14,.143,12,22,.545,7,26,12,5,4,16,22,,23,51,.451,7,15,.467,19,25,.760,9,36,8,9,5,17,22
7,7,2015-11-28,N,Alcorn State,W,73,71,27,56,.482,8,16,.500,11,19,.579,11,33,18,7,4,14,18,,26,59,.441,3,19,.158,16,23,.696,13,35,8,4,5,14,14
8,8,2015-12-02,@,Kennesaw State,L,41,61,17,50,.340,1,10,.100,6,12,.500,6,32,5,8,2,16,18,,23,62,.371,4,17,.235,11,19,.579,15,47,15,10,1,13,15
9,9,2015-12-05,,South Carolina State,L,67,79,21,53,.396,7,17,.412,18,25,.720,7,28,13,3,1,12,22,,28,52,.538,5,9,.556,18,25,.720,3,26,11,9,3,8,18
10,10,2015-12-12,,Samford,L,67,86,21,46,.457,7,14,.500,18,28,.643,6,21,13,8,0,17,18,,30,52,.577,11,23,.478,15,21,.714,7,30,7,7,3,18,23
11,11,2015-12-15,,Southeastern Louisiana,W,67,64,21,49,.429,8,15,.533,17,31,.548,6,32,8,8,2,15,22,,21,57,.368,6,21,.286,16,27,.593,10,31,6,10,0,16,24
12,12,2015-12-19,@,North Florida,L,70,87,25,66,.379,7,24,.292,13,23,.565,14,36,14,5,1,14,16,,31,64,.484,12,26,.462,13,14,.929,7,33,17,6,4,8,15
13,13,2015-12-21,@,Jacksonville,L,66,68,25,57,.439,5,17,.294,11,17,.647,4,35,12,5,0,14,18,,23,60,.383,9,22,.409,13,19,.684,10,35,11,5,3,11,19
14,14,2015-12-29,@,Florida International,L,45,65,16,52,.308,3,21,.143,10,18,.556,8,30,7,4,4,12,9,,27,58,.466,9,23,.391,2,6,.333,9,36,16,7,7,10,14
15,15,2016-01-05,,Savannah State,W,61,58,23,60,.383,3,19,.158,12,19,.632,14,38,3,3,2,9,12,,22,52,.423,7,26,.269,7,11,.636,4,26,5,4,1,7,18
16,16,2016-01-09,@,Norfolk State,L,56,77,17,56,.304,8,22,.364,14,21,.667,9,32,10,4,1,15,17,,25,58,.431,8,23,.348,19,24,.792,9,42,16,6,6,13,20
17,17,2016-01-11,@,Hampton,L (1 OT),65,71,16,56,.286,6,26,.231,27,33,.818,6,34,9,8,3,18,20,,26,68,.382,6,24,.250,13,20,.650,15,50,18,7,4,21,26
18,18,2016-01-16,,Morgan State,W,72,65,26,58,.448,3,14,.214,17,23,.739,10,29,12,10,2,12,16,,26,57,.456,3,14,.214,10,20,.500,12,34,4,9,0,17,18
19,19,2016-01-18,,Coppin State,L,66,70,25,59,.424,8,21,.381,8,21,.381,10,33,12,7,5,14,14,,26,66,.394,4,24,.167,14,22,.636,12,41,15,8,1,13,16
20,20,2016-01-30,@,Bethune-Cookman,L,56,88,18,55,.327,5,22,.227,15,27,.556,11,35,12,4,2,14,22,,31,60,.517,8,23,.348,18,27,.667,8,35,19,7,3,10,26
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-02-01,,North Carolina Central,L,63,81,23,51,.451,5,15,.333,12,22,.545,4,28,10,2,3,13,24,,28,56,.500,5,16,.313,20,28,.714,5,31,12,11,0,5,19
22,22,2016-02-08,,Delaware State,W (2 OT),96,95,36,64,.563,10,28,.357,14,37,.378,15,40,21,12,4,21,26,,33,72,.458,14,29,.483,15,24,.625,11,33,12,7,0,19,27
23,23,2016-02-13,@,North Carolina A&T,L,68,75,20,48,.417,9,18,.500,19,31,.613,5,23,12,8,0,21,33,,16,47,.340,4,19,.211,39,48,.813,8,34,9,8,2,18,28
24,24,2016-02-15,@,North Carolina Central,L,74,79,29,57,.509,8,21,.381,8,14,.571,8,22,17,5,1,15,19,,23,52,.442,11,20,.550,22,32,.688,12,32,13,7,1,14,16
25,25,2016-02-20,,Bethune-Cookman,L,54,55,22,54,.407,6,21,.286,4,10,.400,6,29,9,4,2,10,18,,18,53,.340,5,23,.217,14,18,.778,9,36,7,5,5,13,13
26,26,2016-02-22,@,Maryland-Eastern Shore,W (2 OT),81,80,25,56,.446,10,23,.435,21,34,.618,5,29,11,9,4,21,25,,25,57,.439,6,19,.316,24,32,.750,8,36,15,11,2,21,28
