Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-08,,Ave Maria,W,86,51,30,64,.469,14,33,.424,12,21,.571,15,47,23,7,3,16,22,,18,51,.353,5,18,.278,10,24,.417,8,28,4,9,1,15,15
2,2,2013-11-11,,St. Francis (NY),L,57,59,18,52,.346,1,8,.125,20,30,.667,8,34,9,5,1,15,18,,21,53,.396,5,19,.263,12,20,.600,8,35,8,6,3,17,24
3,3,2013-11-15,@,Duke,L,64,97,23,62,.371,4,15,.267,14,24,.583,16,37,10,5,5,14,18,,34,62,.548,12,23,.522,17,24,.708,7,37,19,8,3,9,20
4,4,2013-11-17,@,Boston College,L,79,82,28,58,.483,4,11,.364,19,25,.760,10,27,8,0,2,8,25,,25,55,.455,8,22,.364,24,27,.889,9,27,13,3,5,8,20
5,5,2013-11-22,@,Detroit,L,44,77,14,44,.318,2,9,.222,14,20,.700,12,30,6,8,5,23,16,,26,54,.481,7,14,.500,18,20,.900,7,25,14,10,5,12,17
6,6,2013-11-23,N,Stony Brook,L,61,67,19,63,.302,10,36,.278,13,22,.591,14,41,11,4,4,10,26,,22,56,.393,1,5,.200,22,36,.611,13,44,7,6,5,9,19
7,7,2013-11-24,N,Toledo,L,74,94,30,63,.476,6,21,.286,8,18,.444,11,27,16,4,3,14,27,,29,56,.518,2,6,.333,34,36,.944,7,29,12,6,3,9,21
8,8,2013-12-03,,UCF,W,75,64,28,57,.491,4,12,.333,15,31,.484,12,39,10,5,3,13,16,,25,59,.424,3,19,.158,11,28,.393,10,30,5,7,2,12,23
9,9,2013-12-07,,Jacksonville,W,83,63,29,55,.527,7,19,.368,18,26,.692,8,34,16,4,4,9,18,,22,58,.379,4,15,.267,15,24,.625,9,28,12,5,3,11,19
10,10,2013-12-12,@,DePaul,L,70,81,25,55,.455,5,16,.313,15,20,.750,10,26,11,6,4,11,19,,32,61,.525,6,13,.462,11,18,.611,15,35,15,3,2,12,18
11,11,2013-12-14,@,Maryland,L,62,66,22,56,.393,9,22,.409,9,11,.818,9,31,10,6,2,13,14,,25,63,.397,7,20,.350,9,12,.750,16,38,18,6,8,9,10
12,12,2013-12-17,@,Stetson,L,62,64,21,48,.438,5,16,.313,15,22,.682,16,28,12,3,4,10,16,,24,49,.490,7,17,.412,9,13,.692,10,24,18,4,5,8,16
13,13,2013-12-22,,Elon,L,62,67,23,63,.365,4,22,.182,12,20,.600,13,33,10,7,4,11,20,,20,52,.385,8,20,.400,19,23,.826,8,34,8,7,4,14,20
14,14,2014-01-01,,Warner Southern,W,81,47,29,55,.527,7,18,.389,16,31,.516,18,57,17,3,7,17,20,,13,59,.220,3,21,.143,18,24,.750,9,21,4,7,2,8,20
15,15,2014-01-09,@,Louisiana Tech,L,64,84,27,62,.435,4,17,.235,6,12,.500,12,33,12,3,7,18,16,,31,72,.431,4,19,.211,18,28,.643,19,43,16,9,9,10,15
16,16,2014-01-11,@,Rice,W,73,68,22,55,.400,8,24,.333,21,29,.724,9,30,14,7,5,10,16,,23,52,.442,9,23,.391,13,15,.867,5,30,18,3,6,16,21
17,17,2014-01-16,,East Carolina,W,78,67,25,61,.410,10,28,.357,18,23,.783,15,33,12,5,6,6,18,,21,57,.368,8,27,.296,17,22,.773,17,38,5,2,1,12,21
18,18,2014-01-18,,Old Dominion,L,60,65,22,46,.478,7,15,.467,9,18,.500,9,31,7,3,4,13,18,,23,47,.489,4,11,.364,15,24,.625,7,20,8,5,2,8,17
19,19,2014-01-21,,Harvard,W,68,53,23,49,.469,8,15,.533,14,20,.700,6,37,13,3,12,13,20,,14,61,.230,2,12,.167,23,34,.676,18,37,6,7,7,7,21
20,20,2014-01-25,@,Florida International,L,57,66,21,55,.382,8,21,.381,7,15,.467,9,24,13,7,2,13,15,,25,52,.481,2,9,.222,14,21,.667,14,40,10,7,6,15,14
21,21,2014-01-30,@,Charlotte,L,53,62,21,56,.375,6,23,.261,5,13,.385,8,34,10,7,5,13,19,,20,60,.333,6,18,.333,16,20,.800,11,39,12,5,1,11,17
22,22,2014-02-01,@,Marshall,W,65,57,25,47,.532,5,18,.278,10,20,.500,6,32,14,8,5,10,17,,21,54,.389,6,21,.286,9,16,.563,7,25,14,2,2,11,16
23,23,2014-02-06,,Middle Tennessee,L,63,67,20,52,.385,10,25,.400,13,17,.765,7,27,10,6,6,13,15,,28,53,.528,3,8,.375,8,13,.615,7,29,15,9,4,13,17
24,24,2014-02-08,,Alabama-Birmingham,W,82,71,27,57,.474,7,16,.438,21,26,.808,7,38,18,2,6,8,17,,26,69,.377,5,20,.250,14,21,.667,12,31,9,5,0,5,20
25,25,2014-02-13,@,UTEP,W,71,69,26,50,.520,10,20,.500,9,13,.692,9,25,10,6,5,13,19,,24,51,.471,4,7,.571,17,22,.773,7,22,13,6,4,9,14
26,26,2014-02-15,@,UTSA,L,56,66,21,67,.313,7,33,.212,7,13,.538,11,35,9,4,7,6,23,,21,49,.429,6,17,.353,18,27,.667,9,42,8,4,0,16,17
27,27,2014-02-20,,Tulsa,L,52,71,15,48,.313,5,19,.263,17,23,.739,8,30,9,3,6,13,14,,28,59,.475,4,12,.333,11,16,.688,12,39,12,4,2,9,19
28,28,2014-02-22,,North Texas,L,76,78,29,53,.547,6,14,.429,12,19,.632,10,29,17,2,5,13,15,,27,50,.540,7,14,.500,17,24,.708,8,23,12,7,1,7,16
29,29,2014-02-26,@,Tulane,L,64,72,24,51,.471,4,14,.286,12,16,.750,6,27,14,8,7,17,27,,21,59,.356,4,13,.308,26,36,.722,18,40,8,10,1,12,16
30,30,2014-03-02,,Southern Miss,L,49,60,16,54,.296,8,31,.258,9,14,.643,9,30,11,2,4,12,22,,15,43,.349,2,10,.200,28,37,.757,7,33,8,7,0,9,15
31,31,2014-03-06,,Florida International,L,70,74,25,57,.439,8,20,.400,12,12,1.000,13,30,12,6,3,20,19,,24,48,.500,6,12,.500,20,24,.833,7,23,8,13,1,16,14
32,32,2014-03-11,N,Marshall,L,59,63,19,45,.422,7,18,.389,14,23,.609,7,34,6,2,1,15,15,,24,63,.381,5,20,.250,10,14,.714,14,36,7,4,1,9,18
