,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-08,N,Eastern Kentucky,L,61,83,20,57,.351,4,14,.286,17,35,.486,16,41,9,3,3,14,22,,26,53,.491,9,24,.375,22,30,.733,3,28,16,10,0,8,24
2,2,2013-11-09,N,Youngstown State,L (1 OT),72,74,25,64,.391,8,21,.381,14,20,.700,15,39,13,6,1,11,16,,27,58,.466,11,29,.379,9,13,.692,7,27,17,6,4,11,20
3,3,2013-11-10,@,Kennesaw State,W,66,58,23,54,.426,3,12,.250,17,24,.708,11,32,7,8,3,6,16,,22,61,.361,9,26,.346,5,9,.556,14,37,14,0,6,14,20
4,4,2013-11-12,N,Warren Wilson,W,93,56,35,61,.574,7,15,.467,16,21,.762,14,39,16,10,6,12,19,,22,56,.393,2,13,.154,10,14,.714,7,19,15,2,1,16,18
5,5,2013-11-14,,Florida College,W,85,39,39,70,.557,7,18,.389,0,4,.000,10,49,22,12,7,15,13,,14,64,.219,3,25,.120,8,13,.615,9,29,10,9,3,16,12
6,6,2013-11-16,,Texas Southern,W,70,68,28,62,.452,5,15,.333,9,17,.529,11,35,11,7,4,8,23,,20,55,.364,4,16,.250,24,31,.774,10,37,11,2,3,13,15
7,7,2013-11-18,,Stetson,W,75,66,25,49,.510,5,15,.333,20,26,.769,9,35,12,8,10,12,17,,25,66,.379,5,19,.263,11,17,.647,11,30,10,6,5,14,23
8,8,2013-11-21,@,Bethune-Cookman,W,82,67,22,51,.431,7,21,.333,31,39,.795,15,45,12,4,4,14,17,,23,61,.377,7,22,.318,14,22,.636,8,24,8,6,3,7,25
9,9,2013-11-24,@,South Carolina,L,72,84,24,50,.480,6,16,.375,18,21,.857,5,23,13,9,3,16,18,,30,59,.508,8,19,.421,16,21,.762,11,28,19,5,3,12,15
10,10,2013-11-30,,Georgia State,W,61,60,25,55,.455,4,15,.267,7,12,.583,13,45,9,6,8,19,16,,22,58,.379,7,18,.389,9,16,.563,7,26,10,9,6,7,11
11,11,2013-12-03,,Nova Southeastern,L,59,77,20,47,.426,1,10,.100,18,28,.643,10,35,10,8,8,23,19,,22,55,.400,14,34,.412,19,24,.792,7,24,15,9,5,12,20
12,12,2013-12-07,,Florida Gulf Coast,W,72,61,23,51,.451,4,15,.267,22,25,.880,8,35,7,5,3,14,13,,27,60,.450,2,14,.143,5,12,.417,10,29,14,4,3,12,21
13,13,2013-12-21,,Louisville,L,56,85,18,54,.333,5,17,.294,15,22,.682,13,33,6,2,3,19,21,,26,54,.481,13,24,.542,20,32,.625,9,31,20,9,6,9,21
14,14,2013-12-28,@,Georgetown,L,57,92,19,46,.413,5,13,.385,14,26,.538,8,18,10,5,1,16,19,,34,56,.607,5,14,.357,19,24,.792,11,30,16,5,7,11,20
15,15,2014-01-02,@,Florida A&M,L (1 OT),88,93,26,53,.491,3,13,.231,33,51,.647,6,34,10,9,3,10,19,,36,83,.434,7,22,.318,14,21,.667,15,36,13,3,3,11,32
16,16,2014-01-09,@,Rice,W,71,60,26,52,.500,6,18,.333,13,19,.684,5,36,13,4,4,6,18,,22,57,.386,7,24,.292,9,16,.563,8,28,12,0,4,6,16
17,17,2014-01-11,@,Louisiana Tech,L,51,85,18,51,.353,2,9,.222,13,22,.591,7,28,5,8,1,18,24,,28,67,.418,7,24,.292,22,36,.611,19,47,17,12,6,10,18
18,18,2014-01-16,,Old Dominion,L,36,52,13,42,.310,3,17,.176,7,14,.500,7,24,7,8,8,18,18,,19,51,.373,3,12,.250,11,13,.846,10,32,9,12,4,14,16
19,19,2014-01-18,,East Carolina,W,68,64,24,46,.522,4,15,.267,16,26,.615,7,29,13,9,5,10,19,,22,50,.440,6,19,.316,14,24,.583,7,26,15,7,0,13,24
20,20,2014-01-25,,Florida Atlantic,W,66,57,25,52,.481,2,9,.222,14,21,.667,14,40,10,7,6,15,14,,21,55,.382,8,21,.381,7,15,.467,9,24,13,7,2,13,15
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2014-01-30,@,Marshall,L,68,80,28,62,.452,4,21,.190,8,13,.615,11,33,11,5,1,10,16,,29,57,.509,6,17,.353,16,19,.842,6,29,17,5,1,9,9
22,22,2014-02-01,@,Charlotte,L,61,73,25,65,.385,1,12,.083,10,18,.556,18,39,8,6,2,10,18,,27,53,.509,8,15,.533,11,17,.647,10,31,15,6,3,12,14
23,23,2014-02-06,,Alabama-Birmingham,W,78,73,27,55,.491,7,14,.500,17,26,.654,11,34,10,12,11,16,15,,26,62,.419,3,17,.176,18,23,.783,12,32,14,6,4,14,16
24,24,2014-02-08,,Middle Tennessee,L,68,70,26,51,.510,5,12,.417,11,18,.611,5,19,14,5,4,13,12,,28,57,.491,2,12,.167,12,16,.750,12,33,15,5,4,14,18
25,25,2014-02-13,@,UTSA,W,80,72,27,56,.482,8,21,.381,18,25,.720,7,30,9,4,2,7,22,,23,58,.397,3,18,.167,23,29,.793,14,37,10,2,5,13,18
26,26,2014-02-15,@,UTEP,L,71,84,26,61,.426,4,21,.190,15,20,.750,14,28,9,13,3,13,20,,28,49,.571,7,12,.583,21,27,.778,8,31,21,5,3,17,15
27,27,2014-02-20,,North Texas,L,63,65,23,58,.397,3,15,.200,14,19,.737,11,30,11,5,4,9,17,,27,56,.482,2,7,.286,9,15,.600,9,34,14,3,7,11,15
28,28,2014-02-22,,Tulsa,L,65,77,19,55,.345,5,15,.333,22,32,.688,4,25,8,7,3,15,28,,21,46,.457,4,12,.333,31,48,.646,7,40,9,11,7,18,27
29,29,2014-02-27,@,Southern Miss,L,66,78,24,49,.490,9,22,.409,9,16,.563,7,27,17,9,4,25,22,,27,59,.458,4,14,.286,20,29,.690,13,32,18,14,1,14,14
