Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Trinity Baptist,W,71,39,27,53,.509,3,13,.231,14,22,.636,5,34,15,9,7,5,12,,13,52,.250,7,23,.304,6,14,.429,9,32,8,0,2,15,18
2,2,2015-11-16,,Florida Memorial,W,67,51,24,53,.453,5,16,.313,14,28,.500,11,39,19,9,5,15,14,,17,65,.262,5,26,.192,12,15,.800,13,36,8,8,3,15,20
3,3,2015-11-20,@,James Madison,L,61,64,22,50,.440,8,19,.421,9,19,.474,7,34,10,4,4,12,25,,21,57,.368,8,26,.308,14,25,.560,11,35,10,6,1,8,18
4,4,2015-11-21,N,UT-Martin,W,69,62,23,47,.489,9,19,.474,14,21,.667,8,25,12,7,6,17,21,,21,51,.412,9,26,.346,11,18,.611,13,30,7,2,1,20,21
5,5,2015-11-22,N,Oral Roberts,L (1 OT),70,76,25,62,.403,8,17,.471,12,18,.667,9,38,11,4,7,14,21,,27,70,.386,2,13,.154,20,26,.769,10,37,9,4,7,5,13
6,6,2015-11-25,,LIU-Brooklyn,W,80,72,22,49,.449,8,19,.421,28,37,.757,7,30,14,7,7,15,19,,26,70,.371,3,23,.130,17,22,.773,16,39,13,8,1,11,27
7,7,2015-11-30,,Stetson,L,75,81,34,67,.507,5,14,.357,2,8,.250,14,36,14,7,8,14,20,,28,58,.483,9,22,.409,16,22,.727,9,30,13,9,5,13,12
8,8,2015-12-04,,Elon,L,71,77,29,57,.509,5,13,.385,8,16,.500,8,32,11,5,4,16,16,,30,66,.455,12,36,.333,5,8,.625,9,33,20,5,2,7,15
9,9,2015-12-06,,Florida Gulf Coast,L (1 OT),76,84,26,53,.491,6,14,.429,18,30,.600,6,36,16,8,9,15,16,,33,73,.452,8,14,.571,10,17,.588,13,38,19,11,4,9,20
10,10,2015-12-14,@,North Florida,L,72,94,28,64,.438,4,15,.267,12,22,.545,17,44,9,2,1,10,19,,33,69,.478,16,39,.410,12,16,.750,9,29,19,3,6,4,16
11,11,2015-12-19,@,Northern Illinois,L (2 OT),75,78,25,65,.385,8,21,.381,17,24,.708,12,42,13,6,2,18,27,,28,68,.412,3,16,.188,19,36,.528,16,41,10,9,7,12,21
12,12,2015-12-22,@,Binghamton,W,66,49,27,52,.519,3,16,.188,9,13,.692,8,43,13,0,4,10,18,,15,57,.263,4,28,.143,15,20,.750,7,24,8,2,1,3,15
13,13,2015-12-29,,Florida A&M,W,65,45,27,58,.466,9,23,.391,2,6,.333,9,36,16,7,7,10,14,,16,52,.308,3,21,.143,10,18,.556,8,30,7,4,4,12,9
14,14,2016-01-03,,Florida Atlantic,W,76,59,26,52,.500,5,15,.333,19,26,.731,10,41,11,4,5,14,17,,21,55,.382,8,20,.400,9,18,.500,6,23,13,9,4,8,20
15,15,2016-01-07,@,Western Kentucky,W,75,72,26,52,.500,6,16,.375,17,18,.944,4,19,13,2,3,9,17,,23,55,.418,9,25,.360,17,19,.895,10,29,12,2,4,11,18
16,16,2016-01-09,@,Marshall,L,81,99,33,71,.465,4,14,.286,11,14,.786,9,34,11,6,1,9,22,,31,58,.534,13,31,.419,24,30,.800,5,33,19,6,1,11,18
17,17,2016-01-14,,Louisiana Tech,W,88,74,33,58,.569,10,20,.500,12,16,.750,6,31,17,4,6,9,16,,29,70,.414,6,24,.250,10,17,.588,16,37,10,2,2,8,14
18,18,2016-01-16,,Southern Miss,L,60,66,18,49,.367,3,17,.176,21,28,.750,7,29,7,7,4,7,18,,22,49,.449,6,18,.333,16,22,.727,6,30,12,4,4,8,21
19,19,2016-01-21,@,UTSA,W,72,56,25,57,.439,5,17,.294,17,25,.680,11,43,10,4,4,10,21,,19,58,.328,3,20,.150,15,19,.789,5,29,8,5,0,10,24
20,20,2016-01-23,@,UTEP,W,79,69,31,58,.534,8,18,.444,9,15,.600,5,35,21,8,1,10,17,,25,61,.410,8,24,.333,11,14,.786,8,34,16,2,3,12,17
21,21,2016-01-28,,Charlotte,L,69,72,27,55,.491,5,14,.357,10,14,.714,7,31,11,5,11,13,19,,25,62,.403,7,18,.389,15,22,.682,11,31,16,6,1,10,14
22,22,2016-01-30,,Old Dominion,L,60,64,21,51,.412,1,11,.091,17,21,.810,8,26,7,5,4,6,16,,25,62,.403,6,18,.333,8,14,.571,18,39,11,4,3,8,18
23,23,2016-02-04,@,Alabama-Birmingham,L,69,74,27,58,.466,6,13,.462,9,14,.643,6,34,16,6,8,17,14,,27,67,.403,8,21,.381,12,14,.857,10,34,17,9,6,12,15
24,24,2016-02-06,@,Middle Tennessee,L,66,67,26,51,.510,4,11,.364,10,13,.769,6,37,8,2,4,12,14,,25,60,.417,11,29,.379,6,14,.429,7,27,15,7,3,7,15
25,25,2016-02-11,,UTEP,L,74,84,26,53,.491,7,18,.389,15,32,.469,14,32,15,5,1,14,21,,27,48,.563,11,19,.579,19,30,.633,5,24,19,4,1,12,24
26,26,2016-02-13,,UTSA,W,79,65,30,52,.577,3,10,.300,16,22,.727,11,33,12,6,4,15,24,,18,49,.367,3,18,.167,26,32,.813,8,20,9,9,1,11,20
27,27,2016-02-18,@,North Texas,L,75,77,29,56,.518,9,19,.474,8,12,.667,10,32,12,5,4,13,22,,22,55,.400,11,27,.407,22,29,.759,13,32,11,8,2,10,14
28,28,2016-02-20,@,Rice,L,70,86,26,57,.456,8,16,.500,10,16,.625,8,29,12,2,3,13,19,,33,63,.524,9,25,.360,11,18,.611,11,36,16,11,2,7,12
29,29,2016-02-27,@,Florida Atlantic,W,71,63,26,62,.419,2,10,.200,17,21,.810,9,43,9,3,5,11,18,,20,57,.351,8,22,.364,15,21,.714,5,28,12,7,6,10,19
