,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-15,,Nicholls State,W,109,62,40,61,.656,10,20,.500,19,28,.679,7,38,18,11,1,13,23,,22,58,.379,7,26,.269,11,22,.500,4,20,9,5,0,17,23
2,2,2015-11-17,,Jacksonville,W,98,79,36,63,.571,10,23,.435,16,26,.615,10,37,17,6,5,13,18,,29,65,.446,9,23,.391,12,21,.571,9,28,12,6,3,13,22
3,3,2015-11-20,N,Hofstra,L,77,82,27,68,.397,6,25,.240,17,25,.680,12,31,9,12,3,12,20,,27,58,.466,10,22,.455,18,24,.750,9,36,17,8,2,16,23
4,4,2015-11-21,N,DePaul,W,83,67,27,51,.529,5,15,.333,24,33,.727,9,33,13,5,4,17,22,,25,55,.455,7,17,.412,10,23,.435,6,24,9,1,1,16,27
5,5,2015-11-23,N,Ohio,W,90,81,31,57,.544,5,13,.385,23,31,.742,7,29,14,9,3,13,22,,27,54,.500,10,24,.417,17,26,.654,6,24,14,1,4,16,23
6,6,2015-12-02,@,Iowa,L (1 OT),75,78,29,76,.382,5,23,.217,12,15,.800,17,47,16,5,2,14,22,,27,64,.422,5,21,.238,19,26,.731,11,36,15,9,4,12,17
7,7,2015-12-06,N,VCU,W,76,71,29,64,.453,5,13,.385,13,16,.813,11,35,16,13,8,18,12,,27,63,.429,10,19,.526,7,8,.875,9,28,12,10,5,20,17
8,8,2015-12-13,,Southeastern Louisiana,W,75,58,23,55,.418,5,19,.263,24,31,.774,13,37,17,5,3,9,13,,22,53,.415,8,20,.400,6,11,.545,6,28,9,4,3,16,21
9,9,2015-12-16,,Mississippi State,W,90,66,30,63,.476,4,20,.200,26,36,.722,12,44,12,7,2,13,17,,24,62,.387,6,24,.250,12,16,.750,8,30,5,4,1,15,26
10,10,2015-12-19,N,Florida Atlantic,W,64,59,22,59,.373,2,14,.143,18,24,.750,14,40,8,10,8,11,17,,23,53,.434,5,14,.357,8,14,.571,5,31,14,2,1,15,17
11,11,2015-12-21,,Charleston Southern,W,75,64,27,58,.466,3,17,.176,18,24,.750,9,40,14,9,3,18,11,,24,63,.381,11,37,.297,5,8,.625,4,25,10,3,2,16,19
12,12,2015-12-29,@,Florida,W,73,71,26,63,.413,10,24,.417,11,15,.733,6,30,13,5,2,13,21,,24,60,.400,4,25,.160,19,29,.655,10,39,11,7,5,12,14
13,13,2016-01-02,@,Clemson,L,75,84,27,59,.458,9,24,.375,12,18,.667,8,29,13,5,4,8,24,,25,56,.446,10,26,.385,24,33,.727,14,39,15,6,8,9,15
14,14,2016-01-04,,UNC,L,90,106,28,68,.412,10,20,.500,24,34,.706,10,30,13,8,3,14,22,,38,76,.500,6,17,.353,24,32,.750,17,47,18,6,7,15,28
15,15,2016-01-09,@,Miami (FL),L,59,72,23,65,.354,2,19,.105,11,16,.688,11,35,11,5,4,14,17,,27,57,.474,6,24,.250,12,16,.750,3,30,12,4,1,13,16
16,16,2016-01-13,@,North Carolina State,W,85,78,31,62,.500,9,17,.529,14,22,.636,13,37,10,6,8,13,22,,24,64,.375,7,26,.269,23,32,.719,18,38,13,6,2,12,19
17,17,2016-01-17,,Virginia,W,69,62,21,43,.488,6,13,.462,21,26,.808,3,28,8,5,3,15,17,,22,56,.393,5,12,.417,13,15,.867,6,23,14,4,1,9,21
18,18,2016-01-20,@,Louisville,L,65,84,25,59,.424,6,18,.333,9,21,.429,13,34,12,11,5,16,25,,32,67,.478,5,16,.313,15,23,.652,17,43,12,9,4,13,20
19,19,2016-01-23,,Pitt,L,72,74,29,54,.537,6,16,.375,8,12,.667,7,29,13,3,4,16,24,,24,61,.393,10,23,.435,16,24,.667,15,31,12,3,2,10,16
20,20,2016-01-26,@,Boston College,W,72,62,23,59,.390,5,17,.294,21,25,.840,16,44,17,8,5,17,12,,26,58,.448,8,19,.421,2,9,.222,6,23,16,7,7,17,22
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-30,,Clemson,W,76,65,26,54,.481,5,12,.417,19,30,.633,10,32,12,13,9,16,20,,21,63,.333,6,23,.261,17,21,.810,11,30,7,7,5,18,22
22,22,2016-02-01,,North Carolina State,W,77,73,30,57,.526,8,22,.364,9,15,.600,8,33,15,3,7,10,15,,27,57,.474,8,20,.400,11,17,.647,5,24,13,5,3,9,14
23,23,2016-02-06,@,Wake Forest,W,91,71,34,68,.500,10,24,.417,13,19,.684,9,32,14,6,2,6,21,,23,51,.451,7,20,.350,18,25,.720,6,29,15,3,3,13,18
24,24,2016-02-11,@,Syracuse,L,72,85,26,63,.413,8,26,.308,12,22,.545,14,24,15,10,2,15,20,,31,50,.620,8,17,.471,15,21,.714,10,34,15,9,4,18,19
25,25,2016-02-14,,Miami (FL),L,65,67,26,57,.456,9,20,.450,4,9,.444,4,26,11,7,6,13,21,,21,55,.382,9,24,.375,16,22,.727,10,35,13,5,5,13,17
26,26,2016-02-17,,Georgia Tech,L,80,86,27,55,.491,4,13,.308,22,27,.815,8,24,13,6,1,9,25,,28,52,.538,9,21,.429,21,30,.700,12,31,16,1,4,14,20
27,27,2016-02-20,@,Virginia Tech,L,73,83,25,57,.439,7,23,.304,16,21,.762,11,33,9,4,4,11,21,,28,53,.528,11,19,.579,16,27,.593,7,27,11,7,2,10,20
28,28,2016-02-25,@,Duke,L,65,80,27,54,.500,5,14,.357,6,11,.545,10,35,8,3,4,15,21,,28,65,.431,9,26,.346,15,20,.750,12,30,16,10,2,5,14
29,29,2016-02-27,,Notre Dame,W,77,56,29,62,.468,11,24,.458,8,12,.667,9,37,15,3,7,7,14,,20,56,.357,7,17,.412,9,17,.529,11,34,10,2,1,11,11
30,30,2016-03-05,,Syracuse,W,78,73,28,59,.475,7,24,.292,15,21,.714,12,40,19,10,4,19,17,,26,56,.464,8,26,.308,13,19,.684,4,24,17,10,2,16,19
31,31,2016-03-08,N,Boston College,W,88,66,34,58,.586,9,16,.563,11,21,.524,8,28,18,10,5,12,20,,22,49,.449,6,18,.333,16,22,.727,4,25,13,7,0,16,19
32,32,2016-03-09,N,Virginia Tech,L,85,96,28,68,.412,8,29,.276,21,35,.600,17,39,12,7,1,4,27,,29,54,.537,8,18,.444,30,37,.811,9,35,18,1,5,9,26
