,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,@,Texas-Arlington,L,72,77,27,61,.443,12,26,.462,6,6,1.000,9,33,16,6,8,16,18,,28,65,.431,9,25,.360,12,21,.571,16,39,14,7,3,15,14
2,2,2015-11-17,,Queens (NY),W,76,57,29,53,.547,7,20,.350,11,18,.611,8,29,20,11,6,14,18,,22,48,.458,6,17,.353,7,13,.538,6,24,18,7,0,21,17
3,3,2015-11-21,,Fairleigh Dickinson,W,85,62,28,60,.467,9,26,.346,20,34,.588,11,39,20,11,4,11,27,,21,46,.457,1,10,.100,19,32,.594,5,27,13,3,2,22,27
4,4,2015-11-24,,Colgate,W,84,58,29,56,.518,9,21,.429,17,21,.810,10,36,21,10,4,11,18,,24,59,.407,5,21,.238,5,13,.385,10,29,15,6,0,12,15
5,5,2015-11-28,,Manhattan,W,87,64,31,55,.564,10,19,.526,15,24,.625,10,38,19,10,7,19,26,,19,51,.373,6,23,.261,20,33,.606,5,18,14,7,1,15,19
6,6,2015-12-02,,St. John's (NY),W,73,57,26,58,.448,7,22,.318,14,22,.636,15,34,15,12,5,12,24,,17,43,.395,2,11,.182,21,29,.724,6,25,10,4,7,18,19
7,7,2015-12-05,,Central Connecticut,W,86,54,32,60,.533,9,20,.450,13,17,.765,9,34,18,12,3,15,19,,18,47,.383,5,16,.313,13,20,.650,6,23,13,5,1,26,18
8,8,2015-12-08,,LIU-Brooklyn,W (1 OT),89,84,30,66,.455,7,18,.389,22,33,.667,10,34,16,10,5,13,20,,30,58,.517,8,20,.400,16,19,.842,5,33,18,8,2,20,27
9,9,2015-12-13,,Coppin State,W,92,55,33,58,.569,15,24,.625,11,15,.733,6,41,28,8,8,19,26,,16,55,.291,3,16,.188,20,33,.606,8,24,7,8,5,15,21
10,10,2015-12-19,,Maine,W,70,53,25,63,.397,6,27,.222,14,22,.636,10,39,16,16,7,16,19,,18,47,.383,5,20,.250,12,16,.750,2,26,10,7,3,27,19
11,11,2015-12-22,N,Boston College,L,55,64,18,56,.321,8,24,.333,11,14,.786,8,26,12,6,0,12,21,,22,53,.415,3,18,.167,17,25,.680,11,38,14,7,7,13,15
12,12,2016-01-03,@,George Washington,L,63,69,25,61,.410,5,18,.278,8,10,.800,10,28,9,10,5,11,27,,20,50,.400,4,15,.267,25,34,.735,13,38,12,4,1,13,11
13,13,2016-01-06,,La Salle,W,66,61,17,52,.327,6,21,.286,26,34,.765,13,41,14,9,5,17,18,,21,58,.362,9,28,.321,10,15,.667,13,36,12,8,3,17,23
