Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Pepperdine,W,69,66,25,63,.397,2,17,.118,17,30,.567,11,39,13,15,8,12,26,,20,52,.385,4,17,.235,22,34,.647,6,37,10,5,0,18,25
2,2,2015-11-16,,Lamar,W,80,72,25,70,.357,2,11,.182,28,41,.683,18,44,15,6,4,7,22,,24,54,.444,8,21,.381,16,27,.593,7,37,12,2,6,16,32
3,3,2015-11-19,,San Francisco,W,78,71,24,60,.400,10,24,.417,20,28,.714,11,34,11,7,4,12,24,,22,53,.415,7,21,.333,20,26,.769,8,32,12,3,0,16,21
4,4,2015-11-22,@,Rice,W,82,65,26,47,.553,8,16,.500,22,29,.759,6,33,14,10,1,14,21,,21,54,.389,8,23,.348,15,21,.714,8,26,14,3,0,16,18
5,5,2015-11-27,,Delaware State,W,80,59,27,61,.443,10,24,.417,16,22,.727,17,50,15,5,6,11,18,,20,63,.317,10,30,.333,9,16,.563,13,29,14,4,3,11,20
6,6,2015-11-30,@,Oregon,L,73,78,28,69,.406,5,18,.278,12,14,.857,15,39,12,4,4,18,25,,24,55,.436,4,17,.235,26,36,.722,6,30,12,10,7,17,19
7,7,2015-12-03,,Master's,W,84,72,29,61,.475,4,13,.308,22,29,.759,17,43,16,4,11,13,13,,27,64,.422,14,31,.452,4,4,1.000,9,26,12,4,0,14,24
8,8,2015-12-05,@,Cal Poly,L,65,77,24,69,.348,5,22,.227,12,17,.706,17,39,12,3,0,6,26,,22,44,.500,8,22,.364,25,35,.714,6,33,14,4,3,10,20
9,9,2015-12-09,@,Arizona,L,72,85,31,66,.470,5,10,.500,5,9,.556,12,29,14,7,3,12,25,,30,57,.526,8,21,.381,17,28,.607,9,31,16,3,3,13,16
10,10,2015-12-12,,Pacific,W,71,52,27,56,.482,4,11,.364,13,21,.619,9,33,17,8,4,11,17,,18,54,.333,6,23,.261,10,13,.769,8,31,10,4,1,18,20
11,11,2015-12-16,,Cal State Bakersfield,W,76,68,26,48,.542,5,12,.417,19,30,.633,8,34,15,8,9,12,19,,27,67,.403,4,17,.235,10,20,.500,14,33,11,9,5,12,26
12,12,2015-12-20,,Evansville,L,77,85,27,58,.466,3,12,.250,20,26,.769,9,36,10,4,3,14,26,,29,59,.492,6,17,.353,21,29,.724,6,29,21,4,3,11,22
13,13,2015-12-27,,Pacific Union,W,89,46,35,70,.500,7,21,.333,12,24,.500,21,49,24,15,5,10,16,,17,51,.333,3,18,.167,9,14,.643,7,26,5,6,3,21,17
14,14,2015-12-30,@,UNLV,W,69,66,25,57,.439,2,10,.200,17,26,.654,8,27,9,10,2,12,29,,16,48,.333,8,25,.320,26,35,.743,12,40,11,5,7,20,22
15,15,2016-01-02,,New Mexico,L,62,77,26,72,.361,1,18,.056,9,19,.474,18,33,7,16,7,14,23,,25,47,.532,6,14,.429,21,27,.778,7,37,14,9,7,24,22
16,16,2016-01-06,,Nevada,W,85,63,36,68,.529,6,10,.600,7,11,.636,10,39,21,9,3,12,23,,18,51,.353,1,13,.077,26,32,.813,8,29,5,6,3,15,14
