,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Iowa,L,59,76,19,60,.317,6,23,.261,15,21,.714,11,35,10,7,0,17,28,,24,59,.407,7,24,.292,21,28,.750,14,43,15,8,6,14,19
2,2,2015-11-16,@,Vanderbilt,L,62,98,21,50,.420,7,20,.350,13,18,.722,6,24,6,2,1,18,27,,32,55,.582,11,23,.478,23,32,.719,8,32,19,9,5,10,19
3,3,2015-11-19,,Toccoa Falls,W,125,79,50,77,.649,11,22,.500,14,22,.636,17,47,30,18,10,18,18,,30,63,.476,8,15,.533,11,17,.647,3,16,12,8,0,22,17
4,4,2015-11-22,@,Tennessee,L,64,89,22,72,.306,9,28,.321,11,20,.550,13,37,8,6,2,7,22,,32,61,.525,13,28,.464,12,23,.522,9,50,24,2,7,10,21
5,5,2015-11-24,@,George Washington,L,65,94,27,68,.397,8,28,.286,3,7,.429,7,25,15,11,3,13,24,,31,57,.544,10,21,.476,22,27,.815,10,43,21,4,4,14,11
6,6,2015-11-27,N,Southeastern Louisiana,W,77,68,25,52,.481,11,21,.524,16,22,.727,8,28,17,8,5,13,14,,28,62,.452,4,16,.250,8,13,.615,12,32,11,6,5,11,17
7,7,2015-11-28,@,Army,L (1 OT),98,103,34,75,.453,15,32,.469,15,25,.600,11,36,17,10,4,15,23,,36,64,.563,12,24,.500,19,26,.731,6,37,27,6,5,17,24
8,8,2015-12-02,@,Presbyterian,W,87,76,31,54,.574,12,22,.545,13,21,.619,7,29,14,8,3,16,24,,24,52,.462,4,15,.267,24,33,.727,9,25,14,7,2,14,20
9,9,2015-12-05,,High Point,L,64,66,23,63,.365,5,25,.200,13,14,.929,14,41,13,8,2,16,20,,27,56,.482,5,10,.500,7,16,.438,6,26,10,7,1,13,14
10,10,2015-12-12,@,Furman,W,73,53,28,49,.571,8,18,.444,9,12,.750,4,26,12,9,3,17,14,,20,51,.392,5,28,.179,8,9,.889,5,23,12,9,1,14,13
