,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Webber,W,116,49,41,83,.494,15,40,.375,19,33,.576,16,60,27,16,4,15,20,,17,65,.262,4,21,.190,11,17,.647,6,34,7,8,6,26,27
2,2,2015-11-16,@,Ole Miss,L,72,82,21,67,.313,11,35,.314,19,27,.704,12,34,11,4,2,12,38,,20,55,.364,2,14,.143,40,53,.755,14,46,9,5,5,10,19
3,3,2015-11-20,@,Auburn,L,62,92,19,61,.311,7,30,.233,17,25,.680,8,35,8,10,1,18,26,,29,59,.492,9,24,.375,25,33,.758,7,43,18,7,9,14,19
4,4,2015-11-25,@,Citadel,L,90,95,28,67,.418,10,27,.370,24,32,.750,15,41,11,8,1,18,19,,33,65,.508,18,41,.439,11,15,.733,6,28,26,7,5,17,28
5,5,2015-11-27,@,South Carolina Upstate,W,84,80,27,59,.458,14,30,.467,16,18,.889,6,18,17,8,0,8,19,,25,51,.490,11,21,.524,19,23,.826,13,37,17,3,2,19,19
6,6,2015-11-30,,Bob Jones University,W,104,52,36,69,.522,11,26,.423,21,34,.618,14,44,16,21,1,12,24,,16,56,.286,5,24,.208,15,21,.714,7,29,9,4,1,29,20
7,7,2015-12-02,@,Savannah State,L,67,76,20,53,.377,6,20,.300,21,29,.724,16,29,9,9,4,16,20,,25,47,.532,10,18,.556,16,22,.727,6,21,13,4,4,14,25
8,8,2015-12-15,@,Duke,L,65,99,28,72,.389,9,22,.409,0,4,.000,8,23,15,5,2,7,25,,35,66,.530,10,24,.417,19,32,.594,21,52,17,4,7,11,10
9,9,2015-12-19,,Winthrop,L,81,88,26,72,.361,11,32,.344,18,27,.667,17,44,12,7,2,11,16,,28,62,.452,12,27,.444,20,21,.952,7,32,9,3,5,11,19
10,10,2015-12-22,,Stetson,W,78,58,30,59,.508,8,25,.320,10,21,.476,6,34,17,11,2,8,21,,22,53,.415,5,20,.250,9,19,.474,9,33,5,3,1,18,17
11,11,2015-12-30,@,Texas State,L,66,80,17,49,.347,4,18,.222,28,34,.824,9,21,8,4,2,11,28,,25,47,.532,6,13,.462,24,32,.750,10,35,12,5,4,13,22
12,12,2016-01-02,@,Texas-Arlington,L,72,92,25,66,.379,11,34,.324,11,17,.647,6,21,13,9,1,14,20,,29,56,.518,14,31,.452,20,25,.800,12,44,22,4,8,21,18
13,13,2016-01-07,,South Alabama,L,58,64,18,67,.269,3,26,.115,19,31,.613,15,41,5,4,1,7,31,,21,48,.438,4,17,.235,18,41,.439,9,44,7,3,6,14,22
14,14,2016-01-09,,Troy,W (1 OT),93,88,35,66,.530,9,28,.321,14,26,.538,7,29,11,9,2,6,22,,33,61,.541,5,22,.227,17,28,.607,8,34,12,4,1,14,19
15,15,2016-01-14,,Louisiana-Lafayette,L,65,74,23,64,.359,1,14,.071,18,23,.783,6,30,3,7,1,6,18,,29,62,.468,6,21,.286,10,17,.588,12,44,12,5,4,13,21
16,16,2016-01-16,,Louisiana-Monroe,W,66,51,21,50,.420,8,22,.364,16,20,.800,4,33,8,4,1,13,18,,18,59,.305,7,28,.250,8,14,.571,13,37,8,3,3,11,21
17,17,2016-01-19,@,Georgia State,L (1 OT),66,69,21,60,.350,9,27,.333,15,23,.652,10,29,11,7,2,13,25,,23,55,.418,2,13,.154,21,33,.636,17,39,6,6,3,17,20
18,18,2016-01-25,@,Appalachian State,W,101,100,32,63,.508,8,22,.364,29,36,.806,12,33,10,8,2,11,32,,30,63,.476,12,31,.387,28,38,.737,12,28,19,1,2,13,27
19,19,2016-01-28,@,Arkansas-Little Rock,L,67,80,24,55,.436,5,25,.200,14,19,.737,9,29,8,5,4,9,19,,26,51,.510,13,22,.591,15,22,.682,5,27,17,3,4,10,16
20,20,2016-01-30,@,Arkansas State,W,71,66,27,61,.443,11,27,.407,6,8,.750,12,33,15,6,1,13,25,,19,48,.396,9,28,.321,19,24,.792,9,29,8,4,6,15,11
