,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Middle Georgia State,W,73,54,28,66,.424,7,27,.259,10,17,.588,12,36,14,9,4,7,24,,16,48,.333,1,16,.063,21,32,.656,8,36,8,2,4,19,14
2,2,2015-11-19,,Emmanuel,W,77,58,29,51,.569,2,7,.286,17,26,.654,4,25,13,8,4,9,14,,21,53,.396,9,29,.310,7,12,.583,7,26,14,2,3,13,24
3,3,2015-11-25,@,Ole Miss,L,59,68,21,51,.412,6,13,.462,11,20,.550,5,16,14,3,1,9,20,,21,44,.477,6,16,.375,20,24,.833,10,37,12,5,1,14,19
4,4,2015-11-27,,IUPUI,W (1 OT),78,72,27,47,.574,4,11,.364,20,28,.714,4,28,10,9,2,22,22,,23,51,.451,10,22,.455,16,24,.667,7,23,12,11,0,19,25
5,5,2015-12-01,@,Alabama-Birmingham,L,57,64,22,59,.373,3,13,.231,10,18,.556,13,34,10,7,3,10,22,,18,49,.367,6,20,.300,22,29,.759,9,38,17,8,7,10,15
6,6,2015-12-04,@,Wright State,W,59,46,22,42,.524,2,8,.250,13,15,.867,1,25,10,7,6,14,12,,16,49,.327,9,21,.429,5,6,.833,4,25,10,7,1,17,18
7,7,2015-12-12,,Old Dominion,W,68,64,19,41,.463,7,13,.538,23,30,.767,7,29,14,1,7,7,16,,24,53,.453,1,12,.083,15,17,.882,5,24,13,5,2,4,23
8,8,2015-12-19,@,Southern Miss,W,66,46,21,47,.447,3,14,.214,21,23,.913,4,28,14,11,2,9,16,,16,51,.314,5,26,.192,9,13,.692,11,33,7,4,0,14,20
9,9,2015-12-22,,Middle Tennessee,W,64,62,23,46,.500,1,9,.111,17,26,.654,4,26,12,11,5,14,16,,20,52,.385,7,22,.318,15,22,.682,10,30,11,8,1,14,19
10,10,2015-12-30,@,Texas-Arlington,L,70,85,25,62,.403,8,20,.400,12,18,.667,6,27,12,6,5,12,22,,27,61,.443,11,27,.407,20,27,.741,9,38,20,7,3,14,16
11,11,2016-01-02,@,Texas State,W,58,46,23,44,.523,6,15,.400,6,9,.667,2,25,13,9,4,11,17,,16,51,.314,3,20,.150,11,20,.550,14,35,11,4,2,12,15
12,12,2016-01-07,,Troy,W,72,68,24,56,.429,9,22,.409,15,17,.882,5,34,15,3,4,13,22,,21,54,.389,8,23,.348,18,27,.667,5,26,11,7,4,8,17
13,13,2016-01-09,,South Alabama,W,70,55,20,53,.377,8,22,.364,22,27,.815,8,31,14,6,2,12,20,,21,53,.396,2,17,.118,11,16,.688,8,32,10,4,2,15,20
14,14,2016-01-14,,Louisiana-Monroe,W,65,51,25,56,.446,8,19,.421,7,12,.583,7,24,12,5,2,5,16,,19,46,.413,2,13,.154,11,18,.611,10,31,6,3,4,13,17
15,15,2016-01-16,,Louisiana-Lafayette,L,54,87,20,43,.465,5,14,.357,9,18,.500,4,20,10,4,3,12,21,,29,59,.492,11,27,.407,18,25,.720,14,35,16,6,2,5,14
16,16,2016-01-19,,Georgia Southern,W (1 OT),69,66,23,55,.418,2,13,.154,21,33,.636,17,39,6,6,3,17,20,,21,60,.350,9,27,.333,15,23,.652,10,29,11,7,2,13,25
17,17,2016-01-21,@,Appalachian State,L,67,76,25,59,.424,4,9,.444,13,21,.619,7,23,8,8,3,15,19,,23,53,.434,12,26,.462,18,21,.857,6,33,17,3,6,20,20
18,18,2016-01-28,@,Arkansas State,L (1 OT),69,75,22,67,.328,3,14,.214,22,31,.710,11,36,9,14,2,18,23,,24,61,.393,7,25,.280,20,28,.714,10,43,13,5,6,21,22
19,19,2016-01-30,@,Arkansas-Little Rock,L,53,63,18,46,.391,3,13,.231,14,19,.737,2,23,8,3,2,12,19,,23,51,.451,8,24,.333,9,12,.750,6,31,13,3,2,10,18
20,20,2016-02-04,,Texas State,W,59,56,21,46,.457,4,10,.400,13,18,.722,7,25,10,6,1,11,16,,20,46,.435,6,18,.333,10,16,.625,9,29,14,5,1,13,16
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-02-06,,Texas-Arlington,L,69,90,22,52,.423,4,16,.250,21,32,.656,7,25,10,7,3,12,27,,26,58,.448,10,28,.357,28,35,.800,16,44,17,3,2,15,23
22,22,2016-02-11,@,South Alabama,L (1 OT),78,79,29,66,.439,8,18,.444,12,19,.632,12,33,16,5,0,13,24,,22,47,.468,7,17,.412,28,36,.778,7,32,10,7,5,19,19
23,23,2016-02-13,@,Troy,L,53,54,19,55,.345,2,12,.167,13,22,.591,10,32,11,11,7,14,19,,17,45,.378,7,18,.389,13,18,.722,6,31,11,6,9,17,19
24,24,2016-02-18,,Arkansas-Little Rock,L,49,57,18,47,.383,4,13,.308,9,13,.692,5,27,9,2,4,12,12,,22,58,.379,5,17,.294,8,13,.615,14,37,8,7,4,8,15
25,25,2016-02-20,,Arkansas State,W,69,61,27,59,.458,5,16,.313,10,15,.667,7,28,15,5,4,8,23,,17,53,.321,5,17,.294,22,27,.815,10,36,10,3,1,13,17
26,26,2016-02-23,@,Georgia Southern,L,52,54,21,53,.396,6,18,.333,4,9,.444,7,33,7,6,0,12,19,,17,49,.347,7,29,.241,13,18,.722,7,29,10,9,8,12,11
27,27,2016-02-27,,Appalachian State,W,83,70,32,63,.508,7,16,.438,12,15,.800,9,35,17,6,3,8,24,,21,56,.375,10,26,.385,18,23,.783,11,29,11,2,2,9,18
28,28,2016-03-03,@,Louisiana-Lafayette,W,72,69,28,56,.500,4,10,.400,12,16,.750,5,26,8,4,3,7,20,,23,51,.451,6,18,.333,17,23,.739,8,32,11,3,4,14,18
29,29,2016-03-05,@,Louisiana-Monroe,L,78,91,28,59,.475,7,16,.438,15,19,.789,5,19,19,8,1,6,20,,31,52,.596,8,21,.381,21,25,.840,6,32,20,3,4,13,15
30,30,2016-03-10,N,Texas State,L,61,63,23,50,.460,7,15,.467,8,12,.667,6,22,12,10,1,12,13,,23,45,.511,7,17,.412,10,16,.625,6,28,19,9,0,14,13
