Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Cornell,W,116,81,47,78,.603,8,23,.348,14,23,.609,18,46,30,8,2,6,19,,28,60,.467,13,31,.419,12,19,.632,6,22,14,2,0,13,21
2,2,2015-11-16,,Tennessee,W,69,67,28,71,.394,2,19,.105,11,18,.611,17,44,15,10,12,14,19,,27,77,.351,4,15,.267,9,17,.529,18,43,9,6,4,16,16
3,3,2015-11-19,,Green Bay,W,107,77,42,75,.560,11,24,.458,12,18,.667,13,47,23,4,9,12,20,,29,71,.408,6,19,.316,13,21,.619,7,26,14,7,2,10,16
4,4,2015-11-22,,ETSU,L,68,69,22,54,.407,5,17,.294,19,22,.864,11,34,12,4,3,9,14,,27,57,.474,6,17,.353,9,10,.900,7,26,8,6,1,7,23
5,5,2015-11-26,N,Arkansas,W,83,73,28,60,.467,8,16,.500,19,27,.704,16,44,15,5,2,15,20,,26,60,.433,6,14,.429,15,23,.652,7,24,14,6,5,12,23
6,6,2015-11-27,N,Villanova,L,52,69,20,56,.357,2,14,.143,10,15,.667,9,31,7,2,1,13,16,,27,51,.529,8,27,.296,7,11,.636,5,26,9,5,3,9,18
7,7,2015-12-01,,Wofford,W,77,61,24,53,.453,8,18,.444,21,29,.724,13,38,14,3,5,8,16,,23,55,.418,3,17,.176,12,12,1.000,5,19,13,4,2,8,26
8,8,2015-12-05,@,Tulane,W,76,68,30,69,.435,6,17,.353,10,14,.714,13,35,6,9,3,10,19,,26,58,.448,7,21,.333,9,17,.529,8,32,10,1,3,16,17
9,9,2015-12-15,,VCU,W,77,64,24,56,.429,5,12,.417,24,26,.923,11,39,11,5,3,14,14,,23,71,.324,6,27,.222,12,12,1.000,14,30,10,6,3,12,22
10,10,2015-12-19,@,Georgia,L,61,75,20,51,.392,7,20,.350,14,17,.824,8,30,10,4,4,12,28,,24,49,.490,6,14,.429,21,32,.656,9,27,15,4,5,11,19
11,11,2015-12-21,,Southeastern Louisiana,W,75,62,27,62,.435,9,22,.409,12,20,.600,15,42,19,4,2,6,12,,25,55,.455,4,16,.250,8,13,.615,3,25,12,2,3,10,16
12,12,2015-12-23,,Colgate,W,76,60,33,59,.559,5,13,.385,5,11,.455,11,33,16,4,5,7,16,,23,47,.489,6,16,.375,8,15,.533,4,19,10,3,2,7,10
13,13,2015-12-29,,Duquesne,W,73,67,24,59,.407,8,18,.444,17,25,.680,6,43,17,4,7,7,15,,27,69,.391,9,28,.321,4,10,.400,7,35,14,2,1,8,19
14,14,2016-01-02,@,UNC,L,76,86,27,64,.422,7,15,.467,15,19,.789,8,28,16,8,4,9,25,,30,59,.508,2,12,.167,24,29,.828,7,35,13,2,4,11,18
15,15,2016-01-06,@,Pitt,L,84,89,33,68,.485,10,20,.500,8,15,.533,14,38,14,2,4,10,22,,29,59,.492,6,13,.462,25,30,.833,7,32,15,4,3,4,19
16,16,2016-01-09,,Virginia,W,68,64,24,55,.436,8,15,.533,12,18,.667,10,39,12,3,4,9,17,,23,57,.404,4,18,.222,14,22,.636,5,26,11,4,2,7,19
17,17,2016-01-13,@,Notre Dame,L,64,72,24,72,.333,5,19,.263,11,17,.647,16,40,11,2,3,5,21,,21,54,.389,2,15,.133,28,32,.875,8,38,11,3,3,6,16
18,18,2016-01-16,,Virginia Tech,L,77,78,32,66,.485,4,15,.267,9,16,.563,9,36,16,3,10,13,25,,23,51,.451,4,12,.333,28,36,.778,5,28,12,5,5,13,19
19,19,2016-01-23,,Louisville,L,71,75,24,57,.421,4,13,.308,19,23,.826,12,39,9,4,4,10,21,,27,61,.443,6,18,.333,15,25,.600,11,30,13,5,2,6,17
20,20,2016-01-27,@,North Carolina State,W,90,83,28,66,.424,5,14,.357,29,34,.853,13,37,15,7,5,9,20,,29,64,.453,6,14,.429,19,24,.792,8,31,11,4,4,10,24
21,21,2016-01-30,@,Syracuse,L,57,60,21,56,.375,5,18,.278,10,16,.625,12,38,14,6,2,9,19,,21,50,.420,6,18,.333,12,21,.571,8,31,15,5,4,12,14
22,22,2016-02-02,,Duke,L,71,80,31,73,.425,2,19,.105,7,11,.636,12,36,16,4,2,6,16,,28,58,.483,11,23,.478,13,18,.722,7,37,16,3,4,10,17
23,23,2016-02-07,,Miami (FL),L,68,75,26,52,.500,7,14,.500,9,16,.563,5,25,13,3,3,13,20,,28,57,.491,4,12,.333,15,21,.714,9,29,14,4,2,6,15
24,24,2016-02-10,,Wake Forest,W,71,66,28,62,.452,2,10,.200,13,20,.650,12,34,14,7,5,12,15,,25,56,.446,3,17,.176,13,17,.765,8,32,15,7,3,16,19
25,25,2016-02-13,@,Clemson,L,52,66,19,55,.345,1,11,.091,13,16,.813,13,36,6,3,2,13,22,,24,60,.400,2,13,.154,16,21,.762,14,35,3,10,1,6,17
26,26,2016-02-17,@,Florida State,W,86,80,28,52,.538,9,21,.429,21,30,.700,12,31,16,1,4,14,20,,27,55,.491,4,13,.308,22,27,.815,8,24,13,6,1,9,25
27,27,2016-02-20,,Notre Dame,W,63,62,25,60,.417,4,15,.267,9,15,.600,14,36,12,3,3,7,13,,24,54,.444,6,18,.333,8,13,.615,8,26,10,3,1,9,12
28,28,2016-02-23,,Clemson,W,75,73,26,48,.542,9,20,.450,14,15,.933,6,31,11,5,6,13,11,,29,62,.468,12,26,.462,3,5,.600,7,20,20,7,3,8,17
29,29,2016-02-27,@,Boston College,W,76,71,22,40,.550,5,11,.455,27,33,.818,5,23,13,9,7,14,14,,28,57,.491,10,21,.476,5,7,.714,7,20,19,2,2,15,21
30,30,2016-03-01,@,Louisville,L,53,56,22,60,.367,4,20,.200,5,7,.714,16,39,9,5,4,17,15,,21,58,.362,2,17,.118,12,14,.857,13,33,8,8,4,11,12
31,31,2016-03-05,,Pitt,W,63,59,22,56,.393,5,15,.333,14,19,.737,11,39,10,4,5,12,14,,24,61,.393,0,11,.000,11,13,.846,7,30,6,7,0,9,17
32,32,2016-03-09,N,Clemson,W (1 OT),88,85,30,66,.455,6,18,.333,22,29,.759,17,43,13,2,2,11,22,,31,67,.463,10,29,.345,13,19,.684,10,27,12,5,5,8,25
33,33,2016-03-10,N,Virginia,L,52,72,20,49,.408,6,13,.462,6,7,.857,8,28,8,3,2,13,14,,28,52,.538,7,14,.500,9,15,.600,7,25,17,6,3,7,13
