,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Chattanooga,L (1 OT),90,92,26,48,.542,10,20,.500,28,45,.622,8,34,12,11,11,21,30,,30,69,.435,12,30,.400,20,31,.645,12,32,11,9,2,16,33
2,2,2015-11-20,,Murray State,W,63,52,17,57,.298,8,22,.364,21,29,.724,13,44,9,4,4,10,21,,17,56,.304,4,23,.174,14,21,.667,10,34,8,8,2,9,24
3,3,2015-11-25,,High Point,W,49,46,13,44,.295,6,21,.286,17,20,.850,4,37,6,4,9,15,22,,19,64,.297,1,15,.067,7,17,.412,12,37,8,3,3,10,21
4,4,2015-11-28,@,Seton Hall,L,62,69,22,47,.468,6,18,.333,12,18,.667,6,28,11,2,2,12,24,,23,55,.418,6,20,.300,17,27,.630,13,33,8,6,4,10,17
5,5,2015-12-01,,Oakland,W,86,82,32,61,.525,7,22,.318,15,22,.682,8,34,19,5,5,9,17,,27,65,.415,11,29,.379,17,21,.810,11,33,11,5,3,11,18
6,6,2015-12-04,,Kansas State,L,66,68,23,51,.451,3,10,.300,17,25,.680,9,29,13,5,8,12,20,,23,59,.390,6,16,.375,16,24,.667,14,32,10,6,6,9,23
7,7,2015-12-08,,Winthrop,W,74,64,21,56,.375,3,15,.200,29,36,.806,12,41,17,6,7,12,16,,21,60,.350,8,23,.348,14,16,.875,7,31,10,6,5,12,26
8,8,2015-12-19,,Georgia Tech,W,75,61,24,49,.490,6,14,.429,21,32,.656,9,27,15,4,5,11,19,,20,51,.392,7,20,.350,14,17,.824,8,30,10,4,4,12,28
9,9,2015-12-22,,Clemson,W,71,48,25,48,.521,6,19,.316,15,19,.789,7,33,13,8,6,13,19,,16,59,.271,7,27,.259,9,11,.818,16,32,9,4,3,14,17
10,10,2015-12-29,,Robert Morris,W,79,67,31,57,.544,6,15,.400,11,13,.846,8,33,23,7,4,15,22,,22,58,.379,3,24,.125,20,30,.667,8,26,8,8,5,12,14
11,11,2016-01-02,@,Florida,L,63,77,21,59,.356,2,12,.167,19,27,.704,11,31,10,6,3,13,28,,22,52,.423,9,22,.409,24,41,.585,12,37,12,6,4,14,24
12,12,2016-01-06,,Missouri,W,77,59,29,53,.547,11,19,.579,8,10,.800,6,33,19,3,3,16,20,,19,55,.345,3,19,.158,18,23,.783,8,26,9,6,0,9,17
13,13,2016-01-09,@,Ole Miss,L,71,72,21,58,.362,7,18,.389,22,34,.647,12,38,13,9,5,14,26,,21,58,.362,6,20,.300,24,35,.686,11,40,12,11,2,14,22
14,14,2016-01-13,,Tennessee,W,81,72,28,56,.500,12,19,.632,13,23,.565,9,38,13,4,5,20,23,,22,58,.379,6,23,.261,22,26,.846,6,27,12,10,0,13,25
15,15,2016-01-16,,Texas A&M,L,45,79,15,53,.283,4,18,.222,11,19,.579,10,30,8,2,2,12,13,,29,55,.527,11,22,.500,10,15,.667,6,33,21,9,3,10,20
16,16,2016-01-20,@,Missouri,W,60,57,24,61,.393,5,15,.333,7,10,.700,10,38,14,7,6,12,15,,19,53,.358,7,21,.333,12,19,.632,6,30,7,3,3,11,15
17,17,2016-01-23,,Arkansas,W (1 OT),76,73,26,60,.433,8,20,.400,16,30,.533,11,43,13,6,5,12,23,,24,61,.393,8,19,.421,17,28,.607,8,34,14,8,6,11,23
18,18,2016-01-26,@,LSU,L,85,89,32,63,.508,6,23,.261,15,24,.625,7,33,7,6,5,12,33,,23,53,.434,6,19,.316,37,55,.673,8,37,11,7,0,9,22
19,19,2016-01-30,@,Baylor,L,73,83,25,50,.500,8,18,.444,15,26,.577,6,24,22,3,4,10,25,,24,53,.453,7,17,.412,28,36,.778,11,31,19,5,5,8,22
20,20,2016-02-02,,South Carolina,W,69,56,22,57,.386,8,23,.348,17,25,.680,10,40,11,9,9,12,19,,18,57,.316,7,22,.318,13,19,.684,12,36,9,3,9,14,23
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-02-06,,Auburn,W,65,55,20,57,.351,2,9,.222,23,37,.622,11,46,9,8,9,8,20,,15,58,.259,6,30,.200,19,28,.679,3,31,7,4,4,9,24
22,22,2016-02-09,@,Kentucky,L,48,82,11,50,.220,3,11,.273,23,27,.852,14,33,5,0,0,15,20,,29,56,.518,10,21,.476,14,22,.636,9,33,13,8,7,5,20
23,23,2016-02-13,@,Mississippi State,W,66,57,25,54,.463,3,12,.250,13,17,.765,10,43,9,4,4,16,12,,21,68,.309,8,28,.286,7,11,.636,12,27,11,9,3,9,18
24,24,2016-02-16,,Florida,L,53,57,20,62,.323,8,21,.381,5,8,.625,9,34,15,4,3,10,17,,20,55,.364,5,25,.200,12,21,.571,10,37,10,4,10,6,13
25,25,2016-02-20,@,Vanderbilt,L,67,80,24,63,.381,8,18,.444,11,20,.550,10,33,12,3,5,7,22,,25,55,.455,7,21,.333,23,29,.793,8,37,15,5,3,4,17
26,26,2016-02-24,@,Auburn,L,81,84,26,64,.406,10,22,.455,19,28,.679,11,41,14,2,8,15,30,,22,56,.393,11,24,.458,29,39,.744,9,37,12,6,5,12,25
27,27,2016-02-27,,Ole Miss,W,80,66,26,58,.448,10,21,.476,18,24,.750,12,34,11,6,5,6,16,,22,56,.393,11,25,.440,11,15,.733,13,33,12,4,3,14,17
28,28,2016-03-03,@,South Carolina,W,74,72,22,55,.400,7,19,.368,23,27,.852,13,43,11,4,9,19,18,,25,73,.342,9,26,.346,13,16,.813,11,28,11,9,3,9,20
29,29,2016-03-05,,Alabama,W,70,63,20,53,.377,4,15,.267,26,32,.813,15,40,15,3,2,14,19,,21,53,.396,11,26,.423,10,18,.556,7,24,13,7,5,8,23
