Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-18,,Northern Arizona,W,91,52,36,68,.529,6,23,.261,13,20,.650,12,48,18,9,3,17,18,,19,63,.302,3,17,.176,11,17,.647,9,28,9,8,0,14,21
2,2,2015-11-21,,Mount St. Mary's,W,101,56,39,66,.591,11,22,.500,12,17,.706,11,46,23,9,1,14,17,,21,60,.350,3,21,.143,11,15,.733,5,24,4,9,1,15,19
3,3,2015-11-25,N,Washington,W,80,64,24,48,.500,2,8,.250,30,44,.682,9,45,12,6,2,17,28,,19,74,.257,4,20,.200,22,30,.733,20,42,9,4,2,12,31
4,4,2015-11-26,N,Texas A&M,L,61,62,24,51,.471,9,21,.429,4,11,.364,9,31,14,4,1,12,18,,21,47,.447,7,14,.500,13,16,.813,4,20,13,7,3,12,15
5,5,2015-11-27,N,UConn,W,73,70,28,62,.452,10,24,.417,7,11,.636,8,32,14,5,3,10,18,,26,62,.419,1,12,.083,17,20,.850,9,31,8,7,4,9,16
6,6,2015-12-02,@,Washington State,W,69,60,27,63,.429,7,21,.333,8,11,.727,7,35,9,4,3,16,11,,25,62,.403,2,10,.200,8,10,.800,8,28,4,14,8,13,16
7,7,2015-12-05,,Arizona,L,63,68,27,61,.443,3,13,.231,6,8,.750,8,40,11,5,4,15,18,,27,65,.415,5,15,.333,9,19,.474,11,36,8,8,2,8,12
8,8,2015-12-08,,Montana,W,61,58,22,55,.400,4,15,.267,13,17,.765,8,37,9,8,3,13,13,,22,61,.361,6,21,.286,8,11,.727,5,30,12,8,0,12,21
9,9,2015-12-12,,UCLA,L,66,71,25,61,.410,6,26,.231,10,13,.769,9,33,11,4,2,12,18,,28,60,.467,5,16,.313,10,18,.556,10,34,12,5,1,6,15
10,10,2015-12-14,,Saint Martin's,W,86,50,33,64,.516,9,20,.450,11,14,.786,14,43,14,7,2,9,14,,18,54,.333,4,25,.160,10,16,.625,7,24,5,7,3,12,18
11,11,2015-12-19,N,Tennessee,W,86,79,29,63,.460,4,18,.222,24,33,.727,10,36,9,3,4,6,19,,29,66,.439,10,21,.476,11,16,.688,9,30,13,2,8,9,23
12,12,2015-12-21,,Pepperdine,W,99,73,32,58,.552,16,26,.615,19,21,.905,12,34,18,2,1,6,18,,26,57,.456,6,18,.333,15,23,.652,9,22,10,4,1,6,18
13,13,2015-12-23,,Loyola Marymount,W,85,62,27,45,.600,10,18,.556,21,23,.913,5,26,19,4,4,9,13,,24,60,.400,5,20,.250,9,14,.643,14,27,10,5,2,8,23
14,14,2015-12-31,@,Santa Clara,W,79,77,29,51,.569,5,12,.417,16,23,.696,8,29,9,1,4,11,21,,25,58,.431,12,24,.500,15,20,.750,8,26,10,2,3,9,22
15,15,2016-01-02,@,San Francisco,W (1 OT),102,94,37,68,.544,5,19,.263,23,32,.719,13,48,11,7,8,12,20,,34,76,.447,14,31,.452,12,16,.750,9,32,16,5,0,10,28
16,16,2016-01-09,,Portland,W,85,74,27,64,.422,7,19,.368,24,29,.828,15,39,17,7,4,15,21,,26,59,.441,4,20,.200,18,21,.857,9,28,12,7,2,14,22
17,17,2016-01-14,,BYU,L,68,69,21,57,.368,6,20,.300,20,24,.833,3,32,11,7,2,12,16,,27,65,.415,3,17,.176,12,14,.857,5,37,11,5,7,11,22
18,18,2016-01-16,,San Diego,W,88,52,34,60,.567,11,18,.611,9,10,.900,6,41,16,4,3,7,12,,21,67,.313,5,26,.192,5,7,.714,6,25,8,5,1,5,13
19,19,2016-01-21,@,Saint Mary's (CA),L,67,70,29,49,.592,6,15,.400,3,5,.600,4,27,17,1,1,12,18,,25,50,.500,6,16,.375,14,16,.875,3,19,8,8,1,6,14
20,20,2016-01-23,@,Pacific,W,71,61,23,51,.451,5,17,.294,20,32,.625,7,43,10,5,3,10,18,,19,61,.311,7,23,.304,16,23,.696,10,38,14,4,1,9,26
21,21,2016-01-28,,Santa Clara,W,84,67,23,51,.451,13,26,.500,25,30,.833,8,42,10,2,3,15,21,,23,63,.365,5,21,.238,16,26,.615,6,24,7,10,4,4,28
22,22,2016-01-30,,San Francisco,W,86,48,30,69,.435,15,37,.405,11,18,.611,13,46,17,5,4,5,16,,18,59,.305,4,25,.160,8,15,.533,4,34,9,2,2,9,18
23,23,2016-02-04,@,Loyola Marymount,W,92,63,37,65,.569,6,21,.286,12,14,.857,12,39,19,8,3,10,16,,24,59,.407,2,15,.133,13,15,.867,8,23,14,6,1,12,16
24,24,2016-02-06,@,Pepperdine,W,69,66,22,51,.431,4,19,.211,21,23,.913,6,24,14,4,2,6,19,,24,55,.436,7,17,.412,11,17,.647,11,33,16,4,4,12,21
