Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-09,@,DePaul,L,58,96,20,61,.328,4,16,.250,14,25,.560,8,29,5,8,6,23,24,,34,72,.472,11,21,.524,17,28,.607,17,47,17,10,5,18,20
2,2,2013-11-12,@,Marquette,L,71,114,20,70,.286,9,30,.300,22,31,.710,18,39,12,3,5,14,28,,45,82,.549,5,18,.278,19,31,.613,21,53,33,5,3,7,24
3,3,2013-11-20,@,Missouri State,L,67,97,22,57,.386,4,17,.235,19,24,.792,7,23,14,8,0,15,20,,34,57,.596,11,25,.440,18,25,.720,6,35,23,8,2,14,18
4,4,2013-12-14,@,Arizona State,L,55,97,19,62,.306,8,27,.296,9,16,.563,11,28,8,5,2,14,17,,40,63,.635,8,21,.381,9,15,.600,8,41,19,10,8,11,16
5,5,2013-12-16,,Central Baptist,W,83,75,28,61,.459,5,16,.313,22,30,.733,12,28,18,15,1,13,21,,25,43,.581,2,12,.167,23,31,.742,4,27,11,7,1,25,15
6,6,2013-12-19,@,Texas Christian,L,75,98,22,68,.324,10,29,.345,21,28,.750,12,35,13,4,0,13,26,,31,58,.534,9,17,.529,27,33,.818,7,39,17,8,5,11,22
7,7,2013-12-21,,Lyon,L,54,55,21,48,.438,5,18,.278,7,21,.333,11,29,6,7,4,10,21,,19,40,.475,5,13,.385,12,20,.600,6,26,7,3,0,13,17
8,8,2013-12-28,@,Evansville,L,61,96,25,67,.373,5,23,.217,6,10,.600,13,29,13,8,5,18,22,,34,57,.596,7,11,.636,21,30,.700,8,33,27,10,6,13,14
9,9,2013-12-30,@,Arkansas-Little Rock,L,68,88,25,63,.397,10,28,.357,8,13,.615,8,22,15,9,3,14,15,,34,57,.596,3,9,.333,17,24,.708,10,41,23,5,2,15,13
10,10,2014-01-04,,Alabama State,L,51,68,18,48,.375,1,14,.071,14,19,.737,8,28,4,5,1,13,14,,25,61,.410,9,29,.310,9,12,.750,16,38,15,6,1,10,17
11,11,2014-01-06,,Alabama A&M,L,58,70,19,47,.404,7,19,.368,13,17,.765,8,29,9,4,3,17,19,,24,58,.414,10,22,.455,12,18,.667,13,32,18,6,5,12,14
12,12,2014-01-11,@,Southern,L,49,73,15,46,.326,5,14,.357,14,23,.609,6,25,3,7,1,16,16,,27,55,.491,10,22,.455,9,18,.500,13,40,17,7,5,13,19
