,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-08,N,Loyola Marymount,L,75,78,25,54,.463,5,18,.278,20,24,.833,5,28,10,2,5,19,22,,28,62,.452,5,15,.333,17,23,.739,10,30,12,8,4,15,20
2,2,2013-11-09,@,San Diego,L,59,70,18,52,.346,6,24,.250,17,26,.654,13,28,9,6,2,10,22,,25,48,.521,5,14,.357,15,19,.789,3,30,15,3,5,11,23
3,3,2013-11-16,,Western New Mexico,W,91,41,30,58,.517,8,22,.364,23,34,.676,15,52,17,10,2,13,20,,13,54,.241,4,17,.235,11,21,.524,7,28,6,9,1,14,25
4,4,2013-11-21,@,Utah,L,54,79,19,58,.328,3,21,.143,13,23,.565,10,31,7,5,3,12,23,,29,56,.518,6,16,.375,15,28,.536,13,47,14,8,7,15,17
5,5,2013-11-22,N,Savannah State,W,72,71,22,53,.415,7,15,.467,21,29,.724,13,37,10,3,2,13,14,,27,57,.474,6,15,.400,11,15,.733,6,25,6,4,12,10,27
6,6,2013-11-23,N,Lamar,W,78,69,24,57,.421,10,22,.455,20,31,.645,9,39,17,6,2,10,17,,26,66,.394,4,11,.364,13,14,.929,8,35,15,5,5,10,24
7,7,2013-11-29,,San Diego Christian,W,91,61,30,52,.577,4,14,.286,27,37,.730,9,35,19,7,1,10,17,,21,52,.404,7,15,.467,12,19,.632,7,26,8,8,0,16,23
8,8,2013-12-03,,Vanguard,W,82,73,24,52,.462,4,10,.400,30,38,.789,7,39,12,5,3,12,21,,23,70,.329,8,29,.276,19,28,.679,10,32,11,6,3,8,28
9,9,2013-12-14,@,Northern Arizona,L,61,63,19,50,.380,7,22,.318,16,20,.800,8,31,7,5,1,18,18,,20,51,.392,4,13,.308,19,22,.864,6,31,9,13,7,12,16
