Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Portland State,W,82,72,23,64,.359,3,15,.200,33,40,.825,18,43,13,9,1,11,22,,26,58,.448,4,16,.250,16,29,.552,11,34,3,8,4,15,29
2,2,2015-11-17,,Black Hills State,W,88,72,31,48,.646,7,15,.467,19,30,.633,8,35,21,6,2,18,25,,22,55,.400,9,27,.333,19,25,.760,3,14,6,7,0,14,29
3,3,2015-11-19,,Alcorn State,W,79,46,24,49,.490,4,13,.308,27,36,.750,10,41,11,8,6,16,17,,18,60,.300,3,18,.167,7,13,.538,7,26,2,7,2,18,28
4,4,2015-11-23,,Mississippi Valley State,W,94,60,38,68,.559,8,23,.348,10,17,.588,12,47,28,6,1,9,24,,18,49,.367,6,19,.316,18,34,.529,6,25,11,6,1,9,17
5,5,2015-11-30,,Hampton,W,63,51,24,57,.421,3,8,.375,12,24,.500,12,40,8,6,5,8,19,,18,53,.340,4,19,.211,11,19,.579,7,28,7,5,8,10,21
6,6,2015-12-03,,Central Michigan,W,75,72,26,57,.456,8,18,.444,15,23,.652,10,33,14,8,1,17,20,,20,50,.400,10,28,.357,22,26,.846,8,25,8,10,1,17,24
7,7,2015-12-05,@,Louisville,L,63,111,20,54,.370,3,13,.231,20,28,.714,7,20,6,4,1,15,24,,38,70,.543,10,22,.455,25,36,.694,21,51,17,8,9,11,22
8,8,2015-12-08,,Southern,W,70,56,26,52,.500,5,16,.313,13,19,.684,12,38,17,9,2,16,16,,22,59,.373,7,24,.292,5,9,.556,9,23,7,4,3,13,16
9,9,2015-12-13,,Nebraska-Omaha,L (1 OT),104,108,37,77,.481,7,21,.333,23,33,.697,13,37,20,9,3,19,28,,34,61,.557,9,22,.409,31,40,.775,4,31,15,13,2,21,29
10,10,2015-12-15,,Delaware State,W,88,59,31,56,.554,9,20,.450,17,26,.654,14,36,18,12,3,13,15,,23,55,.418,6,17,.353,7,15,.467,10,23,13,4,2,15,21
11,11,2015-12-18,@,San Diego State,W,52,45,20,59,.339,2,5,.400,10,16,.625,11,37,12,6,1,11,20,,17,54,.315,3,19,.158,8,17,.471,11,37,5,5,9,12,19
12,12,2015-12-21,N,Houston,W,78,69,26,54,.481,8,15,.533,18,25,.720,6,32,15,6,5,9,18,,25,63,.397,9,24,.375,10,19,.526,11,36,13,5,6,10,24
13,13,2015-12-22,N,Marshall,W,85,81,29,63,.460,6,17,.353,21,30,.700,9,35,11,7,0,12,12,,32,68,.471,10,34,.294,7,11,.636,8,35,17,8,2,16,22
