,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-09,N,Quinnipiac,L,77,82,27,63,.429,7,22,.318,16,27,.593,4,26,9,9,3,15,35,,24,52,.462,4,11,.364,30,48,.625,6,41,10,7,4,18,29
2,2,2013-11-12,@,Florida Gulf Coast,L,51,65,21,51,.412,4,23,.174,5,12,.417,3,24,6,4,1,11,14,,27,53,.509,4,13,.308,7,12,.583,5,32,13,3,2,7,15
3,3,2013-11-13,@,Fairfield,W,63,53,19,42,.452,9,14,.643,16,22,.727,4,29,12,5,3,13,14,,20,54,.370,7,19,.368,6,10,.600,8,29,8,7,2,13,19
4,4,2013-11-15,,Fairleigh Dickinson,W,74,60,23,41,.561,10,20,.500,18,25,.720,6,23,13,10,2,17,13,,26,47,.553,7,17,.412,1,6,.167,3,15,8,9,2,16,21
5,5,2013-11-19,@,Louisville,L,48,87,18,43,.419,4,17,.235,8,14,.571,8,29,7,5,1,25,21,,31,62,.500,7,18,.389,18,26,.692,15,35,17,16,3,7,18
6,6,2013-11-23,N,Hofstra,L,78,81,29,55,.527,9,24,.375,11,16,.688,8,23,11,3,2,13,29,,23,49,.469,4,14,.286,31,41,.756,9,28,5,5,1,12,19
7,7,2013-11-24,N,Holy Cross,L,55,80,15,40,.375,9,23,.391,16,22,.727,3,16,10,7,0,21,25,,27,46,.587,4,11,.364,22,32,.688,9,31,15,10,2,14,22
8,8,2013-11-30,,Yale,L,49,54,14,42,.333,5,15,.333,16,23,.696,6,28,7,5,5,18,25,,17,52,.327,3,15,.200,17,26,.654,9,31,10,9,6,10,20
9,9,2013-12-04,@,La Salle,L,62,75,22,49,.449,6,25,.240,12,16,.750,5,25,11,4,2,18,22,,23,51,.451,4,13,.308,25,34,.735,8,30,9,7,3,11,20
10,10,2013-12-07,,Holy Cross,W,90,78,31,53,.585,8,19,.421,20,26,.769,8,24,18,5,1,11,19,,29,47,.617,8,17,.471,12,20,.600,2,17,12,6,3,14,25
11,11,2013-12-10,@,Central Connecticut,L,59,73,16,46,.348,6,22,.273,21,24,.875,8,31,9,3,2,13,18,,30,57,.526,3,11,.273,10,18,.556,10,30,15,5,3,9,22
12,12,2013-12-15,@,Sacred Heart,W,84,72,25,45,.556,10,20,.500,24,31,.774,6,30,14,8,5,19,16,,28,61,.459,4,17,.235,12,18,.667,11,29,15,10,0,17,25
13,13,2013-12-22,,St. Peter's,W,66,56,22,44,.500,7,17,.412,15,18,.833,5,26,12,3,1,13,19,,23,57,.404,3,14,.214,7,18,.389,15,33,5,8,2,10,19
14,14,2013-12-29,@,Washington,L,67,73,24,43,.558,9,18,.500,10,13,.769,3,21,14,3,0,14,21,,20,45,.444,7,21,.333,26,30,.867,6,21,12,4,4,6,15
15,15,2014-01-04,@,Albany (NY),L,56,81,21,51,.412,6,20,.300,8,10,.800,4,12,8,7,0,4,14,,25,43,.581,16,23,.696,15,17,.882,10,35,18,2,2,12,13
16,16,2014-01-07,@,Dartmouth,W,68,56,20,38,.526,6,12,.500,22,28,.786,5,29,9,4,2,12,22,,18,46,.391,3,14,.214,17,25,.680,8,25,11,6,1,12,25
17,17,2014-01-09,,Maine,W,80,65,32,66,.485,6,22,.273,10,20,.500,10,34,21,5,1,9,14,,25,54,.463,6,16,.375,9,17,.529,7,34,7,7,2,16,21
18,18,2014-01-12,,Stony Brook,L,50,73,17,46,.370,8,27,.296,8,15,.533,4,16,10,11,1,18,20,,28,49,.571,5,12,.417,12,18,.667,7,31,15,9,0,15,18
19,19,2014-01-18,@,New Hampshire,W,60,43,20,50,.400,9,24,.375,11,13,.846,7,29,10,8,3,10,13,,15,45,.333,6,22,.273,7,13,.538,8,28,7,4,4,16,16
20,20,2014-01-20,,UMass-Lowell,W,69,51,26,62,.419,14,40,.350,3,5,.600,13,34,16,3,1,11,17,,18,49,.367,6,19,.316,9,12,.750,9,27,10,6,3,13,14
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2014-01-23,@,Binghamton,W,56,54,19,46,.413,10,28,.357,8,11,.727,6,26,14,5,3,15,19,,18,45,.400,4,16,.250,14,18,.778,4,23,11,7,2,12,13
22,22,2014-01-25,@,UMBC,L,58,60,15,40,.375,3,12,.250,25,32,.781,8,36,7,7,2,16,16,,20,53,.377,6,22,.273,14,20,.700,7,25,12,10,2,9,22
23,23,2014-01-29,,Vermont,L,60,67,21,44,.477,7,13,.538,11,21,.524,1,20,12,5,1,13,22,,21,43,.488,6,12,.500,19,26,.731,5,26,10,10,4,15,22
24,24,2014-02-01,@,Stony Brook,L,52,56,17,45,.378,12,32,.375,6,10,.600,6,20,13,10,4,14,17,,23,46,.500,2,9,.222,8,11,.727,9,31,10,5,4,20,11
25,25,2014-02-08,,Albany (NY),W,67,54,25,48,.521,12,23,.522,5,11,.455,5,25,17,6,2,10,20,,16,47,.340,2,12,.167,20,26,.769,10,31,5,3,2,11,19
