Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Central Connecticut,W (2 OT),92,83,28,66,.424,10,23,.435,26,33,.788,3,33,12,7,3,6,21,,30,76,.395,9,31,.290,14,25,.560,13,46,15,2,9,13,24
2,2,2015-11-15,@,Saint Louis,L,68,85,22,50,.440,9,25,.360,15,22,.682,3,28,15,2,2,16,32,,28,53,.528,3,13,.231,26,40,.650,4,32,16,7,4,7,23
3,3,2015-11-17,@,Louisville,L,52,87,14,43,.326,3,17,.176,21,27,.778,3,24,7,2,1,13,22,,33,65,.508,7,19,.368,14,24,.583,16,44,15,5,3,7,23
4,4,2015-11-19,@,St. Peter's,W,67,66,25,55,.455,9,20,.450,8,11,.727,5,26,7,5,4,10,18,,25,63,.397,6,18,.333,10,15,.667,15,38,15,2,6,10,15
5,5,2015-11-24,,Niagara,W,77,73,24,61,.393,12,26,.462,17,22,.773,13,31,14,4,1,7,18,,25,58,.431,6,22,.273,17,24,.708,15,39,8,3,8,15,24
6,6,2015-11-27,,North Florida,L,60,81,20,64,.313,8,30,.267,12,21,.571,10,31,10,6,2,14,26,,25,52,.481,9,22,.409,22,31,.710,7,40,13,7,4,16,23
7,7,2015-11-29,,St. Francis (NY),L,67,74,20,44,.455,2,8,.250,25,33,.758,7,33,10,9,0,21,21,,24,61,.393,8,26,.308,18,26,.692,13,30,12,11,2,12,26
8,8,2015-12-02,@,Providence,L,66,89,23,58,.397,10,30,.333,10,14,.714,4,22,10,8,1,13,16,,34,64,.531,9,22,.409,12,14,.857,10,40,24,5,6,12,13
9,9,2015-12-05,@,Dartmouth,L,65,74,20,58,.345,12,38,.316,13,18,.722,5,25,11,8,2,11,23,,29,61,.475,1,9,.111,15,25,.600,16,49,13,5,3,16,20
10,10,2015-12-09,,Quinnipiac,L,66,68,26,65,.400,7,26,.269,7,10,.700,5,20,13,12,0,9,17,,26,56,.464,10,20,.500,6,13,.462,10,40,11,2,6,21,17
11,11,2015-12-12,,Holy Cross,L,68,90,25,54,.463,14,36,.389,4,6,.667,2,15,16,9,1,16,22,,33,50,.660,8,14,.571,16,26,.615,7,33,20,12,0,15,12
12,12,2015-12-14,,Sacred Heart,W,80,71,25,56,.446,8,23,.348,22,31,.710,6,29,18,10,2,10,21,,26,59,.441,5,21,.238,14,23,.609,13,38,12,6,2,19,26
13,13,2015-12-22,,Widener,W,69,46,24,63,.381,15,43,.349,6,8,.750,8,30,21,13,0,12,15,,16,44,.364,4,18,.222,10,12,.833,5,34,9,7,2,24,15
14,14,2015-12-30,@,Rider,L (2 OT),80,82,24,59,.407,14,30,.467,18,26,.692,5,40,15,7,1,16,28,,26,64,.406,7,23,.304,23,38,.605,11,44,13,7,5,12,19
15,15,2016-01-02,,Yale,L,53,88,16,65,.246,7,27,.259,14,16,.875,10,24,8,7,3,9,23,,32,48,.667,8,14,.571,16,27,.593,8,46,19,5,4,19,15
16,16,2016-01-06,@,UMass-Lowell,L,76,80,30,64,.469,13,34,.382,3,5,.600,8,25,16,6,0,14,17,,31,56,.554,9,21,.429,9,17,.529,11,34,19,7,1,16,12
17,17,2016-01-13,@,Binghamton,W,76,72,25,54,.463,4,17,.235,22,29,.759,6,25,12,14,0,7,23,,23,48,.479,5,15,.333,21,34,.618,14,41,13,6,4,18,21
18,18,2016-01-16,,Vermont,L,68,83,20,54,.370,10,26,.385,18,26,.692,4,20,13,9,2,5,23,,28,50,.560,9,20,.450,18,28,.643,9,37,19,1,6,12,21
19,19,2016-01-18,,Stony Brook,L,43,77,15,51,.294,5,20,.250,8,14,.571,6,25,7,6,2,15,17,,27,56,.482,8,17,.471,15,23,.652,12,44,20,10,0,11,16
20,20,2016-01-21,@,UMBC,W,98,87,33,60,.550,13,26,.500,19,23,.826,4,34,17,8,1,12,24,,33,68,.485,6,21,.286,15,22,.682,7,29,18,8,1,9,20
21,21,2016-01-24,@,New Hampshire,L,71,84,24,63,.381,8,29,.276,15,20,.750,5,21,8,5,1,3,19,,34,62,.548,7,16,.438,9,17,.529,13,46,19,1,4,10,17
22,22,2016-01-27,,Maine,L (1 OT),100,105,31,73,.425,16,34,.471,22,28,.786,8,41,18,9,4,21,26,,39,88,.443,10,33,.303,17,30,.567,16,51,21,10,4,15,25
23,23,2016-01-30,,Albany (NY),L,60,86,21,62,.339,8,27,.296,10,12,.833,3,27,12,7,0,8,18,,28,58,.483,11,26,.423,19,25,.760,10,48,14,6,3,12,17
24,24,2016-02-03,,UMass-Lowell,L,83,85,27,56,.482,5,23,.217,24,29,.828,7,24,9,6,5,18,26,,31,59,.525,7,19,.368,16,29,.552,11,36,13,8,3,18,28
25,25,2016-02-08,@,Stony Brook,L,72,85,26,58,.448,9,24,.375,11,16,.688,8,25,11,6,1,10,20,,30,63,.476,4,17,.235,21,24,.875,16,40,16,2,4,13,19
26,26,2016-02-11,,Binghamton,L,54,68,17,49,.347,9,28,.321,11,18,.611,7,30,11,6,3,12,22,,24,55,.436,3,17,.176,17,23,.739,9,36,16,4,0,8,18
27,27,2016-02-14,@,Vermont,L,81,92,25,56,.446,12,31,.387,19,23,.826,4,20,11,5,1,12,26,,32,58,.552,9,21,.429,19,28,.679,14,41,17,1,4,16,20
28,28,2016-02-17,,UMBC,W,88,65,30,53,.566,15,25,.600,13,15,.867,3,25,22,8,1,7,17,,24,56,.429,9,23,.391,8,15,.533,9,29,15,3,3,12,15
29,29,2016-02-20,,New Hampshire,L,63,74,23,63,.365,9,29,.310,8,11,.727,9,34,10,2,6,9,23,,21,58,.362,9,25,.360,23,30,.767,11,43,12,3,2,8,16
30,30,2016-02-24,@,Maine,W,82,74,25,59,.424,12,27,.444,20,23,.870,8,33,15,5,3,10,20,,25,60,.417,7,21,.333,17,24,.708,11,35,15,5,1,12,21
31,31,2016-02-27,@,Albany (NY),L,59,75,23,62,.371,7,34,.206,6,7,.857,6,21,9,5,2,11,19,,28,59,.475,4,21,.190,15,21,.714,13,42,13,7,3,14,14
32,32,2016-03-02,@,Albany (NY),W,68,59,22,50,.440,12,30,.400,12,14,.857,5,27,14,1,6,8,19,,20,59,.339,6,27,.222,13,19,.684,17,40,10,4,0,8,18
