,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,MIT,W,59,39,20,52,.385,5,15,.333,14,21,.667,12,37,11,5,7,11,16,,14,48,.292,3,17,.176,8,14,.571,5,28,6,4,2,12,22
2,2,2015-11-14,@,Providence,L,64,76,24,53,.453,9,20,.450,7,13,.538,8,33,16,3,7,20,20,,27,68,.397,4,16,.250,18,21,.857,13,34,13,14,6,7,14
3,3,2015-11-17,,UMass,L,63,69,20,56,.357,5,27,.185,18,25,.720,14,39,10,2,1,10,17,,25,63,.397,5,21,.238,14,16,.875,11,37,8,5,0,5,21
4,4,2015-11-22,@,Boston College,L,56,69,20,46,.435,7,13,.538,9,23,.391,6,32,12,6,3,16,19,,18,49,.367,10,24,.417,23,29,.793,5,32,13,8,2,10,20
5,5,2015-11-25,,Bryant,W,80,45,28,51,.549,10,20,.500,14,22,.636,9,39,22,9,8,15,15,,16,60,.267,3,20,.150,10,11,.909,9,24,8,10,5,17,19
6,6,2015-11-29,@,Holy Cross,L,49,50,19,51,.373,8,24,.333,3,8,.375,9,39,14,6,8,13,16,,16,53,.302,5,20,.250,13,16,.813,5,29,11,4,3,9,13
7,7,2015-12-02,@,Northeastern,L,71,80,31,56,.554,6,18,.333,3,8,.375,4,26,25,1,6,15,19,,28,65,.431,10,29,.345,14,17,.824,12,33,15,7,1,10,14
8,8,2015-12-05,@,Kansas,L,69,75,25,57,.439,7,19,.368,12,15,.800,10,35,15,3,3,18,22,,28,59,.475,6,14,.429,13,25,.520,9,29,17,11,5,12,14
9,9,2015-12-08,@,Boston University,W,75,69,27,57,.474,10,19,.526,11,15,.733,6,28,19,6,1,9,17,,25,55,.455,4,17,.235,15,19,.789,6,30,9,5,1,14,16
10,10,2015-12-22,N,BYU,W (1 OT),85,82,29,61,.475,11,22,.500,16,26,.615,8,32,18,5,4,14,24,,30,60,.500,3,13,.231,19,29,.655,7,31,12,7,2,15,24
11,11,2015-12-23,N,Auburn,W,69,51,25,53,.472,8,21,.381,11,20,.550,7,34,15,2,4,15,17,,19,63,.302,6,25,.240,7,17,.412,14,37,10,6,2,15,19
12,12,2015-12-25,N,Oklahoma,L,71,83,27,69,.391,9,24,.375,8,13,.615,11,28,12,8,4,11,20,,27,54,.500,9,24,.375,20,26,.769,6,38,10,5,4,16,15
13,13,2015-12-31,,Wofford,W,77,57,30,47,.638,8,14,.571,9,18,.500,8,29,22,6,7,12,17,,23,57,.404,2,15,.133,9,12,.750,10,26,16,8,1,11,20
14,14,2016-01-03,,Vermont,L,62,65,21,46,.457,7,15,.467,13,19,.684,4,28,12,7,11,17,14,,25,59,.424,4,10,.400,11,14,.786,6,26,17,9,1,9,16
15,15,2016-01-09,,Dartmouth,W,77,70,28,53,.528,6,12,.500,15,23,.652,4,31,18,3,6,11,14,,25,62,.403,8,19,.421,12,16,.750,7,29,12,5,4,7,18
16,16,2016-01-12,,Ryerson,W,73,57,26,69,.377,7,22,.318,14,22,.636,22,57,16,10,2,17,15,,21,60,.350,9,37,.243,6,9,.667,4,29,14,7,3,16,20
17,17,2016-01-16,@,Howard,W,69,61,25,56,.446,12,23,.522,7,10,.700,16,41,16,3,4,25,18,,23,60,.383,2,14,.143,13,18,.722,10,25,7,6,2,15,14
18,18,2016-01-23,@,Dartmouth,L,50,63,20,51,.392,4,13,.308,6,20,.300,3,24,9,9,4,14,22,,19,49,.388,5,17,.294,20,26,.769,9,38,11,9,0,15,18
19,19,2016-01-29,,Cornell,L,65,77,27,67,.403,5,19,.263,6,17,.353,15,47,21,3,6,14,20,,24,59,.407,10,27,.370,19,24,.792,1,27,10,9,4,9,21
20,20,2016-01-30,,Columbia,L,54,55,21,49,.429,5,16,.313,7,13,.538,9,39,12,3,7,15,10,,22,57,.386,6,24,.250,5,10,.500,5,27,8,8,5,5,15
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-02-05,@,Princeton,L,62,83,23,47,.489,7,11,.636,9,20,.450,8,24,12,4,3,19,14,,32,62,.516,12,29,.414,7,10,.700,14,32,21,7,1,12,19
22,22,2016-02-06,@,Penn,L,57,67,21,68,.309,7,30,.233,8,10,.800,9,30,12,10,4,6,17,,27,62,.435,4,18,.222,9,13,.692,13,49,13,5,2,16,17
23,23,2016-02-12,,Brown,W,79,73,23,56,.411,9,26,.346,24,34,.706,14,35,14,5,6,11,25,,22,50,.440,8,22,.364,21,32,.656,10,32,12,5,4,13,27
24,24,2016-02-13,,Yale,L,55,67,21,52,.404,4,16,.250,9,18,.500,9,32,11,5,6,12,19,,25,56,.446,3,11,.273,14,18,.778,8,33,13,5,1,8,19
25,25,2016-02-19,@,Columbia,L,76,90,29,51,.569,11,18,.611,7,11,.636,5,18,17,3,1,12,17,,31,54,.574,11,26,.423,17,21,.810,7,24,17,9,3,5,14
26,26,2016-02-20,@,Cornell,W,76,74,25,62,.403,7,28,.250,19,29,.655,14,36,16,7,4,12,21,,22,49,.449,11,22,.500,19,27,.704,9,32,13,10,3,17,23
27,27,2016-02-26,@,Yale,L,50,59,20,50,.400,6,15,.400,4,5,.800,2,26,8,4,6,11,16,,24,53,.453,6,17,.353,5,14,.357,7,35,18,5,1,9,13
28,28,2016-02-27,@,Brown,W,61,52,23,56,.411,8,26,.308,7,16,.438,15,48,16,5,2,15,20,,17,55,.309,5,19,.263,13,23,.565,9,32,9,7,1,10,21
29,29,2016-03-04,,Princeton,W,73,71,29,56,.518,4,9,.444,11,15,.733,9,30,13,3,6,13,24,,22,51,.431,7,21,.333,20,28,.714,11,27,9,9,5,9,22
30,30,2016-03-05,,Penn,W,74,56,27,50,.540,8,14,.571,12,17,.706,5,39,18,4,9,15,13,,22,68,.324,5,21,.238,7,8,.875,8,28,12,8,2,7,18
