,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-08,@,North Carolina-Greensboro,L,74,82,27,62,.435,1,14,.071,19,27,.704,10,36,3,7,1,11,27,,26,56,.464,5,17,.294,25,40,.625,12,42,12,5,1,10,21
2,2,2013-11-12,,Ferrum,W,94,64,40,67,.597,5,9,.556,9,16,.563,12,43,17,12,3,13,19,,20,58,.345,9,27,.333,15,20,.750,7,24,13,7,3,17,14
3,3,2013-11-16,@,Eastern Kentucky,L,67,74,27,53,.509,4,14,.286,9,13,.692,7,31,15,5,4,15,18,,24,55,.436,10,29,.345,16,24,.667,7,26,17,9,3,6,18
4,4,2013-11-20,@,William & Mary,W,80,69,32,62,.516,6,17,.353,10,14,.714,11,38,16,10,5,13,18,,24,59,.407,10,29,.345,11,19,.579,10,28,16,6,2,13,16
5,5,2013-11-24,,Wofford,W,66,56,26,48,.542,3,10,.300,11,16,.688,8,38,12,3,3,17,20,,19,57,.333,7,27,.259,11,20,.550,11,25,9,5,0,14,19
6,6,2013-12-01,,Stephen F. Austin,L,68,71,25,53,.472,4,13,.308,14,19,.737,10,30,14,4,6,11,17,,24,54,.444,10,21,.476,13,21,.619,12,32,16,3,2,7,18
7,7,2013-12-05,@,Georgetown,L,45,80,16,57,.281,3,21,.143,10,14,.714,15,33,11,5,4,16,17,,32,58,.552,10,24,.417,6,11,.545,8,36,23,6,4,15,18
8,8,2013-12-14,,James Madison,L,69,84,24,60,.400,7,21,.333,14,18,.778,5,25,19,8,0,5,18,,27,49,.551,10,21,.476,20,25,.800,5,34,13,3,5,11,16
9,9,2013-12-18,@,Morgan State,L,74,85,22,47,.468,7,19,.368,23,28,.821,6,30,12,4,4,19,26,,29,57,.509,3,11,.273,24,41,.585,14,34,13,11,3,11,23
10,10,2013-12-20,@,Syracuse,L,54,75,21,48,.438,8,20,.400,4,4,1.000,7,21,15,5,2,17,15,,29,54,.537,7,13,.538,10,18,.556,9,27,15,12,6,10,8
11,11,2013-12-28,@,Arkansas,L,48,89,18,48,.375,6,14,.429,6,12,.500,10,26,8,4,2,25,15,,34,66,.515,7,23,.304,14,17,.824,12,31,22,17,4,12,16
12,12,2013-12-30,@,Wofford,L,53,81,16,56,.286,2,15,.133,19,29,.655,9,26,9,8,5,10,16,,31,58,.534,9,24,.375,10,14,.714,9,41,22,8,1,14,21
13,13,2014-01-03,,Lees-McRae,W,85,78,30,55,.545,0,4,.000,25,31,.806,5,29,16,7,6,15,20,,25,59,.424,11,24,.458,17,23,.739,9,26,13,8,6,17,21
14,14,2014-01-08,@,Campbell,L,71,74,27,52,.519,4,12,.333,13,18,.722,10,26,14,8,2,10,9,,28,62,.452,12,31,.387,6,6,1.000,14,29,25,5,2,12,16
15,15,2014-01-10,,Radford,L,72,81,24,51,.471,6,11,.545,18,27,.667,9,29,12,4,5,10,23,,26,49,.531,2,11,.182,27,34,.794,6,28,10,5,1,8,23
16,16,2014-01-15,,Longwood,W,83,75,25,54,.463,9,18,.500,24,31,.774,8,24,16,12,2,8,19,,27,47,.574,9,19,.474,12,19,.632,4,25,16,2,1,19,23
17,17,2014-01-18,@,Liberty,W,76,70,24,55,.436,8,15,.533,20,23,.870,8,18,13,8,1,10,19,,25,41,.610,7,11,.636,13,20,.650,5,28,14,3,0,17,18
18,18,2014-01-22,@,Virginia Military Institute,L (1 OT),80,82,34,64,.531,7,12,.583,5,8,.625,6,30,18,5,4,18,16,,31,74,.419,10,31,.323,10,12,.833,13,37,14,12,8,16,13
19,19,2014-01-25,,North Carolina-Asheville,W,78,67,31,61,.508,6,13,.462,10,16,.625,9,24,19,9,2,8,16,,23,44,.523,7,17,.412,14,19,.737,6,25,16,6,2,19,16
20,20,2014-01-28,@,Presbyterian,W,81,74,30,53,.566,14,22,.636,7,11,.636,7,21,19,5,2,6,16,,27,49,.551,7,21,.333,13,15,.867,6,25,15,4,1,10,12
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2014-02-01,,Winthrop,W,65,64,25,47,.532,4,14,.286,11,16,.688,4,24,15,4,4,7,13,,23,52,.442,6,13,.462,12,16,.750,7,26,10,3,1,7,17
22,22,2014-02-05,@,Coastal Carolina,W,77,74,27,55,.491,10,20,.500,13,14,.929,7,24,16,11,3,16,15,,29,55,.527,7,20,.350,9,9,1.000,9,28,13,6,4,18,17
23,23,2014-02-08,@,Gardner-Webb,L,76,80,29,60,.483,6,17,.353,12,16,.750,8,27,12,4,8,11,21,,26,57,.456,4,13,.308,24,31,.774,13,33,17,9,6,8,16
24,24,2014-02-15,@,Radford,W,72,65,24,53,.453,3,8,.375,21,22,.955,11,30,14,3,4,7,16,,24,60,.400,5,19,.263,12,17,.706,16,33,10,4,2,8,20
25,25,2014-02-17,,Charleston Southern,W,76,70,26,52,.500,11,22,.500,13,21,.619,10,33,19,4,4,12,13,,25,52,.481,11,28,.393,9,15,.600,5,23,12,10,2,8,18
26,26,2014-02-19,,Liberty,W,67,60,23,51,.451,4,15,.267,17,23,.739,7,30,14,1,2,9,12,,24,55,.436,4,13,.308,8,11,.727,6,28,10,3,2,8,18
27,27,2014-02-22,@,Longwood,W,85,59,31,57,.544,11,20,.550,12,15,.800,5,31,26,2,4,8,14,,23,56,.411,1,12,.083,12,16,.750,10,32,15,6,2,11,18
28,28,2014-02-26,,Virginia Military Institute,W,70,67,29,56,.518,3,14,.214,9,12,.750,5,27,18,6,2,12,14,,25,67,.373,6,30,.200,11,16,.688,13,37,10,6,3,11,14
29,29,2014-02-28,,Campbell,W,56,53,22,56,.393,9,23,.391,3,7,.429,8,31,15,6,6,9,10,,20,52,.385,7,24,.292,6,7,.857,9,37,8,4,1,16,13
30,30,2014-03-07,N,Winthrop,L,60,62,22,51,.431,4,12,.333,12,14,.857,7,22,10,7,7,10,15,,24,50,.480,6,13,.462,8,11,.727,10,29,6,6,4,12,14
31,31,2014-03-18,@,Minnesota,L,81,88,24,54,.444,12,26,.462,21,23,.913,7,27,18,3,1,12,25,,26,53,.491,6,20,.300,30,36,.833,7,26,19,9,2,6,16
