,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,New Mexico State,L,69,91,24,64,.375,6,21,.286,15,22,.682,8,24,9,9,0,10,21,,34,59,.576,6,17,.353,17,20,.850,10,44,15,3,5,17,25
2,2,2015-11-16,,Crowley's Ridge,W,102,62,45,74,.608,5,14,.357,7,14,.500,13,42,24,15,10,17,18,,22,62,.355,6,22,.273,12,17,.706,9,27,18,8,3,25,19
3,3,2015-11-19,@,Texas Christian,L,63,90,21,47,.447,4,13,.308,17,27,.630,4,22,13,2,2,16,20,,30,61,.492,6,18,.333,24,30,.800,8,34,21,5,5,8,24
4,4,2015-11-21,@,Illinois State,L,56,72,18,51,.353,2,11,.182,18,24,.750,11,30,6,5,2,20,18,,29,59,.492,5,17,.294,9,18,.500,12,33,19,6,3,16,26
5,5,2015-11-24,N,South Dakota State,L,68,92,22,60,.367,7,18,.389,17,20,.850,9,25,8,4,0,11,19,,33,58,.569,11,20,.550,15,18,.833,9,35,20,4,4,10,18
6,6,2015-11-25,N,Rider,L,56,67,21,53,.396,2,13,.154,12,18,.667,10,32,10,5,3,12,17,,24,60,.400,6,21,.286,13,22,.591,19,36,14,10,1,12,21
7,7,2015-12-02,,Rice,W,77,73,25,53,.472,3,10,.300,24,30,.800,10,30,14,5,2,13,25,,22,53,.415,7,20,.350,22,32,.688,12,29,12,6,5,13,27
8,8,2015-12-05,@,Michigan,L,57,82,22,51,.431,5,8,.625,8,11,.727,4,27,10,0,2,16,17,,28,58,.483,11,23,.478,15,20,.750,5,26,14,6,6,6,16
9,9,2015-12-12,,Arlington Baptist,W,110,53,42,72,.583,8,23,.348,18,27,.667,14,50,24,13,8,14,10,,22,69,.319,3,10,.300,6,8,.750,9,29,7,9,0,21,20
10,10,2015-12-15,,UC-Riverside,W,72,59,23,55,.418,5,16,.313,21,29,.724,7,39,16,4,8,17,16,,21,64,.328,3,20,.150,14,17,.824,9,35,5,7,4,16,27
11,11,2015-12-19,@,Arizona State,L,79,98,27,64,.422,8,20,.400,17,23,.739,12,32,18,4,6,10,24,,31,64,.484,12,26,.462,24,30,.800,13,34,20,6,6,8,18
12,12,2015-12-29,,Ecclesia,W,101,47,35,60,.583,4,10,.400,27,45,.600,12,57,18,4,15,10,21,,16,71,.225,4,24,.167,11,16,.688,7,29,11,3,2,11,31
13,13,2016-01-02,@,Northwestern State,W,99,73,34,66,.515,10,23,.435,21,24,.875,9,40,19,8,6,9,24,,22,57,.386,5,15,.333,24,33,.727,7,31,13,3,5,13,19
14,14,2016-01-05,,McNeese State,W,82,73,29,61,.475,5,14,.357,19,26,.731,10,39,15,6,1,14,16,,24,62,.387,7,20,.350,18,22,.818,9,32,12,10,7,15,22
15,15,2016-01-09,,Southeastern Louisiana,W,77,58,24,53,.453,7,19,.368,22,30,.733,10,40,17,5,7,12,21,,19,60,.317,8,25,.320,12,21,.571,14,38,13,3,4,14,28
16,16,2016-01-13,,Nicholls State,W,78,69,30,60,.500,4,13,.308,14,24,.583,13,39,15,9,5,15,18,,22,57,.386,5,17,.294,20,24,.833,9,28,8,5,6,19,25
17,17,2016-01-16,@,New Orleans,W,73,69,22,53,.415,3,16,.188,26,33,.788,10,42,7,6,6,17,27,,24,66,.364,3,14,.214,18,32,.563,13,35,10,8,4,10,26
18,18,2016-01-19,@,Central Arkansas,W,72,61,21,44,.477,5,17,.294,25,33,.758,2,26,12,9,4,18,17,,20,63,.317,6,22,.273,15,23,.652,14,37,9,9,5,23,24
19,19,2016-01-23,@,Lamar,W,92,79,35,70,.500,6,16,.375,16,24,.667,18,46,14,6,7,14,24,,23,58,.397,11,20,.550,22,34,.647,8,30,14,7,4,11,21
20,20,2016-01-25,,Hillsdale,W,109,84,41,65,.631,12,21,.571,15,20,.750,9,38,24,6,5,10,15,,30,66,.455,14,26,.538,10,13,.769,6,21,17,4,3,11,15
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-30,,Sam Houston State,W,70,69,22,50,.440,8,23,.348,18,30,.600,11,37,15,2,1,11,18,,26,61,.426,4,19,.211,13,19,.684,9,31,9,4,2,8,23
22,22,2016-02-02,@,Abilene Christian,L,72,79,22,46,.478,3,12,.250,25,37,.676,6,31,8,5,2,17,20,,28,57,.491,9,20,.450,14,20,.700,6,30,15,9,5,11,31
23,23,2016-02-06,,Stephen F. Austin,L,66,72,25,51,.490,2,8,.250,14,19,.737,10,27,9,7,1,17,20,,26,57,.456,5,18,.278,15,18,.833,14,32,16,7,2,18,20
24,24,2016-02-08,@,Texas A&M-Corpus Christi,L,76,83,22,45,.489,6,14,.429,26,28,.929,5,29,10,3,2,21,20,,32,67,.478,2,14,.143,17,28,.607,15,31,13,17,6,7,22
25,25,2016-02-13,@,Sam Houston State,L,68,80,22,52,.423,4,16,.250,20,27,.741,8,33,15,3,1,14,19,,31,61,.508,9,21,.429,9,13,.692,8,34,28,5,0,10,24
26,26,2016-02-15,,Lamar,W,79,78,27,50,.540,8,20,.400,17,23,.739,4,27,17,5,3,17,14,,32,70,.457,7,19,.368,7,16,.438,13,33,16,8,1,10,21
27,27,2016-02-18,,Abilene Christian,W,73,71,25,48,.521,6,8,.750,17,27,.630,5,30,11,1,7,10,15,,27,55,.491,6,12,.500,11,17,.647,5,26,14,5,3,9,27
28,28,2016-02-22,,Incarnate Word,L,91,97,29,55,.527,6,19,.316,27,36,.750,7,23,12,7,2,8,18,,35,56,.625,7,14,.500,20,21,.952,6,28,19,3,0,15,25
29,29,2016-02-27,@,Stephen F. Austin,L,54,82,21,43,.488,3,12,.250,9,18,.500,6,27,13,6,1,25,21,,28,59,.475,8,22,.364,18,22,.818,10,26,19,14,3,12,17
30,30,2016-03-03,,Texas A&M-Corpus Christi,L,71,81,23,50,.460,10,24,.417,15,17,.882,10,29,16,3,3,16,18,,31,68,.456,8,21,.381,11,13,.846,15,30,12,8,3,6,18
31,31,2016-03-05,@,Incarnate Word,L,86,97,32,63,.508,10,18,.556,12,18,.667,8,29,10,4,0,11,20,,35,61,.574,10,25,.400,17,19,.895,3,26,24,10,4,8,16
32,32,2016-03-10,N,Southeastern Louisiana,W,73,68,23,61,.377,11,32,.344,16,20,.800,14,42,18,4,7,12,17,,23,59,.390,12,27,.444,10,17,.588,8,31,15,7,5,9,17
33,33,2016-03-11,N,Stephen F. Austin,L,68,104,22,51,.431,8,20,.400,16,22,.727,5,27,9,1,2,18,21,,33,70,.471,9,27,.333,29,32,.906,16,41,21,7,3,6,17
