Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-18,,Prairie View,W,110,69,38,66,.576,9,16,.563,25,26,.962,13,40,21,9,6,15,22,,23,55,.418,4,15,.267,19,27,.704,7,19,10,9,3,16,22
2,2,2015-11-21,,Florida A&M,W,97,52,39,67,.582,9,27,.333,10,18,.556,9,36,21,13,3,9,23,,17,47,.362,4,17,.235,14,30,.467,8,32,6,5,0,22,17
3,3,2015-11-28,,Louisiana-Monroe,W,76,64,28,66,.424,7,26,.269,13,19,.684,16,40,14,5,5,9,16,,25,57,.439,3,16,.188,11,16,.688,9,34,11,4,2,12,17
4,4,2015-11-30,,Texas-Rio Grande Valley,W,78,65,29,68,.426,5,22,.227,15,20,.750,17,44,11,6,4,9,17,,21,50,.420,6,20,.300,17,25,.680,5,26,11,5,1,12,19
5,5,2015-12-02,,Murray State,W,93,78,32,50,.640,10,15,.667,19,23,.826,8,32,15,6,6,13,18,,30,69,.435,9,23,.391,9,16,.563,17,30,20,5,2,10,21
6,6,2015-12-08,@,Rhode Island,L,57,67,23,57,.404,1,11,.091,10,17,.588,10,36,4,4,2,8,21,,26,52,.500,2,15,.133,13,27,.481,7,27,12,3,6,9,19
7,7,2015-12-13,,LSU,W (1 OT),105,98,37,72,.514,5,15,.333,26,39,.667,16,44,13,5,4,11,23,,34,68,.500,9,26,.346,21,28,.750,9,32,18,7,4,13,31
8,8,2015-12-16,,North Carolina Central,W,73,65,23,56,.411,8,23,.348,19,23,.826,10,33,13,4,6,10,19,,22,62,.355,4,21,.190,17,22,.773,15,39,7,5,1,12,20
9,9,2015-12-19,,Eastern Illinois,W,81,65,24,51,.471,10,26,.385,23,28,.821,12,30,13,8,3,10,22,,21,48,.438,8,21,.381,15,25,.600,13,28,13,7,0,13,21
10,10,2015-12-21,N,Grand Canyon,L,69,78,25,63,.397,9,24,.375,10,19,.526,11,36,13,5,6,10,24,,26,54,.481,8,15,.533,18,25,.720,6,32,15,6,5,9,18
11,11,2015-12-22,N,Wyoming,W (2 OT),94,89,33,78,.423,8,32,.250,20,23,.870,9,34,12,10,2,12,35,,22,57,.386,9,28,.321,36,46,.783,6,33,7,3,4,21,20
12,12,2015-12-28,,Nicholls State,W,76,49,30,66,.455,4,23,.174,12,15,.800,16,50,15,6,11,15,19,,16,57,.281,5,26,.192,12,18,.667,5,24,7,8,3,14,16
13,13,2015-12-30,@,South Florida,W,73,67,22,52,.423,6,14,.429,23,35,.657,4,19,16,13,2,6,21,,22,51,.431,6,15,.400,17,22,.773,13,42,13,2,7,20,24
14,14,2016-01-02,@,Temple,W,77,50,31,57,.544,7,15,.467,8,15,.533,12,37,15,6,3,12,15,,20,58,.345,3,23,.130,7,9,.778,11,25,6,5,4,13,18
15,15,2016-01-05,,Tulane,W,63,45,25,61,.410,2,14,.143,11,21,.524,17,45,9,6,3,7,15,,17,52,.327,5,23,.217,6,11,.545,9,30,7,3,5,11,17
16,16,2016-01-13,@,Cincinnati,L,59,70,20,55,.364,10,22,.455,9,18,.500,17,37,9,2,2,17,14,,27,65,.415,8,23,.348,8,12,.667,16,34,17,10,4,7,16
17,17,2016-01-17,,UConn,L,57,69,21,63,.333,8,25,.320,7,13,.538,11,33,11,7,3,9,14,,25,54,.463,5,16,.313,14,15,.933,6,38,13,5,5,12,14
18,18,2016-01-19,@,SMU,L,73,77,29,62,.468,7,20,.350,8,16,.500,23,36,9,4,3,10,21,,25,51,.490,3,13,.231,24,32,.750,16,30,14,6,6,9,17
19,19,2016-01-23,,South Florida,L,62,71,21,56,.375,4,23,.174,16,25,.640,11,25,13,6,3,9,25,,21,48,.438,3,6,.500,26,32,.813,11,38,9,5,4,14,23
20,20,2016-01-27,,Tulsa,W,81,66,27,58,.466,6,18,.333,21,25,.840,12,44,12,1,5,11,22,,22,67,.328,3,26,.115,19,28,.679,14,35,7,4,2,5,18
21,21,2016-01-30,@,East Carolina,W (2 OT),97,93,37,71,.521,11,25,.440,12,22,.545,15,36,20,9,1,14,17,,33,70,.471,14,38,.368,13,18,.722,15,37,24,5,2,18,24
22,22,2016-02-01,,SMU,W,71,68,26,56,.464,7,16,.438,12,21,.571,11,35,11,6,6,14,19,,21,52,.404,6,15,.400,20,23,.870,7,23,10,3,4,12,21
23,23,2016-02-07,@,Tulsa,L,63,77,22,49,.449,11,24,.458,8,9,.889,4,16,12,3,2,11,16,,28,54,.519,8,19,.421,13,19,.684,12,29,14,5,4,7,13
