Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,@,UMass,L,79,85,29,62,.468,7,19,.368,14,22,.636,13,34,13,13,2,20,31,,26,50,.520,5,20,.250,28,44,.636,6,26,12,11,5,18,20
2,2,2015-11-15,@,Rutgers,L,70,82,24,55,.436,2,12,.167,20,34,.588,9,28,12,9,4,18,30,,24,56,.429,2,14,.143,32,46,.696,13,38,18,11,2,20,25
3,3,2015-11-20,,Medgar Evers,W,106,64,35,63,.556,8,20,.400,28,36,.778,14,43,16,11,6,12,25,,19,61,.311,8,16,.500,18,29,.621,11,26,4,4,2,19,28
4,4,2015-11-23,N,Texas Southern,W,87,81,25,57,.439,6,18,.333,31,37,.838,9,35,6,7,5,9,30,,23,58,.397,7,17,.412,28,39,.718,13,35,14,2,4,12,27
5,5,2015-11-25,N,Central Arkansas,W,73,54,30,60,.500,2,16,.125,11,12,.917,11,42,6,11,3,13,17,,22,62,.355,4,19,.211,6,11,.545,10,28,8,6,1,15,11
6,6,2015-11-28,,William & Mary,W,79,77,25,63,.397,6,17,.353,23,30,.767,14,33,6,5,2,6,16,,28,58,.483,12,24,.500,9,14,.643,10,35,17,1,6,11,24
7,7,2015-11-30,,Central Pennsylvania College,W,98,79,30,62,.484,4,18,.222,34,44,.773,13,48,18,3,8,21,21,,26,65,.400,5,23,.217,22,31,.710,8,28,6,4,2,16,31
8,8,2015-12-05,@,North Carolina A&T,L,63,66,17,56,.304,3,14,.214,26,35,.743,13,40,6,6,0,14,20,,22,60,.367,4,20,.200,18,22,.818,9,34,12,4,1,10,23
9,9,2015-12-07,@,North Carolina Central,W,71,69,23,53,.434,12,19,.632,13,18,.722,7,27,11,4,3,19,16,,27,64,.422,5,21,.238,10,14,.714,11,30,14,10,1,13,21
10,10,2015-12-09,@,Purdue,L,55,93,19,56,.339,6,18,.333,11,19,.579,9,29,10,3,0,12,17,,34,68,.500,12,31,.387,13,17,.765,12,42,28,5,4,6,18
11,11,2015-12-12,,Radford,L (2 OT),91,92,29,70,.414,3,19,.158,30,40,.750,14,38,5,6,0,12,20,,33,76,.434,6,23,.261,20,30,.667,22,47,12,4,6,18,29
12,12,2015-12-19,,UMBC,W,103,93,32,68,.471,5,18,.278,34,40,.850,12,39,10,11,5,15,17,,33,73,.452,13,32,.406,14,24,.583,16,43,10,4,1,18,24
13,13,2015-12-22,@,Central Michigan,L,52,72,17,56,.304,2,14,.143,16,19,.842,6,26,3,5,1,9,17,,26,56,.464,12,29,.414,8,14,.571,11,41,18,2,4,12,15
14,14,2015-12-28,@,Columbia,L,59,72,16,62,.258,4,19,.211,23,27,.852,6,34,5,7,6,11,17,,23,59,.390,11,25,.440,15,20,.750,9,43,13,3,7,16,24
15,15,2016-01-02,@,Hawaii,L,59,94,17,56,.304,9,18,.500,16,27,.593,5,29,9,8,4,19,23,,33,75,.440,11,31,.355,17,28,.607,17,43,24,10,4,14,22
16,16,2016-01-06,,Cornell,L,81,84,28,71,.394,10,18,.556,15,24,.625,17,41,13,5,3,16,17,,35,66,.530,6,18,.333,8,18,.444,10,38,10,7,4,14,21
17,17,2016-01-09,,Coppin State,W,72,63,24,52,.462,4,14,.286,20,33,.606,13,36,11,3,2,11,20,,24,59,.407,6,29,.207,9,17,.529,11,31,9,6,1,11,24
18,18,2016-01-11,@,Delaware State,W,71,67,19,53,.358,3,14,.214,30,42,.714,16,41,8,8,1,11,18,,23,59,.390,9,28,.321,12,17,.706,9,28,14,6,4,13,27
19,19,2016-01-16,,Harvard,L,61,69,23,60,.383,2,14,.143,13,18,.722,10,25,7,6,2,15,14,,25,56,.446,12,23,.522,7,10,.700,16,41,16,3,4,25,18
20,20,2016-01-26,,Bethune-Cookman,W,70,68,27,55,.491,3,12,.250,13,17,.765,7,26,15,7,7,9,8,,26,65,.400,10,26,.385,6,7,.857,13,34,13,4,6,14,15
21,21,2016-01-30,@,Morgan State,L,63,83,20,49,.408,2,8,.250,21,31,.677,8,30,9,10,3,25,30,,22,58,.379,1,13,.077,38,47,.809,9,30,14,12,4,16,22
22,22,2016-02-01,@,Maryland-Eastern Shore,L,67,85,18,41,.439,2,11,.182,29,43,.674,9,29,6,4,4,13,18,,27,64,.422,11,31,.355,20,24,.833,16,36,17,6,2,8,28
23,23,2016-02-06,,Norfolk State,L (2 OT),92,99,26,68,.382,6,17,.353,34,38,.895,16,41,8,2,2,24,20,,35,71,.493,11,28,.393,18,27,.667,10,29,17,4,2,16,25
24,24,2016-02-08,,Hampton,L,65,68,23,63,.365,0,13,.000,19,21,.905,11,37,8,7,4,13,21,,26,70,.371,4,23,.174,12,19,.632,16,44,7,4,4,14,23
25,25,2016-02-13,@,Coppin State,L,66,90,18,63,.286,4,14,.286,26,36,.722,19,35,4,4,3,10,16,,34,64,.531,10,25,.400,12,17,.706,9,41,16,3,9,8,24
26,26,2016-02-16,,Maryland-Eastern Shore,W,77,74,23,45,.511,4,14,.286,27,41,.659,6,26,8,6,1,21,31,,24,62,.387,4,20,.200,22,36,.611,18,39,9,4,1,17,26
27,27,2016-02-20,,Savannah State,L,56,66,18,40,.450,2,11,.182,18,19,.947,6,29,7,4,0,24,17,,21,50,.420,12,27,.444,12,18,.667,6,21,11,8,2,14,19
28,28,2016-02-22,,South Carolina State,L,63,71,21,55,.382,2,10,.200,19,28,.679,10,32,4,4,1,13,14,,27,57,.474,7,17,.412,10,13,.769,6,31,14,8,4,11,20
29,29,2016-02-24,,Florida A&M,W,63,53,24,56,.429,4,10,.400,11,15,.733,9,36,7,5,9,15,14,,20,53,.377,3,16,.188,10,16,.625,3,23,11,8,5,14,15
30,30,2016-02-27,@,Hampton,L,67,68,25,61,.410,8,19,.421,9,15,.600,8,33,5,7,4,14,19,,24,60,.400,6,19,.316,14,20,.700,9,35,13,7,4,12,19
31,31,2016-02-29,@,Norfolk State,L,66,84,19,57,.333,5,16,.313,23,29,.793,10,34,8,4,5,13,19,,29,69,.420,7,20,.350,19,22,.864,12,38,14,6,4,11,23
32,32,2016-03-08,N,North Carolina Central,L,66,68,26,58,.448,4,12,.333,10,24,.417,12,38,11,2,2,8,19,,23,59,.390,6,15,.400,16,28,.571,15,39,6,3,1,6,21
