Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Great Falls,W,78,72,21,53,.396,12,29,.414,24,35,.686,12,37,15,9,5,20,18,,28,71,.394,8,27,.296,8,10,.800,14,36,13,10,1,18,22
2,2,2015-11-16,,Dickinson State (ND),W,110,85,35,67,.522,17,38,.447,23,31,.742,13,33,21,9,8,9,25,,29,65,.446,5,24,.208,22,28,.786,15,36,10,3,1,19,25
3,3,2015-11-20,@,Washington State,L,67,85,23,67,.343,10,31,.323,11,17,.647,11,29,6,7,2,13,22,,29,60,.483,8,26,.308,19,27,.704,14,44,18,3,8,13,23
4,4,2015-11-25,@,Denver,L,69,79,23,53,.434,8,22,.364,15,23,.652,11,28,13,8,0,16,33,,23,38,.605,8,17,.471,25,41,.610,8,30,14,6,2,16,23
5,5,2015-11-27,@,Utah,L,72,102,23,61,.377,10,19,.526,16,19,.842,5,20,13,11,1,16,21,,36,60,.600,9,19,.474,21,24,.875,9,39,20,9,10,14,18
6,6,2015-12-05,@,Lamar,L,70,82,22,53,.415,4,19,.211,22,31,.710,11,34,10,6,2,15,30,,25,52,.481,6,18,.333,26,39,.667,9,30,15,6,3,11,22
7,7,2015-12-08,@,Portland,W,66,65,23,61,.377,11,28,.393,9,11,.818,9,30,14,9,5,13,15,,24,62,.387,7,22,.318,10,16,.625,14,36,10,8,5,13,11
8,8,2015-12-12,,Utah Valley,L,76,100,27,67,.403,10,25,.400,12,19,.632,9,32,12,5,1,12,13,,41,79,.519,12,27,.444,6,8,.750,13,43,19,3,5,7,22
9,9,2015-12-21,N,North Dakota State,L,62,67,24,62,.387,6,22,.273,8,9,.889,5,33,15,8,0,16,20,,24,59,.407,6,20,.300,13,25,.520,11,42,14,13,5,13,11
10,10,2015-12-22,@,Utah State,L,58,69,23,57,.404,4,18,.222,8,13,.615,6,28,11,4,0,9,22,,21,53,.396,8,28,.286,19,26,.731,13,40,12,4,2,12,14
11,11,2015-12-23,N,Texas-Rio Grande Valley,W,76,64,27,56,.482,9,23,.391,13,19,.684,7,38,16,6,3,12,17,,24,61,.393,8,25,.320,8,15,.533,9,33,16,7,1,9,16
12,12,2015-12-29,,Cal State Northridge,W,84,79,27,58,.466,6,19,.316,24,34,.706,9,34,11,5,2,10,19,,28,59,.475,7,25,.280,16,22,.727,8,32,13,4,4,14,25
13,13,2016-01-02,@,Weber State,L,56,77,19,59,.322,1,12,.083,17,21,.810,11,39,5,5,2,13,21,,26,58,.448,5,21,.238,20,29,.690,7,38,15,4,1,11,22
14,14,2016-01-07,,Northern Colorado,W,83,78,24,48,.500,7,19,.368,28,39,.718,10,35,9,9,2,19,19,,28,60,.467,6,19,.316,16,20,.800,6,26,11,9,2,13,31
15,15,2016-01-09,,North Dakota,L,76,84,27,64,.422,8,22,.364,14,17,.824,6,26,12,11,3,14,21,,28,47,.596,9,18,.500,19,29,.655,4,33,15,10,4,21,18
16,16,2016-01-14,@,Sacramento State,L,71,82,26,72,.361,10,32,.313,9,14,.643,10,32,9,10,2,9,21,,26,50,.520,8,20,.400,22,26,.846,6,40,16,3,6,17,17
17,17,2016-01-16,@,Portland State,W,73,70,30,58,.517,3,15,.200,10,15,.667,8,39,14,2,2,11,19,,25,70,.357,6,28,.214,14,18,.778,12,34,15,8,7,5,17
18,18,2016-01-23,,Weber State,W,69,68,26,49,.531,7,12,.583,10,19,.526,2,24,13,9,2,12,12,,24,58,.414,11,34,.324,9,10,.900,11,35,14,2,3,17,17
19,19,2016-01-28,,Southern Utah,W,87,68,28,47,.596,10,18,.556,21,24,.875,3,28,19,6,3,15,18,,23,55,.418,6,16,.375,16,23,.696,9,27,10,4,1,14,18
20,20,2016-01-30,,Northern Arizona,W,88,66,27,49,.551,12,23,.522,22,26,.846,3,32,15,4,2,13,15,,24,60,.400,10,30,.333,8,12,.667,5,25,13,1,1,12,22
21,21,2016-02-04,@,North Dakota,L,60,76,19,62,.306,7,30,.233,15,19,.789,8,33,10,7,3,10,13,,27,67,.403,12,27,.444,10,14,.714,12,47,21,7,7,13,20
22,22,2016-02-06,@,Northern Colorado,W,90,57,32,55,.582,13,20,.650,13,16,.813,5,31,15,6,4,9,17,,23,54,.426,2,18,.111,9,21,.429,7,24,9,7,4,13,15
23,23,2016-02-11,,Portland State,W,88,71,32,57,.561,11,24,.458,13,17,.765,2,30,15,7,4,14,23,,25,63,.397,7,26,.269,14,25,.560,8,32,11,4,2,13,17
24,24,2016-02-13,,Sacramento State,W,66,64,23,63,.365,5,20,.250,15,19,.789,14,44,13,6,4,11,13,,27,71,.380,7,31,.226,3,5,.600,11,38,13,3,6,9,18
25,25,2016-02-18,@,Northern Arizona,L,68,81,19,48,.396,8,22,.364,22,28,.786,2,30,10,6,1,14,19,,27,57,.474,11,29,.379,16,23,.696,5,34,21,6,1,9,16
26,26,2016-02-20,@,Southern Utah,W,89,71,31,55,.564,8,13,.615,19,29,.655,6,39,16,9,9,15,11,,26,66,.394,8,21,.381,11,16,.688,7,28,13,10,6,13,21
27,27,2016-02-25,,Montana,L,77,90,24,54,.444,8,21,.381,21,26,.808,6,29,8,4,3,12,20,,32,60,.533,13,24,.542,13,17,.765,6,30,15,4,2,7,21
28,28,2016-02-27,,Montana State,W,76,69,22,48,.458,10,23,.435,22,36,.611,8,31,11,5,5,9,11,,26,64,.406,8,27,.296,9,10,.900,10,36,13,2,2,10,21
29,29,2016-03-03,@,Eastern Washington,W,75,71,25,55,.455,3,13,.231,22,32,.688,6,40,10,10,6,10,18,,27,62,.435,8,28,.286,9,19,.474,9,32,14,7,4,12,23
30,30,2016-03-05,@,Idaho,L,68,82,22,53,.415,6,27,.222,18,20,.900,9,26,11,7,2,16,19,,28,58,.483,9,24,.375,17,25,.680,9,31,14,10,3,10,21
31,31,2016-03-10,N,North Dakota,L,49,83,15,56,.268,6,28,.214,13,22,.591,6,30,8,16,2,15,22,,28,60,.467,9,19,.474,18,25,.720,12,52,14,11,1,17,19
