,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,@,San Jose State,W,74,54,23,50,.460,5,14,.357,23,31,.742,7,41,12,2,6,17,28,,18,62,.290,4,29,.138,14,25,.560,10,31,13,7,2,13,27
2,2,2015-11-17,@,Cal State Bakersfield,L,45,68,12,40,.300,4,15,.267,17,24,.708,6,26,3,5,1,20,19,,21,51,.412,9,18,.500,17,20,.850,6,27,12,8,3,9,23
3,3,2015-11-21,,Linfield,W,85,59,27,50,.540,12,20,.600,19,26,.731,6,28,21,11,1,15,18,,20,54,.370,12,37,.324,7,12,.583,6,19,14,7,0,19,23
4,4,2015-11-23,@,North Texas,W,65,63,19,45,.422,5,15,.333,22,36,.611,5,26,8,7,3,17,30,,23,47,.489,5,18,.278,12,20,.600,8,31,8,6,5,22,32
5,5,2015-11-24,N,Troy,W,69,63,22,53,.415,7,27,.259,18,25,.720,10,36,13,5,4,20,20,,21,59,.356,6,28,.214,15,19,.789,9,32,7,9,2,16,24
6,6,2015-11-25,N,Samford,L,58,75,18,49,.367,6,16,.375,16,29,.552,9,33,9,6,3,19,23,,23,50,.460,5,18,.278,24,34,.706,4,29,6,9,4,12,22
7,7,2015-11-28,,Northern Illinois,L,59,66,18,53,.340,7,24,.292,16,27,.593,8,29,8,1,2,13,24,,19,54,.352,8,21,.381,20,29,.690,12,36,14,8,3,10,23
8,8,2015-12-02,,Cal State Bakersfield,W,67,63,21,51,.412,6,14,.429,19,22,.864,5,30,11,6,2,13,18,,26,65,.400,6,18,.333,5,9,.556,9,31,9,7,8,11,22
9,9,2015-12-05,,Arkansas-Little Rock,L,54,64,19,59,.322,8,22,.364,8,10,.800,15,32,7,6,2,17,18,,23,46,.500,5,13,.385,13,15,.867,7,25,12,9,7,10,15
10,10,2015-12-07,@,USC,L,55,74,23,57,.404,5,23,.217,4,7,.571,14,39,5,4,0,21,19,,26,56,.464,12,28,.429,10,18,.556,8,24,17,10,5,12,12
11,11,2015-12-10,,Washington State,W,78,74,25,57,.439,9,16,.563,19,30,.633,10,35,11,7,1,13,18,,26,49,.531,7,19,.368,15,20,.750,0,21,19,8,8,11,24
12,12,2015-12-18,,New Hope Christian,W,127,54,53,89,.596,19,43,.442,2,2,1.000,21,54,39,6,3,2,11,,18,62,.290,11,46,.239,7,9,.778,7,19,10,2,0,12,8
13,13,2015-12-22,@,UC-Davis,W,68,51,26,56,.464,7,18,.389,9,10,.900,9,33,16,7,3,15,25,,14,40,.350,4,15,.267,19,32,.594,7,26,8,7,2,16,15
14,14,2015-12-31,@,North Dakota,W,74,71,24,53,.453,8,21,.381,18,24,.750,9,37,10,3,3,19,28,,24,53,.453,8,20,.400,15,25,.600,4,27,18,8,5,15,25
15,15,2016-01-02,@,Northern Colorado,W,75,70,21,48,.438,10,22,.455,23,27,.852,7,32,14,5,2,15,19,,22,53,.415,11,30,.367,15,18,.833,4,24,15,5,3,15,22
16,16,2016-01-09,@,Eastern Washington,L,60,74,20,64,.313,3,15,.200,17,25,.680,14,38,8,7,2,6,20,,25,47,.532,15,29,.517,9,18,.500,4,29,15,3,9,11,20
17,17,2016-01-14,,Northern Arizona,W,83,76,29,55,.527,8,17,.471,17,22,.773,5,33,18,11,4,18,24,,24,53,.453,7,19,.368,21,30,.700,5,26,11,11,0,18,17
18,18,2016-01-16,,Southern Utah,L (1 OT),83,85,23,50,.460,4,13,.308,33,45,.733,10,32,9,2,5,17,30,,28,54,.519,8,16,.500,21,29,.724,8,28,9,8,3,13,29
19,19,2016-01-21,@,Montana,W,63,58,18,41,.439,5,13,.385,22,29,.759,6,34,10,3,4,20,22,,18,56,.321,9,30,.300,13,17,.765,7,25,14,10,1,11,25
20,20,2016-01-23,@,Montana State,L,68,70,25,46,.543,7,15,.467,11,16,.688,5,30,11,3,2,17,17,,26,63,.413,13,36,.361,5,10,.500,12,30,14,9,1,9,19
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-28,,Sacramento State,L,63,65,25,54,.463,6,12,.500,7,14,.500,9,31,11,4,3,13,17,,22,53,.415,10,26,.385,11,17,.647,7,24,15,8,2,7,18
22,22,2016-01-30,,Portland State,W,56,55,23,64,.359,3,16,.188,7,11,.636,15,38,13,5,1,12,18,,19,54,.352,3,16,.188,14,19,.737,10,38,12,9,6,13,16
23,23,2016-02-04,@,Southern Utah,W,68,44,27,50,.540,4,12,.333,10,18,.556,10,35,13,5,4,10,21,,15,42,.357,6,20,.300,8,17,.471,5,21,10,4,0,10,19
24,24,2016-02-06,@,Northern Arizona,L,70,72,25,56,.446,2,9,.222,18,23,.783,13,41,14,4,4,17,25,,21,57,.368,11,27,.407,19,27,.704,9,26,15,9,3,7,21
25,25,2016-02-11,,Northern Colorado,W,73,67,20,42,.476,8,14,.571,25,30,.833,9,27,13,3,3,16,23,,21,49,.429,10,22,.455,15,20,.750,6,18,8,9,4,11,28
26,26,2016-02-13,,North Dakota,W,65,64,23,45,.511,4,11,.364,15,25,.600,11,38,18,3,0,16,24,,22,54,.407,6,21,.286,14,23,.609,8,21,10,8,0,9,20
27,27,2016-02-18,@,Portland State,W,80,74,30,65,.462,8,14,.571,12,23,.522,17,42,14,11,2,15,22,,26,62,.419,5,21,.238,17,26,.654,13,33,12,9,4,12,19
28,28,2016-02-20,@,Sacramento State,L,65,68,19,45,.422,2,11,.182,25,32,.781,4,29,14,5,5,12,24,,23,53,.434,6,22,.273,16,26,.615,5,28,19,6,3,11,27
29,29,2016-02-27,,Eastern Washington,W,66,62,26,54,.481,6,16,.375,8,12,.667,7,29,14,5,3,12,17,,22,51,.431,9,29,.310,9,12,.750,4,25,10,3,2,12,16
30,30,2016-03-03,,Weber State,W,62,58,17,58,.293,7,17,.412,21,28,.750,18,46,8,5,2,14,23,,19,49,.388,7,22,.318,13,25,.520,4,26,9,9,1,13,20
31,31,2016-03-05,,Idaho State,W,82,68,28,58,.483,9,24,.375,17,25,.680,9,31,14,10,3,10,21,,22,53,.415,6,27,.222,18,20,.900,9,26,11,7,2,16,19
32,32,2016-03-10,N,Eastern Washington,W,77,73,30,61,.492,5,14,.357,12,16,.750,11,38,12,2,4,7,20,,21,59,.356,9,32,.281,22,27,.815,14,32,11,5,2,7,20
33,33,2016-03-11,N,Montana,L,72,81,19,41,.463,8,19,.421,26,32,.813,9,19,12,4,1,12,27,,28,43,.651,7,12,.583,18,31,.581,7,20,15,5,0,10,23
