Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,San Francisco,L,75,78,28,76,.368,8,25,.320,11,18,.611,11,36,17,6,9,10,31,,24,63,.381,8,23,.348,22,39,.564,12,42,15,3,2,15,23
2,2,2015-11-17,@,Western Illinois,L,57,84,15,59,.254,3,8,.375,24,39,.615,16,40,6,3,4,16,24,,30,62,.484,5,8,.625,19,31,.613,11,42,16,7,11,9,26
3,3,2015-11-24,,Roosevelt,W,96,58,35,65,.538,1,14,.071,25,37,.676,14,52,24,5,8,9,13,,22,70,.314,5,26,.192,9,11,.818,8,23,15,6,2,11,32
4,4,2015-11-28,@,Drake,L,62,83,23,58,.397,4,12,.333,12,20,.600,9,30,5,8,2,20,24,,31,59,.525,10,19,.526,11,18,.611,9,34,18,6,3,14,17
5,5,2015-12-02,,DePaul,L,55,82,20,55,.364,2,10,.200,13,23,.565,7,31,12,6,2,21,15,,29,62,.468,7,20,.350,17,21,.810,6,36,19,10,6,14,24
6,6,2015-12-05,@,UCF,L,58,88,22,70,.314,4,17,.235,10,21,.476,22,43,10,3,3,15,27,,26,57,.456,7,20,.350,29,37,.784,8,32,14,10,13,5,16
7,7,2015-12-12,N,Illinois,L,79,83,30,63,.476,9,15,.600,10,14,.714,10,38,18,3,5,14,29,,25,53,.472,9,22,.409,24,35,.686,5,25,18,5,5,11,15
8,8,2015-12-16,,Illinois State,L,60,72,17,58,.293,7,20,.350,19,23,.826,9,31,15,3,1,10,19,,25,63,.397,2,18,.111,20,30,.667,12,43,14,8,8,8,20
9,9,2015-12-19,@,Loyola (IL),L,47,64,18,52,.346,5,22,.227,6,9,.667,9,32,7,6,6,20,26,,20,54,.370,4,13,.308,20,25,.800,9,29,9,8,3,10,15
10,10,2015-12-22,,Purdue Calumet,W,91,72,30,63,.476,10,25,.400,21,37,.568,12,36,21,9,8,8,20,,26,60,.433,8,23,.348,12,23,.522,9,33,18,6,3,15,26
11,11,2015-12-29,,Northern Illinois,L,65,70,20,53,.377,4,15,.267,21,31,.677,11,30,18,6,6,16,28,,22,55,.400,8,18,.444,18,26,.692,13,33,19,5,6,16,27
12,12,2016-01-02,@,Valparaiso,L,47,75,18,59,.305,2,8,.250,9,13,.692,7,28,11,4,3,16,21,,25,54,.463,8,17,.471,17,24,.708,9,39,12,9,9,13,16
13,13,2016-01-08,@,Detroit,L,69,87,21,52,.404,2,11,.182,25,37,.676,12,35,6,8,6,17,31,,26,57,.456,4,18,.222,31,39,.795,9,32,10,7,3,14,28
14,14,2016-01-10,@,Oakland,L,61,86,21,56,.375,5,16,.313,14,22,.636,11,32,10,3,1,14,28,,25,52,.481,4,16,.250,32,41,.780,8,30,11,6,4,5,24
15,15,2016-01-14,,Green Bay,L,76,78,29,63,.460,5,11,.455,13,23,.565,12,33,20,7,9,15,19,,29,70,.414,4,16,.250,16,20,.800,16,40,19,7,9,14,18
16,16,2016-01-16,,Milwaukee,L,62,87,21,49,.429,4,7,.571,16,22,.727,5,29,11,4,4,12,18,,31,64,.484,8,23,.348,17,21,.810,10,32,24,8,4,5,18
17,17,2016-01-18,@,Cleveland State,L,53,70,20,53,.377,2,7,.286,11,28,.393,12,36,6,5,6,16,16,,23,61,.377,9,16,.563,15,18,.833,12,37,15,8,4,14,24
18,18,2016-01-22,@,Northern Kentucky,L (1 OT),69,82,23,60,.383,1,12,.083,22,29,.759,9,36,3,9,3,15,24,,25,54,.463,9,22,.409,23,31,.742,4,34,14,4,2,16,24
19,19,2016-01-24,@,Wright State,L,66,80,22,53,.415,2,12,.167,20,35,.571,12,36,6,4,1,15,20,,29,54,.537,9,21,.429,13,20,.650,2,25,14,10,2,11,26
20,20,2016-01-28,,Youngstown State,L,78,82,28,70,.400,5,19,.263,17,31,.548,15,49,16,8,8,16,18,,29,71,.408,14,27,.519,10,13,.769,8,37,21,4,7,13,23
21,21,2016-01-30,,Cleveland State,W (1 OT),72,70,21,50,.420,4,7,.571,26,48,.542,8,35,13,6,4,14,20,,26,57,.456,4,18,.222,14,22,.636,8,34,16,7,2,16,34
22,22,2016-02-06,,Valparaiso,L,55,73,19,58,.328,2,15,.133,15,32,.469,13,28,8,5,3,11,20,,28,65,.431,7,23,.304,10,17,.588,14,40,20,8,6,10,24
23,23,2016-02-11,,Wright State,W,64,59,22,45,.489,5,10,.500,15,24,.625,8,40,13,3,10,21,17,,21,65,.323,6,26,.231,11,17,.647,10,30,14,11,3,7,22
