,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,San Diego State,L,60,71,20,65,.308,6,16,.375,14,22,.636,11,32,11,4,4,10,29,,23,48,.479,3,15,.200,22,37,.595,9,42,9,3,8,18,23
2,2,2015-11-16,,Morehead State,W,67,66,24,47,.511,6,10,.600,13,23,.565,6,25,13,8,7,15,18,,24,58,.414,7,16,.438,11,17,.647,15,33,10,8,3,16,23
3,3,2015-11-19,,South Dakota State,L,67,83,23,63,.365,6,24,.250,15,30,.500,15,35,10,7,6,17,23,,26,59,.441,9,23,.391,22,30,.733,12,42,11,11,2,16,30
4,4,2015-11-21,,Houston Baptist,W,72,56,29,59,.492,5,17,.294,9,18,.500,12,33,19,6,3,16,26,,18,51,.353,2,11,.182,18,24,.750,11,30,6,5,2,20,18
5,5,2015-11-24,N,Maryland,L,66,77,23,54,.426,7,18,.389,13,20,.650,5,22,7,8,1,16,17,,28,56,.500,5,22,.227,16,21,.762,6,27,12,11,9,12,18
6,6,2015-11-25,N,Texas Christian,L,60,71,20,55,.364,3,18,.167,17,27,.630,12,30,5,9,2,14,19,,27,53,.509,6,17,.353,11,17,.647,7,31,13,5,4,17,22
7,7,2015-11-27,,Quincy,W,73,63,22,47,.468,8,16,.500,21,36,.583,5,41,15,3,6,15,11,,24,76,.316,11,33,.333,4,7,.571,15,38,13,8,1,8,27
8,8,2015-11-30,@,Kentucky,L,63,75,25,70,.357,5,20,.250,8,10,.800,10,32,8,5,2,16,32,,22,51,.431,2,12,.167,29,46,.630,12,38,8,6,9,15,19
9,9,2015-12-05,,Alabama-Birmingham,L,61,74,22,61,.361,5,32,.156,12,16,.750,12,33,11,8,1,12,18,,28,56,.500,9,22,.409,9,14,.643,10,36,19,8,4,15,16
10,10,2015-12-13,,Murray State,W,63,61,25,59,.424,10,25,.400,3,12,.250,12,31,18,7,2,8,11,,27,57,.474,6,20,.300,1,3,.333,9,34,12,6,0,16,18
