Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,North Florida,L,81,93,32,71,.451,5,16,.313,12,23,.522,9,37,14,2,2,5,14,,35,67,.522,17,33,.515,6,8,.750,3,35,20,2,6,6,21
2,2,2015-11-15,,North Dakota State,W,80,74,28,57,.491,7,17,.412,17,27,.630,7,32,15,7,4,11,17,,27,61,.443,11,27,.407,9,10,.900,4,29,12,5,2,15,23
3,3,2015-11-18,@,Providence,L,59,60,23,60,.383,9,25,.360,4,6,.667,13,34,17,5,3,13,21,,23,60,.383,6,23,.261,8,18,.444,15,37,13,6,4,7,13
4,4,2015-11-21,N,Chattanooga,L,77,81,30,58,.517,4,13,.308,13,18,.722,7,26,14,6,3,15,17,,29,58,.500,12,30,.400,11,13,.846,6,30,17,10,8,19,18
5,5,2015-11-23,N,Chicago State,W,82,79,22,55,.400,9,26,.346,29,41,.707,11,33,14,8,1,14,19,,26,57,.456,11,25,.440,16,22,.727,5,27,11,5,4,11,29
6,6,2015-11-27,N,Alabama-Birmingham,W,72,58,27,56,.482,5,12,.417,13,19,.684,7,28,14,10,0,11,17,,19,49,.388,5,23,.217,15,19,.789,8,32,11,5,7,16,16
7,7,2015-11-28,N,Iowa State,L,73,84,29,63,.460,10,26,.385,5,8,.625,7,29,12,2,0,10,13,,33,67,.493,6,25,.240,12,14,.857,11,40,11,6,0,8,12
8,8,2015-12-02,,Notre Dame,L,79,84,30,71,.423,11,29,.379,8,9,.889,8,30,15,7,1,3,20,,29,56,.518,10,20,.500,16,22,.727,5,33,13,1,5,8,14
9,9,2015-12-05,,Western Carolina,W,80,68,28,53,.528,7,18,.389,17,21,.810,8,28,14,7,1,15,18,,21,48,.438,11,24,.458,15,18,.833,2,20,12,8,2,17,20
10,10,2015-12-09,,Yale,W,69,65,26,65,.400,8,26,.308,9,11,.818,5,20,12,7,1,5,18,,25,58,.431,5,18,.278,10,14,.714,16,46,14,2,3,23,16
11,11,2015-12-12,N,UIC,W,83,79,25,53,.472,9,22,.409,24,35,.686,5,25,18,5,5,11,15,,30,63,.476,9,15,.600,10,14,.714,10,38,18,3,5,14,29
12,12,2015-12-19,,South Dakota,W,91,79,30,62,.484,14,30,.467,17,20,.850,6,33,23,4,4,8,16,,31,65,.477,11,27,.407,6,13,.462,4,30,19,6,0,10,20
13,13,2015-12-23,N,Missouri,W,68,63,23,57,.404,9,29,.310,13,19,.684,4,27,9,6,3,7,16,,25,57,.439,6,18,.333,7,13,.538,8,40,9,4,2,15,20
14,14,2015-12-30,,Michigan,L,68,78,24,56,.429,9,25,.360,11,13,.846,4,24,14,6,3,13,18,,30,62,.484,10,24,.417,8,10,.800,9,36,16,7,3,14,14
15,15,2016-01-03,@,Ohio State,L,73,75,26,65,.400,12,32,.375,9,11,.818,7,29,13,2,0,7,23,,21,50,.420,5,15,.333,28,39,.718,9,39,10,2,9,14,18
16,16,2016-01-07,@,Michigan State,L,54,79,17,57,.298,2,15,.133,18,21,.857,4,25,7,6,2,6,14,,33,62,.532,6,15,.400,7,10,.700,10,46,26,3,8,11,17
17,17,2016-01-10,,Purdue,W,84,70,26,48,.542,9,17,.529,23,28,.821,1,22,14,5,3,10,19,,27,60,.450,7,22,.318,9,11,.818,9,30,15,3,1,16,28
18,18,2016-01-16,,Nebraska,L,67,78,23,59,.390,11,37,.297,10,15,.667,3,20,16,3,0,5,19,,30,56,.536,6,13,.462,12,18,.667,8,41,10,2,4,10,15
19,19,2016-01-19,@,Indiana,L,69,103,22,51,.431,7,18,.389,18,25,.720,7,23,13,5,0,15,19,,37,65,.569,19,36,.528,10,13,.769,12,38,27,9,3,11,20
20,20,2016-01-23,@,Minnesota,W (1 OT),76,71,27,62,.435,6,18,.333,16,22,.727,7,44,17,4,1,14,15,,27,69,.391,11,36,.306,6,12,.500,7,35,21,6,1,12,19
21,21,2016-01-28,,Ohio State,L (1 OT),63,68,18,56,.321,9,29,.310,18,31,.581,4,32,8,4,0,10,15,,27,69,.391,7,23,.304,7,13,.538,13,51,9,4,5,12,22
22,22,2016-01-31,,Wisconsin,L,55,63,18,50,.360,6,14,.429,13,15,.867,4,22,6,6,0,10,17,,22,50,.440,2,14,.143,17,20,.850,7,34,8,6,1,12,16
23,23,2016-02-03,@,Rutgers,W (3 OT),110,101,35,77,.455,10,29,.345,30,34,.882,4,37,17,4,1,11,23,,39,85,.459,8,25,.320,15,23,.652,15,49,18,6,6,19,27
24,24,2016-02-07,,Iowa,L,65,77,26,66,.394,8,25,.320,5,6,.833,6,31,12,6,1,10,14,,28,65,.431,8,20,.400,13,16,.813,12,42,11,7,2,8,12
25,25,2016-02-13,@,Northwestern,L,56,58,21,57,.368,10,25,.400,4,8,.500,13,37,14,4,0,11,17,,22,52,.423,9,26,.346,5,10,.500,6,30,18,2,3,11,14
26,26,2016-02-16,,Rutgers,W,82,66,27,59,.458,9,22,.409,19,23,.826,9,33,17,8,5,9,18,,25,57,.439,5,17,.294,11,18,.611,5,26,15,5,3,15,21
27,27,2016-02-21,@,Wisconsin,L,60,69,22,56,.393,9,22,.409,7,10,.700,8,30,10,5,2,12,26,,19,44,.432,5,20,.250,26,33,.788,5,31,13,9,2,6,12
28,28,2016-02-25,,Indiana,L,47,74,19,48,.396,6,22,.273,3,4,.750,1,13,6,3,1,11,14,,27,55,.491,13,32,.406,7,7,1.000,9,35,13,6,3,12,11
29,29,2016-02-28,,Minnesota,W,84,71,28,49,.571,10,22,.455,18,22,.818,2,21,18,13,6,11,16,,27,61,.443,8,20,.400,9,11,.818,10,29,9,3,2,17,20
30,30,2016-03-03,@,Maryland,L,55,81,22,57,.386,5,20,.250,6,7,.857,6,24,13,6,3,8,13,,30,54,.556,14,25,.560,7,10,.700,8,35,21,3,5,14,13
