,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-09,@,Northwood (TX),W,88,72,28,62,.452,11,30,.367,21,36,.583,14,45,20,9,3,19,16,,27,73,.370,4,26,.154,14,21,.667,11,37,12,14,0,20,25
2,2,2013-11-11,@,Trinity (TX),W,74,62,24,54,.444,9,22,.409,17,24,.708,12,40,16,6,4,8,13,,25,62,.403,7,23,.304,5,8,.625,11,29,14,4,3,7,19
3,3,2013-11-16,@,Huston-Tillotson,W,85,78,31,57,.544,9,19,.474,14,26,.538,14,47,19,6,5,19,16,,30,78,.385,9,22,.409,9,15,.600,12,31,9,9,2,9,19
4,4,2013-11-19,,Northwood (TX),W,106,94,36,73,.493,17,29,.586,17,27,.630,18,48,24,2,4,19,21,,32,72,.444,9,22,.409,21,28,.750,11,30,15,9,6,10,26
5,5,2013-11-22,@,Southwestern (TX),W,80,61,25,49,.510,6,13,.462,24,31,.774,9,43,4,3,2,18,24,,19,62,.306,5,23,.217,18,23,.783,8,26,8,9,1,9,25
6,6,2013-11-26,@,North Texas,L,67,84,23,71,.324,5,16,.313,16,19,.842,15,39,11,3,3,13,23,,26,59,.441,7,15,.467,25,38,.658,12,44,13,7,8,10,21
7,7,2013-11-30,,Texas A&M-International,W,75,56,25,46,.543,9,18,.500,16,22,.727,4,26,10,5,4,15,18,,21,53,.396,3,13,.231,11,19,.579,10,30,13,8,1,16,20
8,8,2013-12-04,,St. Edward's,W,77,67,30,57,.526,3,15,.200,14,28,.500,9,39,14,6,5,13,12,,25,74,.338,9,24,.375,8,14,.571,16,38,12,6,3,11,19
9,9,2013-12-14,,McMurry,W,83,56,26,64,.406,11,24,.458,20,29,.690,10,49,19,7,8,12,13,,21,76,.276,2,17,.118,12,20,.600,13,43,13,4,1,12,21
10,10,2013-12-16,,Open Bible College,W,96,60,41,75,.547,5,19,.263,9,14,.643,9,43,24,9,9,11,11,,22,70,.314,7,26,.269,9,11,.818,9,31,11,7,4,16,15
11,11,2013-12-17,,Open Bible College,W,98,53,40,64,.625,6,16,.375,12,16,.750,6,42,20,10,3,12,10,,21,67,.313,2,18,.111,9,14,.643,8,27,3,7,4,13,15
12,12,2013-12-30,,Huston-Tillotson,W,102,73,33,59,.559,9,22,.409,27,40,.675,11,42,22,4,8,13,15,,27,76,.355,5,20,.250,14,19,.737,9,31,13,8,0,7,21
13,13,2014-01-04,,Our Lady of the Lake,W,100,85,33,58,.569,4,15,.267,30,39,.769,10,39,22,10,6,21,19,,29,74,.392,11,40,.275,16,22,.727,16,34,17,10,2,19,29
14,14,2014-01-09,@,Southeastern Louisiana,L,72,76,25,60,.417,6,23,.261,16,27,.593,8,36,10,5,4,6,24,,25,57,.439,6,20,.300,20,34,.588,6,36,9,3,5,11,24
15,15,2014-01-11,@,New Orleans,W,78,55,27,53,.509,9,19,.474,15,17,.882,4,24,19,12,3,17,18,,19,50,.380,6,17,.353,11,21,.524,13,34,8,8,6,25,20
16,16,2014-01-16,,Central Arkansas,W,87,72,31,67,.463,2,14,.143,23,34,.676,17,46,21,8,5,19,22,,26,61,.426,9,17,.529,11,19,.579,10,32,12,6,5,18,24
17,17,2014-01-18,,Oral Roberts,L,77,79,25,53,.472,6,13,.462,21,25,.840,12,30,11,3,2,15,18,,26,50,.520,9,14,.643,18,28,.643,10,25,13,8,4,12,22
