Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Texas Lutheran,W,86,65,25,61,.410,5,22,.227,31,42,.738,8,41,15,12,6,16,26,,24,60,.400,7,19,.368,10,20,.500,8,38,12,5,1,23,35
2,2,2015-11-16,,Schreiner,W,73,49,25,56,.446,7,22,.318,16,25,.640,7,36,14,16,1,12,15,,18,57,.316,4,18,.222,9,13,.692,10,36,10,4,1,21,23
3,3,2015-11-18,@,Purdue,L,61,96,21,74,.284,12,30,.400,7,9,.778,4,14,12,10,1,8,20,,34,57,.596,9,21,.429,19,22,.864,11,51,23,7,13,22,17
4,4,2015-11-24,@,Oklahoma,L,63,96,23,68,.338,7,28,.250,10,11,.909,6,19,9,12,1,13,23,,35,59,.593,6,16,.375,20,27,.741,10,47,18,6,8,19,18
5,5,2015-12-03,,Dallas Christian,W,108,71,41,78,.526,8,25,.320,18,23,.783,9,49,25,13,4,16,12,,30,80,.375,7,28,.250,4,11,.364,9,36,12,12,4,17,18
6,6,2015-12-07,@,Sacramento State,L,70,73,23,57,.404,9,25,.360,15,21,.714,10,26,15,8,2,11,15,,28,57,.491,8,22,.364,9,14,.643,9,31,15,8,6,11,21
7,7,2015-12-09,@,University of California,L,62,74,21,57,.368,8,20,.400,12,18,.667,5,23,13,13,2,7,20,,27,52,.519,8,23,.348,12,22,.545,9,40,16,3,5,19,21
8,8,2015-12-15,,Our Lady of the Lake,L,97,99,32,57,.561,6,18,.333,27,33,.818,7,29,22,4,5,13,20,,36,68,.529,17,27,.630,10,20,.500,9,26,21,5,0,10,27
9,9,2015-12-18,@,St. John's (NY),W,73,51,24,57,.421,11,24,.458,14,15,.933,8,30,14,7,0,8,15,,19,46,.413,6,16,.375,7,13,.538,7,28,13,3,6,15,17
10,10,2015-12-22,@,LIU-Brooklyn,L,59,66,23,55,.418,7,21,.333,6,15,.400,4,35,14,8,3,21,27,,21,55,.382,5,17,.294,19,33,.576,4,34,10,12,4,16,22
11,11,2015-12-29,@,Rice,W,82,76,29,57,.509,12,20,.600,12,21,.571,5,28,15,9,4,13,17,,25,59,.424,8,25,.320,18,23,.783,13,41,13,5,3,16,20
12,12,2016-01-02,,Sam Houston State,L,72,78,25,60,.417,6,20,.300,16,19,.842,6,30,14,4,4,7,23,,25,57,.439,9,26,.346,19,29,.655,11,39,16,2,0,8,19
13,13,2016-01-09,,Northwestern State,W,70,56,24,48,.500,10,19,.526,12,15,.800,2,27,18,6,2,15,17,,21,55,.382,3,16,.188,11,13,.846,7,28,10,7,5,12,17
14,14,2016-01-11,@,New Orleans,W,71,68,22,57,.386,6,23,.261,21,25,.840,9,31,12,4,6,7,12,,26,61,.426,4,18,.222,12,15,.800,12,40,14,3,5,10,21
15,15,2016-01-16,@,Southeastern Louisiana,W,75,71,29,54,.537,9,16,.563,8,13,.615,4,29,13,4,3,11,16,,28,51,.549,7,16,.438,8,15,.533,2,22,15,3,1,10,19
16,16,2016-01-23,,Abilene Christian,W,74,60,29,49,.592,4,13,.308,12,17,.706,4,28,13,8,3,15,18,,18,46,.391,9,20,.450,15,22,.682,3,19,14,8,1,15,17
17,17,2016-01-25,@,McNeese State,L (1 OT),76,79,23,64,.359,10,25,.400,20,25,.800,9,35,16,7,1,13,23,,24,57,.421,7,20,.350,24,32,.750,7,37,13,6,5,12,22
18,18,2016-01-30,,Nicholls State,W,68,61,21,54,.389,11,26,.423,15,18,.833,6,22,19,6,2,6,17,,24,52,.462,6,16,.375,7,18,.389,11,33,16,3,8,13,16
19,19,2016-02-02,,Texas A&M-Corpus Christi,W,70,65,20,45,.444,4,17,.235,26,29,.897,2,23,12,7,1,15,16,,23,54,.426,5,20,.250,14,17,.824,6,30,15,8,7,13,21
20,20,2016-02-06,@,Lamar,W,74,71,22,48,.458,6,19,.316,24,28,.857,4,33,14,5,2,12,18,,26,70,.371,8,28,.286,11,15,.733,16,39,16,7,3,9,22
21,21,2016-02-08,@,Nicholls State,L,60,71,17,54,.315,8,24,.333,18,26,.692,11,36,10,3,3,15,23,,21,50,.420,5,12,.417,24,33,.727,5,33,11,6,4,10,27
22,22,2016-02-12,,Central Arkansas,W,71,69,20,59,.339,12,34,.353,19,26,.731,4,30,18,2,3,9,16,,26,60,.433,5,15,.333,12,20,.600,10,43,10,4,3,12,20
23,23,2016-02-15,@,Stephen F. Austin,L,46,84,17,48,.354,1,13,.077,11,17,.647,6,26,8,4,0,19,18,,32,59,.542,8,22,.364,12,21,.571,12,36,24,11,4,11,19
24,24,2016-02-20,@,Texas A&M-Corpus Christi,L,69,90,21,52,.404,9,18,.500,18,28,.643,11,32,9,3,2,17,21,,34,60,.567,10,17,.588,12,24,.500,9,33,19,12,3,7,25
25,25,2016-02-22,@,Houston Baptist,W,97,91,35,56,.625,7,14,.500,20,21,.952,6,28,19,3,0,15,25,,29,55,.527,6,19,.316,27,36,.750,7,23,12,7,2,8,18
26,26,2016-02-27,,Lamar,W,89,70,30,55,.545,14,24,.583,15,16,.938,4,31,22,4,6,14,15,,24,61,.393,5,17,.294,17,24,.708,7,26,8,6,4,7,16
27,27,2016-02-29,,Stephen F. Austin,L,58,84,19,55,.345,6,17,.353,14,19,.737,12,29,7,4,2,16,19,,32,61,.525,8,18,.444,12,18,.667,12,36,19,11,5,11,16
