Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,IUPUI,L,70,72,23,56,.411,4,18,.222,20,35,.571,11,31,6,9,1,13,25,,23,48,.479,5,14,.357,21,30,.700,7,32,7,2,1,17,29
2,2,2015-11-16,,Wyoming,W,70,55,22,58,.379,7,28,.250,19,26,.731,6,39,14,6,2,8,20,,19,55,.345,7,30,.233,10,19,.526,5,32,9,6,2,9,22
3,3,2015-11-20,N,Norfolk State,W,70,61,24,60,.400,10,24,.417,12,19,.632,6,26,13,5,0,6,22,,18,53,.340,2,9,.222,23,31,.742,13,43,6,4,6,15,20
4,4,2015-11-22,N,Tulsa,L,59,67,20,56,.357,5,22,.227,14,27,.519,4,34,10,7,1,14,31,,22,59,.373,4,16,.250,19,36,.528,11,47,13,7,6,10,23
5,5,2015-11-23,N,Hofstra,W,67,66,24,56,.429,6,20,.300,13,15,.867,7,42,14,3,3,14,22,,24,71,.338,6,21,.286,12,21,.571,11,36,8,6,1,10,17
6,6,2015-12-01,@,Eastern Illinois,L,62,68,20,52,.385,6,19,.316,16,24,.667,12,32,12,10,4,15,19,,25,55,.455,11,23,.478,7,15,.467,10,31,15,6,4,15,16
7,7,2015-12-05,@,Butler,L,71,85,25,65,.385,8,28,.286,13,16,.813,9,25,10,6,2,14,24,,29,51,.569,3,11,.273,24,31,.774,3,31,11,9,6,12,19
8,8,2015-12-09,,Valparaiso,L,63,69,20,57,.351,8,22,.364,15,24,.625,9,32,12,8,4,13,26,,19,49,.388,8,21,.381,23,32,.719,5,34,8,9,3,11,19
9,9,2015-12-13,@,Western Kentucky,L,62,75,26,55,.473,6,17,.353,4,9,.444,4,19,15,7,3,15,19,,23,50,.460,6,14,.429,23,27,.852,11,36,13,6,3,16,15
10,10,2015-12-16,,Illinois-Springfield,W,75,60,24,53,.453,9,20,.450,18,30,.600,10,43,14,6,5,14,18,,20,60,.333,7,23,.304,13,18,.722,4,25,10,5,0,10,23
11,11,2015-12-19,@,Saint Louis,W,76,68,22,53,.415,6,23,.261,26,32,.813,9,28,11,7,6,13,18,,26,50,.520,8,16,.500,8,14,.571,4,30,15,6,0,20,29
12,12,2015-12-22,,Ball State,W,73,61,24,54,.444,6,18,.333,19,29,.655,8,38,9,7,0,13,16,,22,57,.386,6,22,.273,11,18,.611,8,34,10,9,3,16,23
13,13,2015-12-30,@,Evansville,L,62,70,23,68,.338,8,27,.296,8,14,.571,10,37,8,6,4,12,28,,22,49,.449,4,16,.250,22,41,.537,9,44,17,2,4,14,18
14,14,2016-01-02,,Loyola (IL),W,73,58,23,46,.500,5,15,.333,22,25,.880,3,30,10,9,1,15,17,,21,52,.404,7,13,.538,9,13,.692,5,23,12,6,3,16,22
15,15,2016-01-06,@,Drake,W,79,69,27,61,.443,8,19,.421,17,24,.708,9,34,11,9,4,5,22,,23,55,.418,7,23,.304,16,27,.593,10,39,10,2,3,14,17
16,16,2016-01-09,,Illinois State,W,77,65,22,55,.400,9,21,.429,24,33,.727,10,40,15,10,5,17,18,,24,63,.381,5,24,.208,12,17,.706,7,30,10,6,4,14,23
17,17,2016-01-13,,Northern Iowa,W,74,60,25,63,.397,12,28,.429,12,13,.923,13,37,11,5,0,10,22,,20,49,.408,4,18,.222,16,18,.889,5,26,7,2,1,13,17
18,18,2016-01-17,@,Wichita State,L,62,82,19,54,.352,6,21,.286,18,21,.857,5,26,8,1,2,16,27,,24,59,.407,6,22,.273,28,34,.824,11,37,10,7,4,5,18
19,19,2016-01-20,@,Southern Illinois,L,66,79,17,46,.370,2,18,.111,30,42,.714,11,37,5,1,1,19,29,,25,53,.472,4,14,.286,25,34,.735,6,28,13,10,0,9,27
20,20,2016-01-24,,Evansville,W,82,65,27,57,.474,14,23,.609,14,19,.737,7,31,14,3,2,11,20,,23,53,.434,5,11,.455,14,21,.667,6,27,12,5,4,10,19
21,21,2016-01-27,,Missouri State,W,68,59,23,63,.365,3,22,.136,19,23,.826,12,49,12,4,2,16,24,,20,62,.323,1,8,.125,18,31,.581,9,34,6,9,5,11,22
22,22,2016-01-30,@,Loyola (IL),L (2 OT),96,104,32,66,.485,11,26,.423,21,28,.750,8,33,16,7,2,15,27,,32,61,.525,6,18,.333,34,40,.850,5,30,11,7,3,10,22
23,23,2016-02-02,,Drake,W,63,56,24,60,.400,6,21,.286,9,18,.500,9,39,13,4,10,10,15,,21,64,.328,7,18,.389,7,9,.778,13,42,9,4,1,13,18
24,24,2016-02-06,@,Bradley,L,58,63,17,48,.354,5,17,.294,19,24,.792,5,33,8,7,2,17,26,,20,45,.444,2,10,.200,21,32,.656,5,31,10,9,5,13,19
25,25,2016-02-10,,Southern Illinois,L,78,85,27,55,.491,7,20,.350,17,22,.773,8,24,13,6,2,15,21,,27,49,.551,10,21,.476,21,29,.724,6,24,7,8,2,12,20
26,26,2016-02-13,@,Missouri State,L (1 OT),85,89,29,64,.453,9,21,.429,18,35,.514,16,43,13,4,2,14,26,,30,72,.417,6,19,.316,23,32,.719,17,42,12,5,5,10,25
27,27,2016-02-17,@,Illinois State,L,50,78,16,63,.254,4,22,.182,14,21,.667,15,34,10,6,3,10,18,,28,56,.500,9,23,.391,13,17,.765,7,42,14,7,3,14,18
28,28,2016-02-21,,Wichita State,L,51,84,18,58,.310,5,26,.192,10,16,.625,5,33,7,0,2,14,19,,29,65,.446,6,19,.316,20,23,.870,4,36,20,7,6,4,19
29,29,2016-02-24,@,Northern Iowa,L,44,66,15,55,.273,4,27,.148,10,14,.714,10,34,5,5,4,12,13,,24,53,.453,7,26,.269,11,11,1.000,4,32,13,11,5,8,12
30,30,2016-02-27,,Bradley,W,77,58,23,53,.434,5,20,.250,26,38,.684,5,38,8,4,0,8,22,,19,54,.352,8,22,.364,12,19,.632,7,33,10,1,3,15,27
31,31,2016-03-04,N,Illinois State,W,65,57,20,57,.351,5,23,.217,20,29,.690,7,34,10,9,2,13,13,,20,64,.313,9,33,.273,8,15,.533,10,40,8,8,5,16,22
32,32,2016-03-05,N,Evansville,L,42,68,14,55,.255,1,16,.063,13,20,.650,11,36,3,3,5,10,21,,23,56,.411,6,16,.375,16,24,.667,12,41,15,4,5,7,19
