Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Eastern Illinois,W,88,49,32,61,.525,9,27,.333,15,25,.600,21,51,15,9,3,15,23,,17,50,.340,4,16,.250,11,19,.579,4,15,5,7,0,13,25
2,2,2015-11-16,,Austin Peay,W,102,76,40,60,.667,16,27,.593,6,10,.600,5,29,25,14,3,20,15,,29,60,.483,7,14,.500,11,14,.786,8,23,15,6,5,23,15
3,3,2015-11-19,,Creighton,W,86,65,35,70,.500,10,28,.357,6,9,.667,13,40,18,6,5,16,21,,27,60,.450,3,18,.167,8,16,.500,7,31,10,5,5,15,15
4,4,2015-11-23,N,Wake Forest,L,78,82,26,60,.433,10,29,.345,16,22,.727,10,28,17,9,6,14,15,,35,69,.507,6,14,.429,6,12,.500,14,37,6,6,1,17,18
5,5,2015-11-24,N,St. John's (NY),W,83,73,30,52,.577,8,19,.421,15,24,.625,8,32,19,7,3,16,19,,24,55,.436,7,18,.389,18,27,.667,9,27,7,7,3,11,18
6,6,2015-11-25,N,UNLV,L,69,72,24,52,.462,11,20,.550,10,19,.526,5,35,17,7,4,18,20,,27,61,.443,7,19,.368,11,20,.550,8,31,16,9,5,12,18
7,7,2015-11-30,,Alcorn State,W,112,70,39,58,.672,15,26,.577,19,25,.760,11,36,24,12,5,12,15,,28,67,.418,6,16,.375,8,13,.615,13,23,8,6,2,12,21
8,8,2015-12-02,@,Duke,L,74,94,27,53,.509,7,17,.412,13,17,.765,5,19,13,5,4,9,16,,37,70,.529,11,24,.458,9,11,.818,16,34,18,4,5,6,17
9,9,2015-12-05,,Morehead State,W,92,59,30,53,.566,5,15,.333,27,36,.750,12,34,11,7,7,13,25,,16,51,.314,4,14,.286,23,28,.821,12,26,9,6,2,21,28
10,10,2015-12-09,,IPFW,W,90,65,29,56,.518,9,22,.409,23,30,.767,10,48,13,6,7,17,23,,23,66,.348,8,25,.320,11,19,.579,9,25,11,7,2,14,23
11,11,2015-12-12,,McNeese State,W,105,60,40,78,.513,13,28,.464,12,16,.750,18,44,21,9,6,8,17,,20,63,.317,4,22,.182,16,20,.800,16,39,10,2,5,19,19
12,12,2015-12-19,N,Notre Dame,W,80,73,27,63,.429,10,20,.500,16,23,.696,19,40,13,5,3,12,11,,32,65,.492,5,18,.278,4,8,.500,11,27,19,8,10,10,18
13,13,2015-12-22,,Kennesaw State,W,99,72,33,51,.647,11,19,.579,22,31,.710,11,31,18,4,6,12,16,,31,61,.508,4,13,.308,6,9,.667,10,19,17,9,3,11,23
14,14,2015-12-30,@,Rutgers,W,79,72,28,59,.475,10,24,.417,13,20,.650,15,38,15,10,3,23,17,,28,64,.438,6,15,.400,10,11,.909,10,28,11,14,0,17,19
15,15,2016-01-02,@,Nebraska,W,79,69,28,51,.549,9,18,.500,14,23,.609,5,31,16,6,4,14,19,,24,55,.436,8,20,.400,13,20,.650,5,29,11,8,4,14,24
16,16,2016-01-05,,Wisconsin,W,59,58,21,43,.488,7,17,.412,10,10,1.000,3,25,13,7,4,18,21,,19,46,.413,4,16,.250,16,23,.696,7,20,6,9,1,11,16
17,17,2016-01-10,,Ohio State,W,85,60,31,67,.463,11,30,.367,12,18,.667,15,48,19,9,1,12,18,,22,56,.393,7,17,.412,9,15,.600,7,31,8,7,4,13,18
18,18,2016-01-16,@,Minnesota,W,70,63,26,63,.413,8,25,.320,10,12,.833,8,34,14,6,5,13,22,,19,46,.413,6,13,.462,19,30,.633,2,27,13,5,4,14,17
