Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-09,@,Dayton,L,80,81,28,65,.431,7,21,.333,17,21,.810,12,32,17,6,7,16,21,,29,63,.460,7,13,.538,16,23,.696,12,37,14,5,4,14,22
2,2,2013-11-11,,Indiana-Kokomo,W,90,62,37,63,.587,5,17,.294,11,19,.579,13,31,23,10,8,7,13,,22,52,.423,10,19,.526,8,10,.800,6,22,8,5,3,16,19
3,3,2013-11-15,@,Texas A&M-Corpus Christi,L,71,72,24,51,.471,7,24,.292,16,24,.667,8,25,14,5,3,11,21,,26,52,.500,4,10,.400,16,20,.800,7,27,7,7,2,10,21
4,4,2013-11-16,N,Texas-Rio Grande Valley,W,66,60,23,63,.365,6,23,.261,14,18,.778,19,45,12,4,2,11,19,,21,56,.375,1,14,.071,17,23,.739,11,27,8,7,4,9,20
5,5,2013-11-17,N,Tennessee Tech,W,69,66,28,52,.538,6,14,.429,7,17,.412,6,26,16,9,1,14,15,,27,60,.450,4,15,.267,8,13,.615,11,34,16,7,2,15,16
6,6,2013-11-20,,Purdue Calumet,W,106,72,39,73,.534,12,26,.462,16,24,.667,17,41,24,12,2,10,17,,26,57,.456,5,20,.250,15,19,.789,7,25,17,3,6,17,19
7,7,2013-11-24,@,Kennesaw State,W,76,66,24,50,.480,3,11,.273,25,32,.781,10,32,12,8,2,13,17,,22,57,.386,8,22,.364,14,17,.824,10,24,13,4,1,14,29
8,8,2013-11-27,@,Eastern Illinois,W,71,65,21,43,.488,6,14,.429,23,36,.639,12,30,13,9,1,16,15,,23,45,.511,6,14,.429,13,16,.813,3,15,8,5,6,14,24
9,9,2013-11-29,@,Illinois,L,55,57,23,53,.434,7,17,.412,2,13,.154,10,33,9,7,2,18,23,,20,51,.392,4,21,.190,13,23,.565,9,31,6,7,4,12,16
10,10,2013-12-03,@,Miami (OH),L,87,94,32,63,.508,15,28,.536,8,16,.500,11,31,20,6,2,16,21,,33,60,.550,8,19,.421,20,25,.800,8,28,13,11,3,11,20
