,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Oregon,L,52,80,19,60,.317,4,20,.200,10,13,.769,9,30,8,5,1,16,24,,25,51,.490,10,24,.417,20,28,.714,8,31,16,8,9,16,18
2,2,2015-11-17,@,Southern Miss,W,78,60,30,57,.526,11,25,.440,7,10,.700,10,32,16,9,2,15,22,,20,49,.408,4,16,.250,16,25,.640,10,25,8,4,1,16,14
3,3,2015-11-20,@,Baylor,L,60,77,21,61,.344,7,19,.368,11,18,.611,7,27,21,10,4,13,22,,27,61,.443,7,19,.368,16,28,.571,18,52,17,9,4,17,18
4,4,2015-11-22,@,Arkansas State,L,69,78,26,76,.342,7,19,.368,10,16,.625,10,35,9,6,2,8,26,,22,52,.423,5,19,.263,29,37,.784,6,42,14,5,8,12,16
5,5,2015-11-24,@,Tennessee Tech,L (1 OT),82,86,32,86,.372,12,30,.400,6,15,.400,23,49,15,7,5,12,32,,22,53,.415,5,19,.263,37,45,.822,7,36,12,7,8,13,18
6,6,2015-11-27,,Savannah State,W,69,42,26,58,.448,9,22,.409,8,12,.667,6,29,15,8,3,11,21,,13,48,.271,4,21,.190,12,19,.632,8,31,6,4,0,21,22
7,7,2015-11-29,@,Marquette,L,61,80,25,69,.362,6,19,.316,5,7,.714,14,36,9,8,7,14,17,,30,59,.508,9,26,.346,11,15,.733,5,31,23,12,8,14,14
8,8,2015-12-02,,Fisk,W,94,59,34,68,.500,9,23,.391,17,26,.654,13,46,12,13,9,17,24,,17,61,.279,2,18,.111,23,28,.821,10,31,7,8,4,21,21
9,9,2015-12-04,@,Louisiana Tech,L (2 OT),88,95,37,85,.435,8,31,.258,6,14,.429,14,43,13,9,5,17,28,,25,68,.368,8,29,.276,37,44,.841,12,43,18,7,5,16,18
10,10,2015-12-12,,Blue Mountain College,W,75,37,31,71,.437,10,30,.333,3,4,.750,16,54,17,8,2,11,14,,12,50,.240,5,22,.227,8,12,.667,2,21,6,3,3,14,11
11,11,2015-12-15,@,Miami (OH),L,53,64,18,62,.290,6,27,.222,11,17,.647,15,37,10,10,3,16,26,,18,54,.333,3,15,.200,25,33,.758,14,41,12,11,4,18,14
12,12,2015-12-17,@,Ohio,L,67,72,25,68,.368,7,21,.333,10,18,.556,11,29,11,7,4,8,28,,19,42,.452,7,22,.318,27,38,.711,6,32,11,5,5,15,15
13,13,2015-12-30,,Southeastern Louisiana,W,89,66,31,64,.484,10,24,.417,17,22,.773,12,34,20,9,3,7,19,,23,44,.523,8,17,.471,12,25,.480,4,26,12,4,3,14,19
14,14,2016-01-02,,Alabama State,W,68,61,26,55,.473,5,16,.313,11,25,.440,10,37,11,10,8,12,21,,19,59,.322,7,21,.333,16,29,.552,13,35,9,5,2,14,23
15,15,2016-01-04,,Alabama A&M,W,67,66,26,58,.448,3,16,.188,12,20,.600,10,36,14,7,3,11,26,,22,53,.415,9,19,.474,13,26,.500,8,31,10,3,2,11,19
