Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-08,@,Bradley,L,65,72,24,54,.444,3,16,.188,14,21,.667,9,31,9,5,1,15,20,,25,54,.463,6,13,.462,16,21,.762,7,30,12,9,3,11,20
2,2,2013-11-10,@,Illinois,L,62,86,23,70,.329,4,20,.200,12,23,.522,19,38,8,2,2,8,20,,32,61,.525,4,12,.333,18,28,.643,14,35,14,2,11,5,19
3,3,2013-11-12,@,Chicago State,L,75,79,24,55,.436,11,21,.524,16,24,.667,8,32,10,5,0,13,18,,28,57,.491,9,20,.450,14,23,.609,7,31,15,9,1,10,20
4,4,2013-11-16,,Alabama State,L,73,84,23,55,.418,3,18,.167,24,33,.727,13,25,12,6,4,12,27,,24,48,.500,4,16,.250,32,39,.821,9,29,11,4,2,12,26
5,5,2013-11-19,@,Auburn,L,54,78,18,52,.346,6,15,.400,12,24,.500,9,26,11,4,4,14,21,,26,58,.448,3,10,.300,23,31,.742,13,39,12,9,3,9,18
6,6,2013-11-22,,Dalton State,W,85,61,26,47,.553,7,15,.467,26,33,.788,6,40,15,2,6,14,20,,18,58,.310,7,22,.318,18,23,.783,3,19,8,6,3,9,24
7,7,2013-11-25,@,Alabama A&M,W,76,69,27,58,.466,5,14,.357,17,23,.739,12,31,14,8,5,12,14,,26,53,.491,3,9,.333,14,19,.737,4,22,20,3,5,10,23
8,8,2013-11-27,,Fort Valley State,W,78,66,27,49,.551,7,16,.438,17,26,.654,9,31,15,6,3,16,19,,26,51,.510,4,15,.267,10,16,.625,7,19,13,11,4,13,23
9,9,2013-11-30,@,Central Michigan,L,61,66,23,50,.460,9,26,.346,6,8,.750,7,18,12,4,5,8,13,,26,43,.605,6,12,.500,8,11,.727,4,23,10,5,0,10,9
10,10,2013-12-08,@,Florida State,L,53,77,20,52,.385,4,13,.308,9,14,.643,9,21,10,8,2,16,24,,24,44,.545,7,18,.389,22,27,.815,7,28,13,8,7,15,15
11,11,2013-12-11,,Alcorn State,W,63,52,23,58,.397,5,13,.385,12,16,.750,10,33,17,8,3,7,22,,14,48,.292,4,15,.267,20,24,.833,11,33,6,3,3,15,17
12,12,2013-12-14,@,Dartmouth,L,46,76,17,56,.304,5,18,.278,7,15,.467,8,20,10,6,3,7,21,,26,48,.542,7,17,.412,17,23,.739,11,43,14,4,7,13,15
13,13,2013-12-17,,Central Michigan,W,82,73,27,50,.540,9,18,.500,19,28,.679,7,28,20,4,7,7,18,,25,56,.446,7,20,.350,16,22,.727,12,32,12,5,4,9,22
14,14,2013-12-20,N,Arkansas-Little Rock,L,70,75,23,50,.460,8,18,.444,16,30,.533,7,23,14,7,2,10,22,,26,48,.542,8,12,.667,15,24,.625,9,38,13,6,2,13,22
15,15,2013-12-21,N,Coppin State,W,72,61,25,58,.431,9,23,.391,13,19,.684,11,31,17,8,4,9,18,,19,49,.388,6,18,.333,17,22,.773,8,32,10,6,2,14,13
16,16,2013-12-30,,UT-Martin,W,70,65,23,53,.434,3,11,.273,21,29,.724,8,30,10,9,5,8,15,,22,53,.415,8,20,.400,13,16,.813,9,31,7,7,4,13,24
17,17,2014-01-02,@,Belmont,L,67,78,25,55,.455,5,17,.294,12,16,.750,14,26,13,8,2,14,12,,30,47,.638,7,11,.636,11,17,.647,6,24,18,5,3,12,14
18,18,2014-01-04,@,Tennessee State,L,65,70,23,51,.451,5,17,.294,14,20,.700,7,27,4,1,3,9,19,,22,51,.431,8,17,.471,18,25,.720,12,35,10,7,2,11,17
19,19,2014-01-09,,Southern Illinois-Edwardsville,W,61,52,23,52,.442,6,20,.300,9,14,.643,7,33,13,4,7,6,15,,19,52,.365,7,19,.368,7,14,.500,8,31,11,3,1,7,16
20,20,2014-01-11,,Eastern Illinois,L,48,56,16,48,.333,4,25,.160,12,18,.667,6,22,9,8,3,9,20,,18,36,.500,1,6,.167,19,27,.704,3,31,11,7,2,14,21
21,21,2014-01-16,,Tennessee State,W,70,64,20,49,.408,4,14,.286,26,35,.743,15,31,12,6,6,7,22,,20,48,.417,2,7,.286,22,33,.667,15,32,5,2,6,11,26
22,22,2014-01-18,@,Eastern Kentucky,L,56,60,18,32,.563,4,11,.364,16,24,.667,0,16,11,4,4,14,22,,14,38,.368,5,15,.333,27,31,.871,6,23,8,7,0,11,19
23,23,2014-01-23,@,Austin Peay,W,71,59,24,55,.436,6,16,.375,17,18,.944,9,36,13,11,3,12,19,,21,49,.429,3,13,.231,14,27,.519,8,27,11,4,7,14,17
24,24,2014-01-25,@,Murray State,L,65,73,22,52,.423,7,14,.500,14,25,.560,7,24,9,7,3,8,26,,23,47,.489,7,15,.467,20,30,.667,8,35,13,5,2,12,20
25,25,2014-02-01,@,Morehead State,L,54,65,19,49,.388,6,22,.273,10,15,.667,4,20,13,6,7,13,18,,23,48,.479,3,7,.429,16,22,.727,11,37,13,6,2,16,21
26,26,2014-02-08,,Tennessee Tech,L,60,72,16,54,.296,2,16,.125,26,33,.788,11,25,7,8,4,9,16,,27,53,.509,3,10,.300,15,25,.600,12,38,13,4,8,14,24
27,27,2014-02-13,,Morehead State,L,67,69,23,54,.426,5,12,.417,16,21,.762,8,24,12,9,5,11,22,,20,46,.435,3,10,.300,26,33,.788,10,34,11,8,1,19,21
28,28,2014-02-15,,Eastern Kentucky,L,65,86,21,50,.420,5,17,.294,18,25,.720,7,23,14,12,0,18,12,,31,48,.646,11,21,.524,13,14,.929,1,20,24,8,4,16,22
29,29,2014-02-20,@,Southeast Missouri State,L,70,87,22,59,.373,9,30,.300,17,26,.654,11,28,10,4,2,9,22,,35,62,.565,2,8,.250,15,22,.682,12,37,18,3,2,10,20
30,30,2014-02-22,@,Tennessee Tech,L,57,69,22,58,.379,4,20,.200,9,17,.529,9,29,10,6,0,14,20,,27,59,.458,2,10,.200,13,18,.722,16,41,13,6,5,13,17
31,31,2014-03-01,,Belmont,L,53,76,18,48,.375,5,15,.333,12,22,.545,10,30,12,9,5,17,24,,29,46,.630,7,14,.500,11,22,.500,3,26,18,7,2,13,21
