Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,@,Appalachian State,L,68,76,24,62,.387,9,21,.429,11,18,.611,7,29,10,6,4,10,26,,24,65,.369,8,23,.348,20,30,.667,16,47,16,3,5,12,16
2,2,2015-11-17,@,Florida State,L,79,98,29,65,.446,9,23,.391,12,21,.571,9,28,12,6,3,13,22,,36,63,.571,10,23,.435,16,26,.615,10,37,17,6,5,13,18
3,3,2015-11-20,,Florida College,W,81,63,26,63,.413,8,26,.308,21,31,.677,12,39,18,14,1,14,12,,21,58,.362,11,36,.306,10,13,.769,5,31,11,6,1,21,21
4,4,2015-11-23,,Thomas University,W,92,64,30,65,.462,7,24,.292,25,34,.735,12,48,11,6,6,7,19,,22,64,.344,10,31,.323,10,22,.455,8,35,16,2,1,11,26
5,5,2015-11-27,N,IPFW,L,63,71,22,54,.407,13,29,.448,6,12,.500,3,37,14,4,3,15,21,,27,62,.435,9,29,.310,8,17,.471,5,32,17,7,2,8,15
6,6,2015-11-28,N,Navy,L,65,71,22,58,.379,9,20,.450,12,19,.632,9,21,9,4,4,11,15,,27,60,.450,5,18,.278,12,14,.857,7,37,11,3,7,13,23
7,7,2015-11-29,@,North Carolina-Greensboro,L,69,71,25,57,.439,10,24,.417,9,12,.750,8,35,11,4,0,14,22,,25,59,.424,10,27,.370,11,18,.611,9,33,12,6,3,8,17
8,8,2015-12-02,,Florida Memorial,W,92,73,33,56,.589,11,24,.458,15,15,1.000,5,33,18,7,2,16,12,,25,63,.397,13,40,.325,10,14,.714,7,23,13,6,2,12,14
9,9,2015-12-05,@,Jacksonville State,W,86,82,29,51,.569,10,20,.500,18,24,.750,5,40,15,1,1,13,22,,27,65,.415,12,32,.375,16,27,.593,7,27,13,4,3,5,20
10,10,2015-12-12,@,South Carolina State,L,74,81,29,64,.453,4,18,.222,12,17,.706,7,33,8,6,3,6,16,,27,65,.415,8,24,.333,19,24,.792,10,42,13,1,2,9,14
11,11,2015-12-16,@,South Florida,L,75,88,27,66,.409,10,26,.385,11,17,.647,5,16,15,10,0,9,20,,31,49,.633,9,16,.563,17,26,.654,6,43,17,3,4,21,17
12,12,2015-12-21,,Florida A&M,W,68,66,23,60,.383,9,22,.409,13,19,.684,10,35,11,5,3,11,19,,25,57,.439,5,17,.294,11,17,.647,4,35,12,5,0,14,18
13,13,2015-12-22,@,Florida,L,65,89,23,64,.359,7,17,.412,12,13,.923,8,33,8,4,0,10,24,,32,61,.525,6,21,.286,19,29,.655,12,42,19,6,6,9,17
14,14,2015-12-29,,Marist,W,69,68,27,62,.435,10,22,.455,5,11,.455,14,36,11,9,3,16,19,,23,49,.469,12,26,.462,10,13,.769,2,23,11,2,3,17,15
15,15,2015-12-31,,Bethune-Cookman,W,74,70,29,60,.483,8,16,.500,8,23,.348,9,39,12,5,4,14,18,,24,64,.375,11,25,.440,11,16,.688,9,34,9,5,6,12,22
16,16,2016-01-02,@,Western Michigan,L,72,76,29,63,.460,7,19,.368,7,9,.778,2,23,10,9,1,8,21,,25,54,.463,4,20,.200,22,27,.815,9,36,15,3,3,13,13
17,17,2016-01-05,,Trinity Baptist,W,84,45,30,58,.517,15,31,.484,9,13,.692,9,40,19,10,8,15,16,,15,58,.259,3,19,.158,12,19,.632,10,29,7,8,1,14,19
18,18,2016-01-09,@,North Florida,L,68,83,26,66,.394,4,21,.190,12,18,.667,8,30,4,6,2,9,16,,31,60,.517,12,27,.444,9,12,.750,5,34,17,5,8,12,17
19,19,2016-01-14,,Kennesaw State,W,83,70,30,72,.417,11,23,.478,12,17,.706,18,48,19,5,5,11,20,,25,61,.410,10,24,.417,10,19,.526,6,31,16,7,3,11,18
20,20,2016-01-16,,Lipscomb,W,76,73,26,64,.406,10,27,.370,14,20,.700,13,40,19,7,3,12,18,,27,60,.450,11,28,.393,8,15,.533,5,28,22,5,2,11,17
21,21,2016-01-21,@,NJIT,L,63,83,20,57,.351,10,30,.333,13,21,.619,5,32,14,6,4,13,18,,32,64,.500,10,26,.385,9,18,.500,10,39,24,7,1,11,19
22,22,2016-01-23,@,South Carolina Upstate,W,77,68,27,61,.443,13,27,.481,10,21,.476,6,28,13,4,3,6,14,,26,57,.456,4,17,.235,12,16,.750,9,39,12,1,3,16,19
23,23,2016-01-27,@,Florida Gulf Coast,W,78,69,28,64,.438,8,18,.444,14,24,.583,12,41,16,5,1,9,17,,25,63,.397,9,23,.391,10,20,.500,11,40,10,7,1,12,22
24,24,2016-01-30,,Stetson,W,75,60,26,69,.377,11,28,.393,12,17,.706,10,50,13,6,4,12,19,,20,66,.303,5,27,.185,15,22,.682,6,41,7,6,0,12,20
25,25,2016-02-01,,Florida Gulf Coast,W,83,80,30,57,.526,6,18,.333,17,25,.680,6,25,11,7,1,5,11,,34,60,.567,7,17,.412,5,7,.714,7,27,12,4,5,10,17
26,26,2016-02-06,@,Stetson,W (1 OT),96,88,35,70,.500,7,17,.412,19,29,.655,10,46,14,0,8,10,16,,29,73,.397,11,32,.344,19,23,.826,5,27,17,6,4,5,27
27,27,2016-02-11,@,Lipscomb,L,92,93,36,69,.522,10,22,.455,10,12,.833,7,26,16,6,0,8,18,,31,62,.500,14,43,.326,17,24,.708,12,39,21,3,2,14,12
28,28,2016-02-13,@,Kennesaw State,L,69,90,22,60,.367,3,14,.214,22,34,.647,12,34,8,10,0,12,20,,32,59,.542,11,23,.478,15,22,.682,8,34,21,9,2,14,22
29,29,2016-02-18,,South Carolina Upstate,W,81,76,27,66,.409,8,18,.444,19,26,.731,16,42,9,11,3,13,19,,27,61,.443,8,26,.308,14,24,.583,10,27,9,6,8,15,21
30,30,2016-02-20,,NJIT,L,58,73,19,53,.358,4,21,.190,16,22,.727,9,30,9,7,2,17,19,,27,51,.529,10,26,.385,9,16,.563,6,26,18,5,0,15,23
31,31,2016-02-25,,North Florida,L,80,81,30,65,.462,5,19,.263,15,17,.882,8,31,12,8,0,10,16,,28,56,.500,13,27,.481,12,14,.857,5,29,13,5,5,16,15
32,32,2016-03-01,,Lipscomb,L (1 OT),89,92,27,64,.422,12,30,.400,23,29,.793,10,35,13,9,3,12,27,,32,62,.516,7,19,.368,21,29,.724,5,34,8,5,3,17,22
