,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Richmond,W,87,75,30,59,.508,11,24,.458,16,24,.667,16,39,16,5,0,11,19,,27,52,.519,5,17,.294,16,26,.615,6,23,14,7,1,6,22
2,2,2015-11-16,N,West Virginia,L,73,86,21,51,.412,9,28,.321,22,24,.917,10,28,8,5,1,18,23,,29,66,.439,6,16,.375,22,30,.733,22,40,16,9,2,13,21
3,3,2015-11-20,,Florida International,W,64,61,21,57,.368,8,26,.308,14,25,.560,11,35,10,6,1,8,18,,22,50,.440,8,19,.421,9,19,.474,7,34,10,4,4,12,25
4,4,2015-11-21,,Oral Roberts,L,64,74,26,60,.433,6,20,.300,6,14,.429,7,27,8,5,2,11,21,,23,45,.511,7,15,.467,21,27,.778,4,34,15,5,3,13,17
5,5,2015-11-22,,UT-Martin,L,75,78,28,57,.491,11,30,.367,8,11,.727,8,22,14,5,3,8,9,,30,55,.545,12,27,.444,6,7,.857,9,28,8,3,0,11,17
6,6,2015-11-24,,East Mennonite,W,106,74,38,58,.655,15,24,.625,15,20,.750,5,30,24,5,8,13,17,,27,59,.458,10,24,.417,10,13,.769,4,20,11,3,1,15,19
7,7,2015-11-27,@,Marshall,W,89,75,32,63,.508,9,17,.529,16,24,.667,15,50,10,4,3,17,19,,24,68,.353,11,34,.324,16,23,.696,8,27,16,10,6,11,21
8,8,2015-11-30,@,Radford,W,70,68,22,47,.468,11,24,.458,15,20,.750,8,32,9,3,3,16,22,,23,54,.426,3,14,.214,19,32,.594,9,26,5,10,3,8,19
9,9,2015-12-03,,Western Michigan,W,63,57,20,56,.357,8,28,.286,15,22,.682,7,38,7,2,3,10,13,,20,60,.333,9,21,.429,8,9,.889,8,36,11,3,1,13,19
10,10,2015-12-06,,Marshall,W,107,84,34,68,.500,14,29,.483,25,34,.735,13,50,23,1,2,10,22,,31,72,.431,7,36,.194,15,28,.536,10,31,16,6,5,8,25
11,11,2015-12-12,,George Mason,W,69,46,23,58,.397,8,25,.320,15,19,.789,7,38,11,4,4,8,16,,18,58,.310,4,21,.190,6,10,.600,7,35,3,2,1,13,17
12,12,2015-12-20,,East Carolina,W,67,61,26,56,.464,9,28,.321,6,8,.750,7,33,19,1,4,9,14,,21,61,.344,11,37,.297,8,10,.800,9,31,14,4,2,6,12
