,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Maryland-Eastern Shore,W,80,53,24,62,.387,5,23,.217,27,41,.659,16,41,13,13,1,10,23,,14,47,.298,5,21,.238,20,27,.741,7,30,6,6,1,21,31
2,2,2015-11-16,,Columbia,W,81,71,30,60,.500,7,22,.318,14,20,.700,13,34,17,6,0,14,21,,23,50,.460,5,24,.208,20,26,.769,8,25,12,8,1,14,22
3,3,2015-11-20,,South Dakota,W,93,72,26,59,.441,5,16,.313,36,45,.800,14,40,17,4,5,9,21,,28,65,.431,7,27,.259,9,14,.643,10,32,20,3,4,14,29
4,4,2015-11-23,N,Missouri,W,66,42,21,57,.368,4,17,.235,20,26,.769,11,40,11,8,3,8,12,,17,55,.309,4,19,.211,4,10,.400,8,28,10,5,4,13,22
5,5,2015-11-24,N,UNC,L,70,80,25,62,.403,8,16,.500,12,19,.632,9,29,11,10,1,12,22,,29,62,.468,6,20,.300,16,20,.800,11,40,20,5,8,12,20
6,6,2015-11-29,,South Carolina State,W,68,66,26,55,.473,3,15,.200,13,17,.765,12,36,19,6,2,17,17,,23,57,.404,9,23,.391,11,17,.647,9,26,14,10,2,13,17
7,7,2015-12-04,@,Georgia,W,68,66,23,59,.390,6,16,.375,16,24,.667,14,32,10,6,6,9,23,,23,51,.451,3,10,.300,17,25,.680,9,29,13,5,8,12,20
8,8,2015-12-09,,Coppin State,W,83,58,28,64,.438,8,23,.348,19,27,.704,13,40,22,6,4,11,18,,19,66,.288,2,21,.095,18,27,.667,18,36,8,4,6,11,21
9,9,2015-12-12,@,Texas A&M,L,68,78,26,61,.426,5,20,.250,11,16,.688,13,31,12,5,2,15,20,,27,50,.540,7,14,.500,17,25,.680,7,30,18,11,3,13,19
10,10,2015-12-19,N,Colorado State,W,61,56,22,51,.431,2,13,.154,15,23,.652,7,35,9,3,4,13,24,,17,58,.293,6,22,.273,16,21,.762,9,35,9,2,2,9,21
11,11,2015-12-22,,North Dakota,W,63,49,22,58,.379,7,24,.292,12,26,.462,17,37,13,10,0,15,15,,19,43,.442,2,12,.167,9,15,.600,5,26,8,8,2,18,23
12,12,2015-12-29,,Saint Louis,W,75,47,26,52,.500,5,15,.333,18,26,.692,6,35,15,11,0,14,17,,17,51,.333,5,28,.179,8,17,.471,6,30,10,7,1,19,24
13,13,2016-01-02,,West Virginia,L (2 OT),83,87,26,58,.448,3,19,.158,28,43,.651,9,34,15,6,1,15,24,,32,68,.471,3,20,.150,20,31,.645,12,37,17,10,4,15,29
14,14,2016-01-05,@,Texas,L,57,60,19,51,.373,3,19,.158,16,21,.762,10,32,10,5,3,9,21,,19,48,.396,6,23,.261,16,24,.667,9,32,10,5,2,10,19
15,15,2016-01-09,@,Oklahoma,L,76,86,28,73,.384,8,26,.308,12,17,.706,14,34,10,11,2,10,17,,35,62,.565,11,19,.579,5,11,.455,10,39,23,9,11,20,17
16,16,2016-01-12,,Texas Tech,W,83,70,31,55,.564,10,19,.526,11,16,.688,10,32,18,8,2,13,19,,22,61,.361,7,22,.318,19,22,.864,17,36,12,7,0,12,20
