,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-08,,Youngstown State,L,57,73,18,52,.346,4,16,.250,17,25,.680,7,29,9,5,2,19,19,,24,60,.400,6,18,.333,19,21,.905,11,37,10,8,4,11,21
2,2,2013-11-09,,Eastern Kentucky,L,60,68,19,48,.396,4,19,.211,18,24,.750,9,31,10,7,3,22,21,,22,49,.449,7,17,.412,17,22,.773,3,24,10,11,2,16,21
3,3,2013-11-10,,Florida International,L,58,66,22,61,.361,9,26,.346,5,9,.556,14,37,14,0,6,14,20,,23,54,.426,3,12,.250,17,24,.708,11,32,7,8,3,6,16
4,4,2013-11-11,,Warren Wilson,W,92,48,35,72,.486,14,37,.378,8,14,.571,18,42,21,8,7,7,20,,18,55,.327,3,16,.188,9,18,.500,13,31,12,2,3,16,13
5,5,2013-11-14,@,Mississippi State,L,55,78,20,44,.455,6,17,.353,9,17,.529,9,29,14,4,3,25,23,,28,60,.467,8,23,.348,14,25,.560,14,31,16,15,4,11,19
6,6,2013-11-19,@,Chattanooga,W,73,69,29,62,.468,5,11,.455,10,20,.500,8,28,10,13,3,15,16,,29,62,.468,2,15,.133,9,16,.563,15,45,7,8,8,22,18
7,7,2013-11-24,,IPFW,L,66,76,22,57,.386,8,22,.364,14,17,.824,10,24,13,4,1,14,29,,24,50,.480,3,11,.273,25,32,.781,10,32,12,8,2,13,17
8,8,2013-11-26,,Truett-McConnell,W,73,54,26,52,.500,8,22,.364,13,20,.650,9,24,12,15,5,14,18,,19,44,.432,7,19,.368,9,11,.818,6,23,11,5,4,24,16
9,9,2013-11-29,@,Cincinnati,L,67,95,23,56,.411,7,19,.368,14,20,.700,9,27,9,4,0,19,16,,36,74,.486,7,17,.412,16,20,.800,18,39,20,11,6,9,19
10,10,2013-12-01,@,Kent State,L,51,68,18,58,.310,7,25,.280,8,9,.889,9,28,7,6,2,20,27,,17,44,.386,3,11,.273,31,39,.795,9,39,8,6,4,19,14
11,11,2013-12-16,@,Georgia Tech,L,57,74,21,55,.382,2,16,.125,13,28,.464,8,31,10,7,4,11,25,,27,59,.458,2,11,.182,18,29,.621,14,44,14,7,6,11,19
