,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,,Youngstown State,W,79,70,28,65,.431,6,18,.333,17,28,.607,16,51,14,6,3,16,17,,24,60,.400,9,29,.310,13,22,.591,5,27,22,8,3,13,25
2,2,2015-11-18,@,Southern Illinois,L,69,72,23,59,.390,7,24,.292,16,36,.444,18,39,10,4,3,14,25,,22,45,.489,5,15,.333,23,30,.767,5,29,11,3,0,13,29
3,3,2015-11-21,,Marist,W,79,72,26,58,.448,4,13,.308,23,29,.793,10,35,17,4,3,9,17,,27,53,.509,8,22,.364,10,14,.714,3,23,12,4,3,10,22
4,4,2015-11-24,,Saint Francis (PA),W,79,60,32,70,.457,5,18,.278,10,14,.714,14,37,15,4,7,5,20,,19,51,.373,4,14,.286,18,26,.692,8,31,5,2,3,13,18
5,5,2015-11-28,@,Pitt,L,76,85,29,64,.453,6,20,.300,12,14,.857,13,30,16,5,1,7,12,,31,55,.564,10,16,.625,13,14,.929,4,23,26,2,3,10,15
6,6,2015-12-05,@,Cleveland State,W,66,62,25,51,.490,2,12,.167,14,22,.636,10,31,15,5,2,13,18,,24,55,.436,6,17,.353,8,14,.571,10,26,17,6,1,13,24
7,7,2015-12-07,@,NJIT,W,80,75,28,67,.418,12,30,.400,12,21,.571,11,31,17,8,7,6,18,,25,58,.431,8,27,.296,17,19,.895,8,37,14,3,5,13,19
8,8,2015-12-10,,Louisiana-Monroe,W,73,62,22,54,.407,6,15,.400,23,31,.742,15,35,9,5,4,8,16,,23,59,.390,7,18,.389,9,15,.600,13,31,12,5,5,12,29
9,9,2015-12-12,,Canisius,W,84,77,32,59,.542,3,14,.214,17,30,.567,12,42,18,7,7,12,18,,26,66,.394,11,29,.379,14,18,.778,4,23,18,7,1,10,25
10,10,2015-12-22,N,SMU,L,74,90,24,53,.453,9,19,.474,17,28,.607,8,27,16,6,2,17,26,,29,58,.500,7,14,.500,25,31,.806,10,39,17,9,3,14,24
11,11,2015-12-23,N,Penn State,L,69,75,24,52,.462,3,8,.375,18,26,.692,6,27,11,6,0,12,22,,29,59,.492,3,15,.200,14,25,.560,14,35,8,6,6,14,23
12,12,2015-12-30,@,North Carolina A&T,W,61,60,20,48,.417,5,22,.227,16,21,.762,12,30,10,8,2,15,20,,20,46,.435,4,11,.364,16,21,.762,6,22,11,8,1,11,16
13,13,2016-01-02,,Oberlin,W,104,58,40,70,.571,6,18,.333,18,24,.750,16,48,18,13,3,8,11,,19,59,.322,9,26,.346,11,11,1.000,7,20,11,4,0,19,18
14,14,2016-01-05,@,Western Michigan,W (1 OT),87,84,33,72,.458,3,16,.188,18,25,.720,10,33,9,11,5,8,21,,27,61,.443,8,25,.320,22,27,.815,12,39,12,4,5,19,22
15,15,2016-01-08,,Buffalo,L,67,76,25,62,.403,2,14,.143,15,19,.789,8,25,8,3,0,12,23,,24,46,.522,8,17,.471,20,27,.741,7,31,12,8,4,20,24
16,16,2016-01-12,,Miami (OH),W,76,68,23,47,.489,8,25,.320,22,31,.710,10,32,11,4,3,16,19,,24,61,.393,6,21,.286,14,16,.875,9,27,10,4,1,11,24
