,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,,Towson,W,78,76,22,52,.423,9,26,.346,25,30,.833,3,25,11,4,2,8,24,,23,61,.377,7,19,.368,23,33,.697,15,40,16,4,4,11,22
2,2,2015-11-17,,Rider,W,73,60,29,55,.527,8,24,.333,7,9,.778,2,22,18,11,0,8,10,,26,56,.464,4,19,.211,4,5,.800,9,26,14,6,3,15,16
3,3,2015-11-23,,Lafayette,W,83,75,30,63,.476,9,26,.346,14,18,.778,14,39,19,8,3,15,21,,26,56,.464,5,15,.333,18,24,.750,6,22,20,7,3,13,18
4,4,2015-11-25,@,Penn,L,64,80,23,63,.365,8,21,.381,10,10,1.000,9,32,9,9,4,11,19,,32,65,.492,8,21,.381,8,16,.500,14,43,18,3,4,11,11
5,5,2015-11-28,@,Rowan,W,81,51,31,63,.492,10,21,.476,9,12,.750,8,43,11,17,6,21,21,,19,63,.302,4,22,.182,9,20,.450,11,33,15,9,0,21,14
6,6,2015-12-02,,Hofstra,L,80,84,32,63,.508,8,26,.308,8,16,.500,11,27,13,8,2,14,19,,27,52,.519,9,21,.429,21,26,.808,9,31,17,6,3,18,20
7,7,2015-12-05,,Drexel,L,53,66,17,46,.370,4,16,.250,15,27,.556,8,30,9,9,6,16,21,,21,54,.389,3,11,.273,21,24,.875,10,36,11,6,2,13,20
8,8,2015-12-13,@,Villanova,L,47,76,17,52,.327,7,19,.368,6,13,.462,8,20,9,11,3,11,9,,28,51,.549,13,28,.464,7,7,1.000,6,31,24,7,6,12,12
9,9,2015-12-22,,Miami (FL),L,49,95,17,57,.298,6,24,.250,9,19,.474,2,21,11,2,2,7,20,,34,64,.531,8,20,.400,19,24,.792,12,50,17,3,3,8,18
10,10,2015-12-31,@,Florida Gulf Coast,L,77,86,27,58,.466,10,28,.357,13,14,.929,3,22,12,6,2,16,18,,29,62,.468,8,19,.421,20,24,.833,10,35,16,8,4,13,16
11,11,2016-01-03,,UMass,L,67,74,24,60,.400,7,25,.280,12,21,.571,5,27,16,7,5,10,15,,26,62,.419,6,14,.429,16,21,.762,10,41,12,3,6,14,19
12,12,2016-01-06,@,Fordham,L,61,66,21,58,.362,9,28,.321,10,15,.667,13,36,12,8,3,17,23,,17,52,.327,6,21,.286,26,34,.765,13,41,14,9,5,17,18
13,13,2016-01-09,,Dayton,W,61,57,20,46,.435,5,15,.333,16,21,.762,8,28,12,4,4,8,19,,17,55,.309,7,25,.280,16,24,.667,11,27,10,4,6,13,21
14,14,2016-01-13,@,Richmond,L,61,83,20,54,.370,13,33,.394,8,10,.800,6,26,11,7,1,13,18,,30,53,.566,11,24,.458,12,22,.545,6,34,23,8,5,9,10
15,15,2016-01-16,@,Rhode Island,L,62,73,21,52,.404,9,25,.360,11,15,.733,5,14,8,4,0,6,19,,25,44,.568,5,15,.333,18,21,.857,9,32,13,1,8,12,13
16,16,2016-01-20,,Temple,L,49,62,18,53,.340,6,27,.222,7,9,.778,9,28,10,4,3,12,12,,26,52,.500,3,10,.300,7,10,.700,6,28,16,6,4,6,14
17,17,2016-01-24,,St. Joseph's,L,48,69,17,46,.370,7,26,.269,7,10,.700,6,25,8,5,0,18,12,,29,60,.483,3,19,.158,8,14,.571,9,29,13,10,2,9,12
