,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,George Washington,L,76,85,20,60,.333,7,25,.280,29,33,.879,9,29,9,6,2,9,31,,27,62,.435,2,17,.118,29,40,.725,18,48,13,7,7,10,26
2,2,2015-11-15,,St. Peter's,W (1 OT),87,86,29,64,.453,11,22,.500,18,20,.900,6,31,16,7,6,9,25,,30,71,.423,6,19,.316,20,29,.690,18,45,11,0,13,15,21
3,3,2015-11-21,@,NJIT,L,66,80,23,59,.390,3,14,.214,17,25,.680,9,24,17,6,2,10,20,,27,53,.509,7,21,.333,19,22,.864,7,33,21,3,4,15,21
4,4,2015-11-23,@,La Salle,L,75,83,26,56,.464,5,15,.333,18,24,.750,6,22,20,7,3,13,18,,30,63,.476,9,26,.346,14,18,.778,14,39,19,8,3,15,21
5,5,2015-11-25,@,Princeton,L,52,104,20,58,.345,6,16,.375,6,15,.400,2,25,7,3,1,14,15,,38,69,.551,17,35,.486,11,13,.846,8,49,25,9,4,10,16
6,6,2015-11-29,,Penn,W,92,86,36,69,.522,7,25,.280,13,17,.765,9,35,13,5,3,7,19,,31,66,.470,7,26,.269,17,27,.630,14,37,10,2,3,10,17
7,7,2015-12-02,,St. Francis (NY),L,62,69,24,53,.453,2,13,.154,12,18,.667,7,26,15,6,1,13,17,,25,54,.463,8,19,.421,11,20,.550,8,31,9,8,4,13,18
8,8,2015-12-05,@,Cornell,L,67,85,25,61,.410,6,28,.214,11,15,.733,7,30,16,6,1,20,19,,34,65,.523,5,20,.250,12,19,.632,7,35,15,15,2,14,16
9,9,2015-12-09,,Fairleigh Dickinson,L (1 OT),89,91,26,62,.419,11,31,.355,26,34,.765,8,39,15,6,5,23,27,,33,81,.407,6,16,.375,19,28,.679,16,43,16,11,4,13,27
10,10,2015-12-12,@,Sacred Heart,W,90,86,27,45,.600,16,24,.667,20,28,.714,2,26,15,5,2,19,23,,32,70,.457,6,26,.231,16,27,.593,14,36,15,9,1,11,23
11,11,2015-12-23,@,USC,L,64,100,26,72,.361,9,28,.321,3,4,.750,15,30,14,4,2,10,8,,41,75,.547,13,21,.619,5,6,.833,12,41,27,8,3,7,10
12,12,2015-12-30,@,Colgate,L,70,77,27,63,.429,7,26,.269,9,13,.692,16,40,8,5,2,18,27,,24,52,.462,5,20,.250,24,32,.750,6,26,9,7,2,6,18
13,13,2016-01-02,,Loyola (MD),L,78,81,25,65,.385,11,22,.500,17,19,.895,10,31,13,3,7,7,19,,27,58,.466,7,15,.467,20,26,.769,7,35,11,3,5,6,19
14,14,2016-01-06,@,Army,W,76,73,32,67,.478,5,13,.385,7,11,.636,9,38,18,8,1,14,15,,26,63,.413,12,37,.324,9,13,.692,5,30,14,5,3,16,14
15,15,2016-01-09,@,Boston University,L,47,68,16,56,.286,7,23,.304,8,15,.533,5,30,12,8,1,15,9,,27,64,.422,6,22,.273,8,12,.667,12,52,17,11,3,16,17
16,16,2016-01-13,,Holy Cross,W,65,52,22,48,.458,10,25,.400,11,14,.786,0,30,17,8,2,14,13,,18,56,.321,5,27,.185,11,12,.917,6,30,11,8,3,14,12
17,17,2016-01-16,@,Navy,L,61,87,23,55,.418,9,27,.333,6,13,.462,10,25,15,6,1,11,14,,37,66,.561,9,17,.529,4,9,.444,16,36,26,6,5,8,18
18,18,2016-01-20,,American,L,73,81,25,42,.595,8,15,.533,15,18,.833,5,21,7,3,0,15,16,,27,50,.540,9,22,.409,18,19,.947,7,20,11,5,2,9,18
19,19,2016-01-25,@,Bucknell,L,67,79,24,54,.444,8,16,.500,11,25,.440,4,24,15,8,4,13,27,,22,61,.361,8,21,.381,27,34,.794,12,40,13,7,2,15,23
20,20,2016-01-30,@,Loyola (MD),L,77,84,28,63,.444,8,22,.364,13,17,.765,8,32,17,2,3,8,22,,28,58,.483,6,12,.500,22,26,.846,8,27,13,5,3,3,18
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-02-03,,Army,L (1 OT),81,84,29,63,.460,7,24,.292,16,25,.640,8,35,11,5,1,13,23,,32,73,.438,8,28,.286,12,15,.800,11,42,12,4,4,11,24
22,22,2016-02-06,,Boston University,L (1 OT),82,89,31,69,.449,11,31,.355,9,12,.750,9,31,18,4,0,10,19,,30,66,.455,7,21,.333,22,24,.917,12,38,8,4,4,9,19
