Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Austin College,W,101,58,32,78,.410,7,32,.219,30,40,.750,23,65,21,12,9,15,30,,16,65,.246,3,18,.167,23,38,.605,7,29,10,6,7,17,29
2,2,2015-11-16,@,Fresno State,L,72,80,24,54,.444,8,21,.381,16,27,.593,7,37,12,2,6,16,32,,25,70,.357,2,11,.182,28,41,.683,18,44,15,6,4,7,22
3,3,2015-11-21,@,Delaware State,W,77,66,23,51,.451,8,19,.421,23,30,.767,12,38,16,10,7,20,23,,23,62,.371,6,21,.286,14,23,.609,16,34,17,6,3,19,22
4,4,2015-11-25,@,Rice,L,84,92,27,65,.415,9,25,.360,21,29,.724,17,34,13,6,4,12,28,,29,56,.518,6,19,.316,28,34,.824,10,29,14,5,3,11,20
5,5,2015-11-29,,UC-Riverside,L,69,74,22,60,.367,3,19,.158,22,28,.786,16,37,14,8,2,18,21,,27,60,.450,9,23,.391,11,16,.688,12,33,13,6,1,17,21
6,6,2015-12-02,,Texas-Rio Grande Valley,W,83,60,24,54,.444,6,17,.353,29,43,.674,12,38,13,9,5,9,25,,20,51,.392,3,12,.250,17,26,.654,5,29,11,5,1,15,29
7,7,2015-12-05,,Idaho State,W,82,70,25,52,.481,6,18,.333,26,39,.667,9,30,15,6,3,11,22,,22,53,.415,4,19,.211,22,31,.710,11,34,10,6,2,15,30
8,8,2015-12-12,@,Liberty,W,73,58,29,58,.500,5,13,.385,10,14,.714,13,31,18,5,0,8,16,,19,41,.463,8,23,.348,12,13,.923,3,18,13,1,0,15,15
9,9,2015-12-13,@,Virginia Tech,L,53,88,18,54,.333,7,20,.350,10,15,.667,6,31,12,3,5,19,27,,33,68,.485,9,24,.375,13,23,.565,15,43,18,5,4,13,17
10,10,2015-12-18,,Jarvis Christian,W,80,56,29,65,.446,7,28,.250,15,23,.652,15,44,21,12,4,15,16,,22,61,.361,8,31,.258,4,7,.571,5,25,16,12,0,15,19
11,11,2015-12-21,,Texas Lutheran,W,86,69,30,68,.441,5,19,.263,21,29,.724,14,38,15,11,3,12,26,,22,51,.431,4,19,.211,21,34,.618,11,31,12,3,4,16,25
12,12,2015-12-29,,Howard Payne,W,97,74,33,69,.478,10,23,.435,21,32,.656,9,32,17,14,10,7,17,,25,62,.403,9,27,.333,15,20,.750,11,37,16,4,4,20,21
13,13,2016-01-02,@,Nicholls State,W,79,67,28,67,.418,7,17,.412,16,21,.762,13,42,11,8,4,13,31,,15,47,.319,6,18,.333,31,45,.689,5,28,12,4,8,14,18
14,14,2016-01-04,,New Orleans,L,64,68,23,63,.365,10,28,.357,8,11,.727,21,50,15,7,9,27,22,,23,68,.338,6,16,.375,16,25,.640,15,35,10,16,2,16,18
15,15,2016-01-09,@,Central Arkansas,L,76,93,23,77,.299,8,26,.308,22,29,.759,21,52,12,7,6,18,23,,31,69,.449,6,17,.353,25,33,.758,11,43,18,11,6,11,23
16,16,2016-01-11,,Texas A&M-Corpus Christi,L,82,91,29,61,.475,7,20,.350,17,25,.680,14,36,17,6,3,18,24,,30,62,.484,10,20,.500,21,24,.875,11,31,19,10,4,13,21
17,17,2016-01-16,,Northwestern State,W,86,82,29,56,.518,6,18,.333,22,33,.667,9,40,21,6,4,18,27,,25,63,.397,7,27,.259,25,36,.694,14,35,14,9,0,13,27
18,18,2016-01-18,@,Southeastern Louisiana,L,70,98,26,72,.361,9,34,.265,9,20,.450,16,38,13,2,2,13,23,,35,60,.583,13,22,.591,15,20,.750,5,36,25,6,8,11,16
19,19,2016-01-23,,Houston Baptist,L,79,92,23,58,.397,11,20,.550,22,34,.647,8,30,14,7,4,11,21,,35,70,.500,6,16,.375,16,24,.667,18,46,14,6,7,14,24
20,20,2016-01-25,@,Stephen F. Austin,L,52,86,20,54,.370,2,16,.125,10,20,.500,8,26,8,7,1,22,19,,36,58,.621,5,16,.313,9,16,.563,5,35,26,8,4,14,23
21,21,2016-01-30,@,Abilene Christian,L,71,80,24,48,.500,2,8,.250,21,34,.618,4,33,3,5,2,17,25,,28,54,.519,9,22,.409,15,29,.517,5,30,18,11,1,10,26
22,22,2016-02-01,,Sam Houston State,L,66,69,24,57,.421,4,23,.174,14,21,.667,10,32,13,11,4,15,20,,26,60,.433,4,21,.190,13,17,.765,10,34,13,7,3,18,21
23,23,2016-02-06,,Incarnate Word,L,71,74,26,70,.371,8,28,.286,11,15,.733,16,39,16,7,3,9,22,,22,48,.458,6,19,.316,24,28,.857,4,33,14,5,2,12,18
24,24,2016-02-08,,Abilene Christian,L,67,71,18,45,.400,1,9,.111,30,42,.714,10,27,10,7,1,12,22,,22,47,.468,6,17,.353,21,26,.808,8,31,15,7,2,17,30
25,25,2016-02-15,@,Houston Baptist,L,78,79,32,70,.457,7,19,.368,7,16,.438,13,33,16,8,1,10,21,,27,50,.540,8,20,.400,17,23,.739,4,27,17,5,3,17,14
26,26,2016-02-20,@,McNeese State,W,87,76,34,66,.515,10,19,.526,9,15,.600,10,28,19,9,1,6,18,,25,56,.446,6,19,.316,20,25,.800,14,37,10,5,4,14,17
27,27,2016-02-22,,Stephen F. Austin,L,58,79,20,55,.364,5,21,.238,13,22,.591,11,29,9,6,2,17,25,,22,59,.373,10,27,.370,25,32,.781,16,40,16,10,3,15,23
28,28,2016-02-27,@,Incarnate Word,L,70,89,24,61,.393,5,17,.294,17,24,.708,7,26,8,6,4,7,16,,30,55,.545,14,24,.583,15,16,.938,4,31,22,4,6,14,15
29,29,2016-02-29,,McNeese State,L,74,77,25,57,.439,4,18,.222,20,34,.588,11,34,12,8,4,13,27,,27,52,.519,3,12,.250,20,37,.541,8,34,14,6,5,12,22
30,30,2016-03-03,@,Sam Houston State,L,76,94,27,54,.500,10,22,.455,12,16,.750,3,26,21,10,3,22,30,,31,58,.534,8,21,.381,24,37,.649,10,36,26,6,0,12,16
