,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Covenant,W,64,62,24,59,.407,6,18,.333,10,17,.588,12,39,11,7,3,16,22,,22,50,.440,9,26,.346,9,13,.692,4,31,12,7,2,15,17
2,2,2015-11-14,,Summit,W,90,52,33,56,.589,14,28,.500,10,18,.556,6,28,22,13,1,13,20,,20,42,.476,6,17,.353,6,15,.400,3,21,8,5,0,22,16
3,3,2015-11-17,,William & Mary,L,59,70,23,53,.434,6,28,.214,7,12,.583,3,20,8,6,1,5,22,,25,45,.556,2,9,.222,18,28,.643,7,38,15,3,1,11,16
4,4,2015-11-21,,Central Pennsylvania College,W,86,50,30,61,.492,7,19,.368,19,25,.760,10,48,22,9,3,16,16,,17,61,.279,4,21,.190,12,18,.667,6,29,10,9,2,14,20
5,5,2015-11-26,N,Appalachian State,L,62,73,21,52,.404,8,20,.400,12,17,.706,4,20,12,2,2,13,32,,18,40,.450,8,17,.471,29,36,.806,8,32,9,3,6,17,22
6,6,2015-11-27,N,Western Michigan,L,58,68,18,43,.419,12,31,.387,10,12,.833,4,17,14,5,5,14,20,,26,51,.510,4,12,.333,12,16,.750,11,32,14,5,1,15,17
7,7,2015-11-29,N,Tulane,L,51,72,16,41,.390,8,19,.421,11,15,.733,7,23,14,7,1,19,14,,26,53,.491,8,18,.444,12,16,.750,10,28,20,13,1,11,18
8,8,2015-12-03,@,Radford,L,52,56,20,50,.400,4,23,.174,8,11,.727,10,31,7,5,2,14,17,,20,61,.328,4,21,.190,12,15,.800,16,36,11,8,2,9,13
9,9,2015-12-05,,Charleston Southern,L,61,68,25,57,.439,5,22,.227,6,10,.600,7,34,11,6,1,14,18,,22,47,.468,12,28,.429,12,23,.522,2,29,13,6,1,13,15
10,10,2015-12-08,@,Furman,L,56,79,19,41,.463,7,19,.368,11,19,.579,6,25,10,3,3,20,23,,27,45,.600,8,19,.421,17,25,.680,5,23,16,10,0,10,19
11,11,2015-12-12,,Lamar,L,58,73,19,41,.463,8,23,.348,12,13,.923,3,18,13,1,0,15,15,,29,58,.500,5,13,.385,10,14,.714,13,31,18,5,0,8,16
12,12,2015-12-17,@,Princeton,L,72,77,28,52,.538,8,20,.400,8,13,.615,2,24,14,4,0,14,29,,23,46,.500,3,16,.188,28,39,.718,5,26,10,6,1,8,17
13,13,2015-12-20,@,St. Francis (NY),L,55,64,21,48,.438,5,16,.313,8,12,.667,4,27,9,3,1,10,23,,18,52,.346,12,30,.400,16,23,.696,11,35,14,6,2,6,17
14,14,2015-12-27,@,VCU,L,57,85,23,48,.479,7,18,.389,4,11,.364,3,20,15,4,2,14,15,,32,60,.533,10,19,.526,11,15,.733,12,36,20,5,6,11,17
15,15,2015-12-29,@,Notre Dame,L,56,73,22,58,.379,4,20,.200,8,10,.800,11,27,13,5,0,12,23,,25,48,.521,9,20,.450,14,24,.583,9,31,14,7,4,13,13
