,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-08,,Belmont,L,83,87,31,59,.525,12,32,.375,9,19,.474,11,39,20,6,0,24,35,,24,49,.490,6,22,.273,33,52,.635,3,26,10,10,2,10,20
2,2,2013-11-11,,Oakland City,W,88,78,30,65,.462,9,28,.321,19,26,.731,19,47,19,5,3,13,19,,28,62,.452,9,22,.409,13,16,.813,6,27,15,6,6,10,17
3,3,2013-11-15,@,Vanderbilt,L,69,80,24,60,.400,10,28,.357,11,19,.579,6,26,13,2,0,7,29,,25,47,.532,8,18,.444,22,37,.595,7,39,14,1,3,11,19
4,4,2013-11-18,@,Tennessee State,W,75,70,18,40,.450,2,10,.200,37,50,.740,5,38,6,5,5,21,25,,22,65,.338,6,23,.261,20,28,.714,12,32,8,10,1,16,33
5,5,2013-11-20,@,Belmont,L,64,94,21,62,.339,6,20,.300,16,25,.640,11,28,12,7,1,12,19,,35,62,.565,10,27,.370,14,19,.737,10,43,19,7,7,11,20
6,6,2013-11-25,@,UT-Martin,W,95,84,29,53,.547,9,20,.450,28,36,.778,9,29,21,6,2,9,23,,26,62,.419,11,32,.344,21,28,.750,13,32,18,6,1,10,27
7,7,2013-11-30,@,Georgetown,L,49,70,16,59,.271,5,28,.179,12,23,.522,12,35,6,8,0,8,18,,26,59,.441,7,27,.259,11,17,.647,12,46,22,4,4,10,19
8,8,2013-12-05,,Tennessee Tech,W,87,79,25,55,.455,8,19,.421,29,39,.744,6,32,20,6,4,13,20,,24,61,.393,8,29,.276,23,31,.742,15,38,9,7,5,15,27
9,9,2013-12-07,@,Murray State,L,69,73,21,51,.412,6,25,.240,21,30,.700,6,32,10,6,3,12,26,,23,55,.418,5,22,.227,22,37,.595,13,37,14,5,4,12,23
10,10,2013-12-14,@,Georgia,L,75,84,22,51,.431,12,29,.414,19,28,.679,7,26,14,10,1,15,20,,31,54,.574,9,18,.500,13,22,.591,7,32,23,5,6,16,20
11,11,2013-12-19,@,Austin Peay,W,88,83,25,52,.481,13,28,.464,25,33,.758,6,27,17,10,0,16,26,,28,54,.519,7,19,.368,20,26,.769,8,32,14,5,4,22,23
12,12,2013-12-30,@,Stetson,L,63,65,20,56,.357,8,29,.276,15,25,.600,12,29,14,10,1,10,24,,17,34,.500,7,15,.467,24,30,.800,3,31,11,5,3,16,18
13,13,2014-01-01,@,Florida Gulf Coast,L,62,75,20,52,.385,9,25,.360,13,23,.565,8,27,11,5,1,10,24,,26,53,.491,4,19,.211,19,28,.679,11,39,6,6,4,11,18
14,14,2014-01-04,,North Florida,L,73,78,25,64,.391,7,25,.280,16,27,.593,10,29,10,15,3,11,23,,24,49,.490,9,22,.409,21,30,.700,7,38,11,7,6,26,24
15,15,2014-01-06,,Jacksonville,L,85,88,28,65,.431,13,34,.382,16,20,.800,7,27,16,7,0,11,21,,28,55,.509,4,16,.250,28,35,.800,9,35,11,8,5,14,19
16,16,2014-01-09,@,ETSU,W,82,80,29,50,.580,11,22,.500,13,16,.813,4,27,17,4,5,14,19,,27,69,.391,10,31,.323,16,20,.800,14,33,13,9,2,9,16
