Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Santa Clara,W (2 OT),65,63,19,62,.306,8,32,.250,19,29,.655,11,42,15,8,3,19,19,,20,64,.313,9,32,.281,14,19,.737,12,47,16,6,4,21,29
2,2,2015-11-14,N,Milwaukee,L,65,71,25,63,.397,10,30,.333,5,8,.625,9,37,20,8,0,12,14,,27,68,.397,9,33,.273,8,11,.727,15,44,18,7,5,18,10
3,3,2015-11-15,N,Denver,L,69,82,22,51,.431,10,23,.435,15,19,.789,8,33,17,3,5,11,11,,28,63,.444,16,37,.432,10,11,.909,8,28,26,6,4,5,18
4,4,2015-11-17,,Oakland City,W,96,69,33,61,.541,14,28,.500,16,26,.615,11,38,24,3,7,9,19,,23,60,.383,8,18,.444,15,18,.833,7,26,10,2,4,11,23
5,5,2015-11-20,@,Miami (OH),L,68,70,25,60,.417,16,37,.432,2,4,.500,8,32,19,5,3,20,22,,22,57,.386,8,17,.471,18,25,.720,9,30,15,11,1,12,13
6,6,2015-11-21,N,Northeastern,L,67,79,23,58,.397,7,16,.438,14,25,.560,8,28,15,6,1,12,19,,30,56,.536,9,27,.333,10,20,.500,9,38,15,6,8,14,24
7,7,2015-11-22,N,Florida Atlantic,W,79,65,26,51,.510,8,19,.421,19,27,.704,3,39,14,5,1,14,14,,24,66,.364,7,28,.250,10,14,.714,7,32,10,6,2,9,20
8,8,2015-11-27,@,South Carolina,L,76,92,27,68,.397,13,35,.371,9,14,.643,7,25,18,8,3,18,24,,34,66,.515,5,19,.263,19,27,.704,10,39,24,12,7,17,19
9,9,2015-12-01,@,Belmont,L,89,105,29,60,.483,10,29,.345,21,30,.700,8,24,14,6,2,8,20,,35,59,.593,16,31,.516,19,24,.792,8,34,23,2,4,13,22
10,10,2015-12-05,,Tennessee Tech,L,78,81,28,63,.444,11,37,.297,11,16,.688,6,37,21,8,5,16,17,,27,71,.380,12,31,.387,15,18,.833,10,40,15,6,5,14,18
11,11,2015-12-07,,Belmont,L,84,93,28,68,.412,14,38,.368,14,18,.778,13,27,16,8,1,9,22,,32,56,.571,8,24,.333,21,24,.875,7,37,18,6,2,12,16
12,12,2015-12-10,,Cumberland,W,83,53,30,60,.500,15,31,.484,8,11,.727,6,33,18,4,4,15,19,,19,55,.345,3,12,.250,12,22,.545,10,31,4,10,3,15,20
13,13,2015-12-12,,Princeton,L,64,78,22,63,.349,6,22,.273,14,19,.737,6,28,10,11,7,9,13,,27,66,.409,11,33,.333,13,16,.813,15,52,17,6,4,19,18
14,14,2015-12-17,@,Tennessee State,L,86,89,26,48,.542,10,18,.556,24,35,.686,5,27,17,7,2,16,27,,28,58,.483,6,19,.316,27,40,.675,16,36,8,6,7,15,23
15,15,2015-12-20,,Austin Peay,L,84,92,28,63,.444,12,32,.375,16,23,.696,8,27,16,7,4,9,18,,36,61,.590,8,22,.364,12,19,.632,7,36,21,6,1,16,18
16,16,2015-12-29,,Chattanooga,L,56,80,19,58,.328,7,30,.233,11,17,.647,11,34,10,3,3,14,19,,27,60,.450,8,20,.400,18,24,.750,8,36,14,8,3,8,18
17,17,2016-01-02,@,Akron,L,73,80,27,68,.397,11,34,.324,8,11,.727,9,42,23,0,1,13,21,,26,66,.394,13,32,.406,15,24,.625,7,35,19,6,4,3,16
18,18,2016-01-09,@,Kennesaw State,L,86,102,28,77,.364,8,35,.229,22,31,.710,22,37,14,9,3,14,21,,36,63,.571,10,15,.667,20,29,.690,12,38,20,10,5,16,27
19,19,2016-01-14,@,North Florida,L,83,95,30,65,.462,12,26,.462,11,15,.733,7,33,18,6,3,10,23,,29,59,.492,13,33,.394,24,29,.828,4,29,17,4,9,9,15
20,20,2016-01-16,@,Jacksonville,L,73,76,27,60,.450,11,28,.393,8,15,.533,5,28,22,5,2,11,17,,26,64,.406,10,27,.370,14,20,.700,13,40,19,7,3,12,18
21,21,2016-01-21,,Stetson,W,92,87,31,61,.508,12,27,.444,18,21,.857,4,42,21,6,7,19,19,,30,69,.435,11,30,.367,16,27,.593,6,30,16,11,4,10,18
22,22,2016-01-24,,Florida Gulf Coast,W,91,75,32,58,.552,19,33,.576,8,9,.889,5,28,23,7,2,12,19,,24,57,.421,4,17,.235,23,27,.852,11,30,7,6,6,12,16
23,23,2016-01-27,@,NJIT,W,81,72,26,57,.456,15,35,.429,14,17,.824,4,30,20,8,1,16,17,,24,63,.381,9,34,.265,15,19,.789,12,36,17,6,3,15,21
24,24,2016-01-30,,South Carolina Upstate,L (1 OT),91,92,25,64,.391,4,17,.235,37,44,.841,12,34,12,14,3,15,21,,31,70,.443,8,19,.421,22,30,.733,17,48,17,3,3,23,31
25,25,2016-02-01,,NJIT,L,78,90,29,56,.518,7,23,.304,13,19,.684,11,38,18,6,2,23,16,,30,63,.476,16,29,.552,14,20,.700,7,25,22,13,0,10,19
26,26,2016-02-06,@,South Carolina Upstate,W,78,65,29,59,.492,7,19,.368,13,28,.464,10,40,18,10,1,13,24,,22,56,.393,5,22,.227,16,25,.640,9,35,8,4,3,19,21
27,27,2016-02-11,,Jacksonville,W,93,92,31,62,.500,14,43,.326,17,24,.708,12,39,21,3,2,14,12,,36,69,.522,10,22,.455,10,12,.833,7,26,16,6,0,8,18
28,28,2016-02-13,,North Florida,W,94,87,31,66,.470,8,22,.364,24,34,.706,12,43,16,6,3,11,18,,31,72,.431,13,37,.351,12,17,.706,12,36,17,5,5,13,25
29,29,2016-02-18,@,Florida Gulf Coast,L,67,82,25,60,.417,7,30,.233,10,15,.667,7,26,14,5,1,12,26,,25,50,.500,1,11,.091,31,39,.795,8,34,18,8,3,10,20
30,30,2016-02-20,@,Stetson,W,77,74,30,58,.517,5,17,.294,12,17,.706,8,33,16,8,4,13,15,,27,60,.450,10,21,.476,10,15,.667,8,30,15,3,3,13,16
31,31,2016-02-25,,Kennesaw State,L,57,73,20,63,.317,4,32,.125,13,15,.867,14,35,9,5,6,20,22,,24,59,.407,4,15,.267,21,24,.875,10,32,13,11,3,12,17
32,32,2016-03-01,@,Jacksonville,W (1 OT),92,89,32,62,.516,7,19,.368,21,29,.724,5,34,8,5,3,17,22,,27,64,.422,12,30,.400,23,29,.793,10,35,13,9,3,12,27
33,33,2016-03-03,,Stetson,L,75,96,25,64,.391,9,24,.375,16,30,.533,8,31,12,5,3,10,18,,35,67,.522,13,28,.464,13,17,.765,10,44,19,4,4,11,19
