Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,,Brigham Young-Hawaii,W,91,57,31,65,.477,6,17,.353,23,28,.821,10,45,20,7,5,12,18,,19,68,.279,7,31,.226,12,19,.632,13,33,11,7,4,19,22
2,2,2015-11-16,,BYU,W,66,65,22,71,.310,7,23,.304,15,23,.652,10,31,14,11,2,9,23,,26,59,.441,5,20,.250,8,21,.381,12,45,11,5,6,24,25
3,3,2015-11-19,N,Seton Hall,W,80,77,31,56,.554,8,18,.444,10,18,.556,9,31,17,6,2,15,21,,27,62,.435,6,18,.333,17,23,.739,12,31,13,8,6,10,17
4,4,2015-11-20,N,Virginia,L,52,87,15,48,.313,7,21,.333,15,20,.750,6,23,9,4,2,9,15,,34,61,.557,13,25,.520,6,8,.750,8,35,23,4,3,7,18
5,5,2015-11-22,N,Oklahoma State,L,77,82,29,66,.439,7,24,.292,12,19,.632,12,27,18,9,2,11,22,,27,49,.551,7,16,.438,21,24,.875,6,33,13,6,9,15,17
6,6,2015-11-27,@,Oklahoma State,L,73,79,26,63,.413,10,22,.455,11,22,.500,9,32,21,7,1,8,18,,29,55,.527,8,19,.421,13,18,.722,6,38,20,3,6,12,19
7,7,2015-12-01,,San Diego State,L,72,76,21,52,.404,9,20,.450,21,28,.750,14,30,11,9,0,15,24,,22,45,.489,10,26,.385,22,27,.815,8,30,12,5,5,16,26
8,8,2015-12-03,@,Colorado State,W,83,77,31,68,.456,11,24,.458,10,16,.625,8,33,18,10,3,7,27,,21,53,.396,12,32,.375,23,39,.590,10,40,13,1,3,14,17
9,9,2015-12-05,,New Mexico State,W,67,53,25,58,.431,14,25,.560,3,9,.333,9,33,16,7,0,12,18,,18,54,.333,4,15,.267,13,20,.650,14,39,11,4,2,17,9
10,10,2015-12-06,@,UCLA,L,76,83,26,58,.448,11,30,.367,13,16,.813,9,31,16,5,1,13,14,,33,67,.493,7,20,.350,10,13,.769,11,36,22,7,1,10,15
11,11,2015-12-09,@,Pepperdine,L,75,77,30,61,.492,6,20,.300,9,13,.692,13,31,20,7,2,13,16,,31,60,.517,9,20,.450,6,15,.400,13,31,18,7,5,14,21
12,12,2015-12-12,,Tampa,W,87,60,34,69,.493,11,30,.367,8,17,.471,12,42,16,10,2,8,20,,21,51,.412,11,27,.407,7,25,.280,6,29,11,5,1,13,16
