,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-16,@,Loyola (MD),W,71,68,26,64,.406,7,22,.318,12,16,.750,17,39,14,7,6,13,22,,25,55,.455,3,14,.214,15,23,.652,11,32,13,5,2,14,18
2,2,2015-11-19,,Maine,W,84,79,29,63,.460,3,20,.150,23,33,.697,14,40,13,10,4,21,22,,31,67,.463,7,17,.412,10,20,.500,13,38,13,9,4,24,27
3,3,2015-11-22,,North Carolina Central,W,78,77,21,54,.389,4,14,.286,32,43,.744,9,27,10,5,7,7,22,,27,54,.500,5,9,.556,18,27,.667,9,33,15,5,3,13,32
4,4,2015-11-25,@,Florida International,L,72,80,26,70,.371,3,23,.130,17,22,.773,16,39,13,8,1,11,27,,22,49,.449,8,19,.421,28,37,.757,7,30,14,7,7,15,19
5,5,2015-11-29,@,Dartmouth,L,56,79,22,55,.400,8,23,.348,4,6,.667,13,34,10,3,5,18,24,,25,55,.455,8,12,.667,21,30,.700,14,36,18,9,2,10,16
6,6,2015-12-03,,UMass-Lowell,W,84,72,29,62,.468,12,26,.462,14,24,.583,11,39,19,9,2,14,23,,25,61,.410,5,21,.238,17,22,.773,10,34,13,5,0,13,24
7,7,2015-12-08,@,Fordham,L (1 OT),84,89,30,58,.517,8,20,.400,16,19,.842,5,33,18,8,2,20,27,,30,66,.455,7,18,.389,22,33,.667,10,34,16,10,5,13,20
8,8,2015-12-12,@,Niagara,W (1 OT),80,79,27,70,.386,9,24,.375,17,21,.810,13,32,15,9,0,12,17,,30,56,.536,6,18,.333,13,19,.684,10,39,17,4,7,18,21
9,9,2015-12-18,,Sam Houston State,L,69,75,23,55,.418,6,20,.300,17,29,.586,8,33,11,7,3,17,26,,21,58,.362,5,20,.250,28,38,.737,12,40,9,5,2,13,27
10,10,2015-12-22,,Incarnate Word,W,66,59,21,55,.382,5,17,.294,19,33,.576,4,34,10,12,4,16,22,,23,55,.418,7,21,.333,6,15,.400,4,35,14,8,3,21,27
11,11,2015-12-29,@,UMass,L,79,83,28,69,.406,6,25,.240,17,24,.708,13,36,14,8,4,13,21,,29,65,.446,4,13,.308,21,27,.778,8,38,17,2,3,15,21
12,12,2016-01-02,@,Mount St. Mary's,L,63,79,20,51,.392,3,12,.250,20,26,.769,11,32,8,9,4,20,16,,30,65,.462,9,21,.429,10,13,.769,9,29,16,8,4,12,22
13,13,2016-01-04,@,Central Connecticut,W,76,67,26,55,.473,4,12,.333,20,26,.769,10,31,12,9,3,13,19,,24,56,.429,7,14,.500,12,18,.667,11,29,15,5,2,15,21
14,14,2016-01-07,,Robert Morris,L,60,70,22,61,.361,4,22,.182,12,18,.667,10,38,15,9,0,14,20,,24,56,.429,9,22,.409,13,24,.542,10,40,13,7,4,15,17
15,15,2016-01-09,,Saint Francis (PA),L,65,72,24,60,.400,6,22,.273,11,13,.846,10,29,12,10,4,12,23,,25,53,.472,6,15,.400,16,22,.727,13,36,13,3,1,13,15
16,16,2016-01-14,@,Wagner,W,71,70,22,55,.400,4,16,.250,23,30,.767,7,23,11,6,2,9,24,,25,56,.446,7,19,.368,13,24,.542,13,36,14,7,4,13,27
17,17,2016-01-16,@,Bryant,W,79,61,26,53,.491,10,25,.400,17,20,.850,8,33,17,10,4,15,13,,24,65,.369,7,21,.333,6,7,.857,14,32,17,8,3,17,17
18,18,2016-01-21,@,Fairleigh Dickinson,L,95,101,32,62,.516,11,23,.478,20,24,.833,12,30,18,5,0,19,22,,34,58,.586,8,19,.421,25,32,.781,9,28,14,13,3,14,20
19,19,2016-01-23,,St. Francis (NY),L,49,64,15,69,.217,6,31,.194,13,17,.765,17,38,7,10,0,14,20,,21,51,.412,2,20,.100,20,26,.769,8,43,10,4,5,18,16
20,20,2016-01-27,,Sacred Heart,W,92,84,34,68,.500,5,16,.313,19,27,.704,15,46,15,8,7,11,24,,29,73,.397,10,27,.370,16,25,.640,18,37,14,7,2,14,23
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
