Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Randolph,W,69,49,23,62,.371,11,31,.355,12,16,.750,18,47,15,7,3,13,17,,16,53,.302,3,17,.176,14,18,.778,8,27,8,6,0,11,17
2,2,2015-11-16,,La Roche,W,89,65,31,54,.574,7,16,.438,20,23,.870,9,37,15,4,8,11,21,,23,64,.359,6,18,.333,13,18,.722,13,31,7,4,2,14,21
3,3,2015-11-20,N,South Carolina State,L,77,83,26,55,.473,6,16,.375,19,25,.760,12,33,14,1,1,14,18,,29,59,.492,7,17,.412,18,25,.720,7,26,15,3,4,7,23
4,4,2015-11-21,N,Ball State,L,67,78,24,56,.429,8,21,.381,11,16,.688,5,28,18,8,0,13,25,,24,53,.453,6,21,.286,24,28,.857,6,35,16,10,3,12,14
5,5,2015-11-22,@,Eastern Kentucky,L,97,110,33,66,.500,10,17,.588,21,26,.808,11,28,26,4,2,12,24,,40,60,.667,13,24,.542,17,25,.680,6,28,26,8,6,11,24
6,6,2015-11-25,@,Maine,L,82,92,30,73,.411,4,18,.222,18,23,.783,9,37,12,7,2,13,22,,31,62,.500,16,33,.485,14,23,.609,6,35,23,5,1,18,21
7,7,2015-11-28,@,Columbia,W,70,69,23,50,.460,7,18,.389,17,20,.850,7,27,14,3,5,9,15,,22,50,.440,15,34,.441,10,13,.769,7,25,20,5,4,10,16
8,8,2015-12-02,@,High Point,L,66,90,18,40,.450,7,16,.438,23,35,.657,10,30,10,5,1,19,17,,33,61,.541,11,19,.579,13,19,.684,12,30,24,10,3,9,24
9,9,2015-12-05,,UMBC,L,59,70,23,58,.397,6,19,.316,7,8,.875,6,22,10,6,2,6,20,,25,48,.521,10,21,.476,10,14,.714,3,26,17,1,3,10,15
10,10,2015-12-12,@,Richmond,L,59,77,25,59,.424,4,16,.250,5,12,.417,12,38,9,8,1,19,19,,26,56,.464,7,24,.292,18,25,.720,9,35,18,11,0,15,15
11,11,2015-12-15,@,Oklahoma State,L,55,73,22,49,.449,6,16,.375,5,15,.333,8,27,14,6,3,20,21,,22,52,.423,10,26,.385,19,26,.731,11,32,13,10,4,16,19
12,12,2015-12-19,@,George Mason,L,70,75,29,56,.518,5,13,.385,7,17,.412,7,36,12,3,5,13,25,,23,59,.390,6,21,.286,23,32,.719,10,35,9,7,2,5,17
13,13,2015-12-22,@,Dartmouth,L,54,78,18,45,.400,3,17,.176,15,25,.600,6,24,11,9,3,15,25,,26,51,.510,7,16,.438,19,27,.704,11,34,16,5,2,14,20
14,14,2015-12-28,,Cairn,W,90,52,40,70,.571,5,18,.278,5,10,.500,10,44,20,11,6,15,10,,20,62,.323,9,33,.273,3,6,.500,4,20,10,8,4,19,11
15,15,2015-12-31,,North Carolina-Asheville,L,61,70,26,58,.448,5,19,.263,4,7,.571,8,34,13,15,0,26,21,,23,57,.404,5,23,.217,19,27,.704,10,32,7,16,1,21,16
16,16,2016-01-02,,Gardner-Webb,L,66,67,19,56,.339,6,21,.286,22,28,.786,6,38,9,4,1,19,22,,22,68,.324,4,28,.143,19,28,.679,14,38,5,12,5,13,27
17,17,2016-01-06,@,Presbyterian,L,65,78,23,56,.411,5,24,.208,14,20,.700,10,30,10,8,1,21,28,,24,54,.444,8,25,.320,22,28,.786,11,35,11,9,1,15,21
18,18,2016-01-09,,Coastal Carolina,W,76,61,30,55,.545,7,15,.467,9,10,.900,6,30,16,5,4,13,15,,20,62,.323,4,24,.167,17,22,.773,13,31,8,7,3,9,15
19,19,2016-01-14,@,Campbell,W,74,57,32,58,.552,4,10,.400,6,11,.545,7,41,14,5,3,15,15,,20,61,.328,7,27,.259,10,13,.769,6,26,10,10,2,10,12
20,20,2016-01-19,@,Liberty,L,53,55,17,51,.333,7,20,.350,12,21,.571,11,34,7,11,1,16,19,,18,45,.400,11,28,.393,8,15,.533,6,29,14,7,2,19,19
21,21,2016-01-24,,Winthrop,L,68,82,19,57,.333,9,26,.346,21,25,.840,9,26,9,3,2,9,16,,30,57,.526,10,25,.400,12,16,.750,10,31,15,5,5,13,24
