,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Louisiana College,W,108,68,41,69,.594,4,25,.160,22,32,.688,13,44,12,7,4,12,27,,21,57,.368,1,14,.071,25,33,.758,6,23,4,5,0,18,32
2,2,2015-11-16,@,Miami (FL),L,77,93,29,63,.460,5,20,.250,14,24,.583,14,33,14,7,3,13,22,,31,55,.564,12,23,.522,19,27,.704,9,29,17,6,4,10,20
3,3,2015-11-20,@,Alabama,L,93,105,28,61,.459,11,27,.407,26,40,.650,15,40,9,6,5,15,23,,32,59,.542,15,25,.600,26,35,.743,5,30,19,6,8,11,30
4,4,2015-11-25,,Loyola (LA),W,106,62,36,68,.529,11,26,.423,23,32,.719,11,50,22,7,5,14,18,,23,76,.303,3,21,.143,13,20,.650,12,31,5,7,3,13,27
5,5,2015-12-03,@,Louisiana-Monroe,L,70,81,27,69,.391,2,18,.111,14,20,.700,13,32,10,12,1,12,21,,25,48,.521,9,15,.600,22,26,.846,5,28,13,4,2,16,20
6,6,2015-12-09,,McNeese State,W,97,64,38,74,.514,7,28,.250,14,17,.824,12,44,20,12,5,10,13,,23,71,.324,7,22,.318,11,13,.846,14,36,8,3,5,20,13
7,7,2015-12-12,@,Louisiana Tech,L,79,91,28,69,.406,6,21,.286,17,24,.708,15,39,15,5,3,14,21,,31,61,.508,8,20,.400,21,28,.750,8,31,15,8,6,11,18
8,8,2015-12-15,@,UCLA,L,80,89,29,68,.426,13,33,.394,9,12,.750,13,32,15,8,1,13,20,,31,56,.554,9,17,.529,18,29,.621,11,35,17,7,2,15,18
9,9,2015-12-18,@,Pepperdine,L,59,79,19,62,.306,4,20,.200,17,28,.607,12,36,6,8,4,13,19,,31,63,.492,6,17,.353,11,22,.500,11,41,18,4,5,11,23
10,10,2015-12-21,,New Orleans,W,79,69,26,65,.400,4,18,.222,23,40,.575,21,44,11,9,4,13,19,,23,60,.383,4,14,.286,19,26,.731,11,36,13,8,6,14,27
11,11,2016-01-02,,Appalachian State,W,79,58,28,59,.475,4,16,.250,19,24,.792,9,40,11,7,5,13,22,,20,61,.328,3,17,.176,15,20,.750,9,30,4,8,2,14,24
12,12,2016-01-07,@,Arkansas-Little Rock,L,57,77,19,59,.322,4,24,.167,15,21,.714,10,40,9,1,2,13,17,,28,70,.400,6,19,.316,15,18,.833,12,39,16,4,2,6,18
13,13,2016-01-09,@,Arkansas State,L,69,71,26,66,.394,5,18,.278,12,17,.706,12,39,11,6,2,15,20,,25,62,.403,3,13,.231,18,24,.750,12,35,5,8,6,11,16
14,14,2016-01-14,@,Georgia Southern,W,74,65,29,62,.468,6,21,.286,10,17,.588,12,44,12,5,4,13,21,,23,64,.359,1,14,.071,18,23,.783,6,30,3,7,1,6,18
15,15,2016-01-16,@,Georgia State,W,87,54,29,59,.492,11,27,.407,18,25,.720,14,35,16,6,2,5,14,,20,43,.465,5,14,.357,9,18,.500,4,20,10,4,3,12,21
16,16,2016-01-21,,South Alabama,W,92,82,24,54,.444,10,23,.435,34,47,.723,13,30,15,8,1,17,21,,31,53,.585,8,17,.471,12,22,.545,9,25,11,4,3,21,33
