,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,McMurry,W,88,43,33,53,.623,5,10,.500,17,24,.708,9,40,18,9,5,13,12,,17,57,.298,7,22,.318,2,3,.667,8,21,6,4,0,18,20
2,2,2015-11-15,@,Minnesota,L,56,67,21,62,.339,3,16,.188,11,16,.688,12,39,7,6,2,15,22,,22,58,.379,3,22,.136,20,22,.909,6,36,12,4,4,12,19
3,3,2015-11-19,@,Northwestern State,W,80,64,35,74,.473,2,12,.167,8,11,.727,19,44,17,10,4,12,15,,24,57,.421,7,17,.412,9,10,.900,6,24,13,5,7,15,13
4,4,2015-11-28,@,Houston,L,64,76,25,57,.439,3,16,.188,11,16,.688,9,34,11,4,2,12,17,,28,66,.424,7,26,.269,13,19,.684,16,40,14,5,5,9,16
5,5,2015-11-30,,Chattanooga,W,64,54,22,53,.415,2,14,.143,18,23,.783,6,28,12,7,3,9,16,,18,51,.353,9,29,.310,9,15,.600,11,30,11,5,7,12,18
6,6,2015-12-03,,Louisiana-Lafayette,W,81,70,25,48,.521,9,15,.600,22,26,.846,5,28,13,4,2,16,20,,27,69,.391,2,18,.111,14,20,.700,13,32,10,12,1,12,21
7,7,2015-12-10,@,Kent State,L,62,73,23,59,.390,7,18,.389,9,15,.600,13,31,12,5,5,12,29,,22,54,.407,6,15,.400,23,31,.742,15,35,9,5,4,8,16
8,8,2015-12-12,@,Penn State,L,50,54,20,59,.339,2,13,.154,8,10,.800,10,36,11,3,3,15,20,,18,55,.327,3,20,.150,15,25,.600,11,28,8,6,12,8,11
9,9,2015-12-13,@,West Virginia,L,58,100,22,43,.512,1,8,.125,13,20,.650,3,23,12,2,3,19,17,,38,84,.452,15,36,.417,9,16,.563,25,46,19,14,0,3,18
10,10,2015-12-18,,Central Baptist,W,101,76,34,58,.586,11,20,.550,22,28,.786,14,34,25,11,3,15,12,,28,56,.500,10,23,.435,10,10,1.000,7,18,12,6,0,14,19
11,11,2015-12-22,N,Canisius,L (3 OT),96,108,34,71,.479,7,22,.318,21,33,.636,14,55,17,8,3,24,33,,29,74,.392,15,35,.429,35,48,.729,9,37,13,11,0,13,25
12,12,2015-12-23,N,Hampton,L,64,75,22,58,.379,6,17,.353,14,17,.824,8,30,7,6,0,13,20,,27,59,.458,5,22,.227,16,21,.762,11,37,13,6,1,13,12
