,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,McNeese State,W,81,70,28,61,.459,9,20,.450,16,32,.500,15,44,17,8,3,10,23,,24,62,.387,5,23,.217,17,23,.739,9,37,7,4,2,10,24
2,2,2015-11-16,,Kennesaw State,W,91,69,33,65,.508,6,17,.353,19,23,.826,9,37,21,13,9,8,16,,24,64,.375,7,19,.368,14,18,.778,12,35,10,5,0,16,18
3,3,2015-11-19,,South Alabama,W,78,66,29,57,.509,6,18,.333,14,19,.737,6,34,15,8,3,11,15,,26,65,.400,7,24,.292,7,15,.467,12,34,10,5,3,13,19
4,4,2015-11-23,N,Marquette,L,80,81,27,73,.370,8,27,.296,18,25,.720,14,37,15,10,1,12,21,,30,58,.517,7,19,.368,14,24,.583,9,40,21,7,4,22,25
5,5,2015-11-24,N,North Carolina State,L (1 OT),72,83,28,77,.364,11,33,.333,5,10,.500,12,39,17,9,5,12,23,,27,68,.397,6,17,.353,23,29,.793,15,49,18,6,2,11,11
6,6,2015-11-30,@,College of Charleston,L,58,70,19,61,.311,5,23,.217,15,27,.556,13,40,12,8,7,18,19,,25,64,.391,6,15,.400,14,21,.667,13,43,13,10,3,16,22
7,7,2015-12-02,,North Florida,W,119,108,45,70,.643,3,12,.250,26,36,.722,7,35,27,9,7,7,17,,39,76,.513,19,33,.576,11,13,.846,9,33,18,3,3,11,27
8,8,2015-12-13,@,Houston,L (1 OT),98,105,34,68,.500,9,26,.346,21,28,.750,9,32,18,7,4,13,31,,37,72,.514,5,15,.333,26,39,.667,16,44,13,5,4,11,23
9,9,2015-12-16,,Gardner-Webb,W,78,57,30,64,.469,6,20,.300,12,29,.414,17,51,18,8,3,15,21,,19,57,.333,7,27,.259,12,24,.500,7,32,11,9,4,15,23
