Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Millsaps,W,95,33,37,74,.500,8,26,.308,13,19,.684,12,47,17,14,3,11,12,,13,59,.220,3,18,.167,4,9,.444,7,32,7,7,3,21,21
2,2,2015-11-17,,Texas-Arlington,W,80,68,29,62,.468,6,22,.273,16,24,.667,9,35,11,10,4,18,17,,24,74,.324,8,29,.276,12,18,.667,16,40,14,12,2,15,23
3,3,2015-11-21,@,Grambling,W,86,67,34,66,.515,7,26,.269,11,20,.550,4,32,24,10,5,4,22,,19,46,.413,8,18,.444,21,33,.636,3,31,9,0,1,16,17
4,4,2015-11-24,@,Ohio State,W,82,74,29,70,.414,10,25,.400,14,18,.778,16,39,11,5,2,8,23,,26,57,.456,5,14,.357,17,27,.630,15,39,8,4,7,14,18
5,5,2015-11-27,,North Carolina Central,W,71,50,26,64,.406,4,24,.167,15,26,.577,14,37,15,7,10,13,17,,16,58,.276,1,12,.083,17,21,.810,17,45,6,8,1,19,25
6,6,2015-12-01,@,Memphis,L,68,94,23,60,.383,6,20,.300,16,34,.471,8,31,8,9,5,12,22,,32,67,.478,10,23,.435,20,28,.714,10,47,21,8,3,13,27
7,7,2015-12-04,,Jackson State,W (2 OT),95,88,25,68,.368,8,29,.276,37,44,.841,12,43,18,7,5,16,18,,37,85,.435,8,31,.258,6,14,.429,14,43,13,9,5,17,28
8,8,2015-12-08,,Louisiana State-Shreveport,W,82,49,32,62,.516,7,21,.333,11,22,.500,8,33,21,13,10,12,15,,18,58,.310,3,15,.200,10,17,.588,15,39,5,7,0,23,20
9,9,2015-12-12,,Louisiana-Lafayette,W,91,79,31,61,.508,8,20,.400,21,28,.750,8,31,15,8,6,11,18,,28,69,.406,6,21,.286,17,24,.708,15,39,15,5,3,14,21
10,10,2015-12-15,@,Ole Miss,L,80,99,27,62,.435,8,24,.333,18,24,.750,9,28,14,8,2,11,17,,37,65,.569,12,26,.462,13,19,.684,9,33,17,8,4,11,20
11,11,2015-12-18,,Southern,W,83,76,24,53,.453,8,20,.400,27,38,.711,10,36,12,8,4,14,21,,28,62,.452,7,20,.350,13,24,.542,13,34,13,5,2,12,26
12,12,2015-12-22,@,Florida Gulf Coast,W,66,63,29,64,.453,2,17,.118,6,13,.462,10,31,5,8,2,13,15,,22,51,.431,5,14,.357,14,19,.737,7,29,9,7,5,16,14
13,13,2015-12-28,,Prairie View,W,77,58,25,55,.455,7,18,.389,20,29,.690,12,36,16,9,8,19,14,,21,64,.328,3,17,.176,13,14,.929,9,28,12,8,6,16,20
14,14,2016-01-02,,Southern Miss,W,87,57,25,58,.431,10,28,.357,27,38,.711,14,33,19,15,7,8,20,,20,46,.435,3,14,.214,14,26,.538,11,29,10,3,1,19,25
15,15,2016-01-07,,Old Dominion,L,53,56,18,52,.346,8,24,.333,9,12,.750,5,27,10,4,6,11,13,,23,55,.418,3,8,.375,7,11,.636,8,34,10,8,4,10,15
16,16,2016-01-09,,Charlotte,W (1 OT),93,90,35,61,.574,14,24,.583,9,18,.500,4,32,21,4,1,12,13,,36,82,.439,9,32,.281,9,17,.529,19,48,21,6,1,10,19
17,17,2016-01-14,@,Florida International,L,74,88,29,70,.414,6,24,.250,10,17,.588,16,37,10,2,2,8,14,,33,58,.569,10,20,.500,12,16,.750,6,31,17,4,6,9,16
18,18,2016-01-16,@,Florida Atlantic,L,61,63,23,58,.397,3,11,.273,12,20,.600,9,40,6,3,5,13,17,,20,54,.370,6,22,.273,17,21,.810,3,27,9,5,3,7,20
19,19,2016-01-23,@,Southern Miss,W,70,59,20,53,.377,7,24,.292,23,31,.742,8,41,8,4,8,9,17,,21,55,.382,5,23,.217,12,18,.667,4,31,12,6,4,10,21
20,20,2016-01-28,,UTSA,W,85,75,27,52,.519,8,21,.381,23,32,.719,5,38,22,3,10,10,21,,27,71,.380,8,27,.296,13,18,.722,9,35,18,3,0,5,21
21,21,2016-01-31,,UTEP,W,78,70,25,60,.417,12,27,.444,16,23,.696,9,31,15,6,4,13,19,,27,53,.509,2,13,.154,14,22,.636,8,34,17,8,6,22,18
22,22,2016-02-04,@,Rice,W,90,78,34,61,.557,6,15,.400,16,25,.640,11,39,9,5,1,17,24,,25,58,.431,9,23,.391,19,26,.731,7,26,12,4,1,14,18
23,23,2016-02-06,@,North Texas,L,69,80,22,52,.423,2,16,.125,23,33,.697,8,29,5,7,1,16,31,,22,42,.524,6,15,.400,30,40,.750,5,31,11,3,4,14,28
24,24,2016-02-11,,Middle Tennessee,W,73,63,26,48,.542,4,17,.235,17,31,.548,5,34,17,12,4,17,13,,27,68,.397,5,21,.238,4,10,.400,12,37,14,8,0,12,21
