,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Cal State Fullerton,W,79,74,25,72,.347,6,24,.250,23,29,.793,14,37,13,6,4,10,22,,27,57,.474,6,16,.375,14,19,.737,9,39,18,4,2,18,26
2,2,2015-11-15,@,UC-Irvine,L,53,77,17,62,.274,4,17,.235,15,19,.789,14,30,8,9,2,16,25,,27,51,.529,5,19,.263,18,26,.692,8,39,17,12,6,17,20
3,3,2015-11-19,@,Colorado State,L,75,83,27,58,.466,9,25,.360,12,16,.750,6,24,13,8,0,7,30,,21,49,.429,9,18,.500,32,42,.762,13,37,18,3,3,12,14
4,4,2015-11-22,,Antelope Valley,W,86,62,33,66,.500,9,24,.375,11,15,.733,18,41,23,10,5,14,16,,22,52,.423,5,18,.278,13,19,.684,9,23,16,8,1,16,15
5,5,2015-11-25,,Cal State Northridge,W (1 OT),82,80,28,67,.418,9,25,.360,17,22,.773,10,26,17,10,2,11,22,,24,53,.453,7,18,.389,25,27,.926,12,38,21,8,1,20,22
6,6,2015-11-28,@,Southeast Missouri State,W,73,60,23,63,.365,10,31,.323,17,19,.895,11,36,14,13,5,13,21,,20,56,.357,4,19,.211,16,25,.640,12,39,13,8,3,18,16
7,7,2015-12-02,@,Oregon State,L,70,79,31,69,.449,8,26,.308,0,2,.000,13,29,20,10,2,11,17,,27,57,.474,10,26,.385,15,18,.833,12,35,16,8,5,16,13
8,8,2015-12-06,,UC-Riverside,W,77,76,27,63,.429,9,22,.409,14,18,.778,11,34,18,9,3,12,20,,23,58,.397,9,27,.333,21,24,.875,9,33,16,6,6,15,18
9,9,2015-12-09,@,Boise State,L,66,67,27,67,.403,7,20,.350,5,7,.714,12,36,10,2,6,12,24,,19,47,.404,9,28,.321,20,29,.690,6,29,14,3,1,13,16
10,10,2015-12-12,@,Cal State Fullerton,W,82,70,32,59,.542,10,19,.526,8,13,.615,8,27,21,4,3,9,22,,22,53,.415,8,21,.381,18,28,.643,10,28,12,1,1,13,19
