Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Tennessee State,L,71,86,19,55,.345,6,19,.316,27,43,.628,11,32,9,8,4,13,27,,29,55,.527,5,15,.333,23,28,.821,7,34,14,5,4,16,28
2,2,2015-11-16,,LIU-Brooklyn,L,68,71,25,55,.455,3,14,.214,15,23,.652,11,32,13,5,2,14,18,,26,64,.406,7,22,.318,12,16,.750,17,39,14,7,6,13,22
3,3,2015-11-18,@,UMBC,W,76,57,28,58,.483,4,13,.308,16,19,.842,12,41,15,4,3,10,18,,22,55,.400,6,19,.316,7,16,.438,6,26,11,6,1,9,12
4,4,2015-11-21,@,St. Bonaventure,L,82,94,32,61,.525,11,21,.524,7,14,.500,10,24,17,6,4,10,23,,30,54,.556,8,18,.444,26,30,.867,8,30,16,5,4,11,18
5,5,2015-11-24,,Stony Brook,L,63,76,23,58,.397,2,17,.118,15,17,.882,6,24,10,7,2,11,18,,29,56,.518,8,21,.381,10,18,.556,11,38,21,7,4,15,15
6,6,2015-11-28,@,Siena,L (1 OT),82,90,30,64,.469,10,24,.417,12,16,.750,12,30,13,7,3,15,24,,29,58,.500,10,18,.556,22,27,.815,12,32,14,6,6,15,18
7,7,2015-12-01,@,Kansas,L,61,94,22,61,.361,5,19,.263,12,20,.600,9,34,6,10,1,19,25,,37,73,.507,8,20,.400,12,26,.462,14,43,17,8,8,13,16
8,8,2015-12-05,@,Mount St. Mary's,L,68,85,25,61,.410,2,17,.118,16,21,.762,11,39,9,9,5,23,26,,26,63,.413,12,22,.545,21,33,.636,13,36,16,11,6,18,22
9,9,2015-12-08,,Towson,L,54,65,21,60,.350,5,15,.333,7,9,.778,11,27,8,6,5,13,23,,19,50,.380,4,14,.286,23,34,.676,13,38,7,5,7,18,19
10,10,2015-12-22,@,Fairfield,L (1 OT),88,94,33,68,.485,4,19,.211,18,26,.692,11,33,7,7,6,11,25,,32,60,.533,11,23,.478,19,22,.864,5,29,17,6,1,12,20
11,11,2015-12-27,@,Northwestern,L,59,74,23,57,.404,5,23,.217,8,10,.800,7,25,16,7,2,6,19,,28,52,.538,8,17,.471,10,17,.588,7,29,17,2,6,10,9
12,12,2015-12-30,,American,W,75,67,20,40,.500,8,13,.615,27,31,.871,5,29,12,4,2,14,24,,23,50,.460,4,11,.364,17,25,.680,4,18,14,8,0,8,20
13,13,2016-01-02,@,Lafayette,W,81,78,27,58,.466,7,15,.467,20,26,.769,7,35,11,3,5,6,19,,25,65,.385,11,22,.500,17,19,.895,10,31,13,3,7,7,19
14,14,2016-01-06,,Lehigh,W,51,50,18,57,.316,4,19,.211,11,16,.688,9,37,9,2,6,7,19,,16,48,.333,3,9,.333,15,26,.577,7,36,5,4,5,8,19
15,15,2016-01-09,,Army,L,59,73,22,57,.386,2,16,.125,13,19,.684,8,30,5,2,7,15,22,,28,63,.444,4,16,.250,13,22,.591,14,42,16,7,2,11,18
16,16,2016-01-13,@,Navy,L,52,60,16,52,.308,6,24,.250,14,20,.700,9,28,8,8,1,17,30,,17,41,.415,3,14,.214,23,35,.657,10,34,8,6,9,18,20
17,17,2016-01-18,@,Boston University,L (1 OT),84,87,29,58,.500,9,23,.391,17,30,.567,13,37,20,5,0,13,28,,28,53,.528,8,19,.421,23,33,.697,5,24,21,5,3,8,24
18,18,2016-01-20,,Bucknell,L,58,67,22,58,.379,1,15,.067,13,22,.591,11,37,12,4,3,15,24,,20,48,.417,4,16,.250,23,37,.622,5,31,7,8,5,10,20
19,19,2016-01-27,@,Holy Cross,W,71,54,30,52,.577,2,9,.222,9,14,.643,7,31,15,6,1,14,14,,23,60,.383,4,23,.174,4,8,.500,7,25,10,7,0,11,16
20,20,2016-01-30,,Lafayette,W,84,77,28,58,.483,6,12,.500,22,26,.846,8,27,13,5,3,3,18,,28,63,.444,8,22,.364,13,17,.765,8,32,17,2,3,8,22
21,21,2016-02-01,,Colgate,W,68,65,21,56,.375,7,24,.292,19,25,.760,9,31,12,6,4,10,15,,23,56,.411,7,23,.304,12,15,.800,11,32,11,5,7,10,19
22,22,2016-02-03,@,Lehigh,L,66,71,23,54,.426,4,16,.250,16,21,.762,13,36,15,3,3,15,20,,26,55,.473,7,15,.467,12,17,.706,8,27,17,8,4,11,17
23,23,2016-02-06,@,Army,W (2 OT),100,99,34,72,.472,1,10,.100,31,37,.838,10,40,7,9,8,13,32,,31,82,.378,8,29,.276,29,40,.725,24,50,12,4,6,15,27
24,24,2016-02-10,,Navy,L,51,71,15,45,.333,4,19,.211,17,21,.810,7,23,9,6,0,15,16,,27,47,.574,7,16,.438,10,17,.588,7,28,18,7,5,15,20
