,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-16,@,Saint Mary's (CA),L,63,89,16,42,.381,7,15,.467,24,35,.686,5,18,13,8,0,16,21,,30,52,.577,10,24,.417,19,26,.731,11,37,24,9,5,13,30
2,2,2015-11-21,,Bucknell,L,67,80,23,67,.343,8,25,.320,13,20,.650,10,32,14,9,3,10,29,,22,51,.431,5,18,.278,31,42,.738,13,45,15,8,3,17,22
3,3,2015-11-25,,George Mason,W,69,67,26,62,.419,6,20,.300,11,15,.733,8,22,14,11,5,9,20,,22,44,.500,4,11,.364,19,23,.826,7,35,14,2,3,25,19
4,4,2015-11-28,@,Fordham,L,64,87,19,51,.373,6,23,.261,20,33,.606,5,18,14,7,1,15,19,,31,55,.564,10,19,.526,15,24,.625,10,38,19,10,7,19,26
5,5,2015-12-04,@,Siena,L,54,89,21,50,.420,3,14,.214,9,13,.692,7,23,6,9,1,23,34,,27,55,.491,4,12,.333,31,44,.705,17,40,13,10,3,20,19
6,6,2015-12-06,,Marist,L,70,75,25,54,.463,9,24,.375,11,17,.647,12,27,18,8,1,20,22,,22,43,.512,9,16,.563,22,26,.846,4,20,14,4,1,16,19
7,7,2015-12-09,,Columbia,L,71,72,20,47,.426,9,26,.346,22,33,.667,11,35,12,2,2,13,21,,24,53,.453,4,16,.250,20,28,.714,8,29,16,4,1,9,25
8,8,2015-12-12,@,Memphis,L,57,89,17,53,.321,6,30,.200,17,21,.810,5,25,9,8,0,15,30,,33,56,.589,1,8,.125,22,33,.667,9,38,18,9,7,11,21
9,9,2015-12-14,,St. Francis (NY),W,71,60,25,45,.556,8,13,.615,13,17,.765,2,26,13,11,1,19,17,,21,48,.438,5,19,.263,13,22,.591,5,25,12,7,2,19,17
10,10,2015-12-20,@,Morgan State,W (1 OT),78,66,24,50,.480,10,24,.417,20,23,.870,6,30,14,9,1,15,31,,22,46,.478,2,8,.250,20,29,.690,4,23,9,5,2,12,20
11,11,2015-12-29,@,Eastern Kentucky,L,64,76,21,51,.412,10,24,.417,12,20,.600,3,31,17,4,2,15,17,,28,61,.459,7,23,.304,13,15,.867,6,34,22,4,2,8,18
12,12,2016-01-02,,Fairfield,W,72,66,26,61,.426,3,15,.200,17,22,.773,10,40,12,10,3,18,25,,24,61,.393,7,22,.318,11,21,.524,8,36,11,7,5,18,19
13,13,2016-01-04,,Siena,W (3 OT),92,87,29,72,.403,9,26,.346,25,30,.833,13,38,20,9,5,19,24,,30,70,.429,3,10,.300,24,31,.774,13,42,17,11,8,22,25
14,14,2016-01-07,@,Canisius,W,94,86,29,52,.558,14,22,.636,22,29,.759,5,22,21,5,0,8,27,,25,50,.500,9,22,.409,27,35,.771,7,23,17,2,3,11,24
15,15,2016-01-09,@,Niagara,L,53,55,20,50,.400,3,12,.250,10,15,.667,7,25,13,7,0,10,13,,21,59,.356,3,11,.273,10,13,.769,16,42,13,3,2,15,18
16,16,2016-01-15,,Canisius,L,62,65,20,50,.400,8,21,.381,14,21,.667,8,27,15,9,1,14,19,,22,51,.431,3,14,.214,18,23,.783,9,33,13,9,3,14,17
17,17,2016-01-17,,Niagara,W,69,64,22,48,.458,9,23,.391,16,23,.696,4,23,16,7,2,13,23,,20,41,.488,2,12,.167,22,32,.688,5,28,6,7,5,18,21
18,18,2016-01-21,,Monmouth,W,78,71,26,55,.473,10,25,.400,16,21,.762,6,26,17,10,3,11,23,,26,58,.448,5,17,.294,14,20,.700,13,35,13,6,5,16,20
19,19,2016-01-29,@,Iona,L,56,70,16,45,.356,8,20,.400,16,20,.800,2,25,13,3,1,13,17,,25,50,.500,9,28,.321,11,18,.611,6,29,19,7,2,10,20
20,20,2016-02-02,,Rider,W,65,57,22,42,.524,8,15,.533,13,18,.722,1,20,13,5,4,9,19,,21,50,.420,3,14,.214,12,16,.750,8,29,11,4,2,14,20
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-02-07,@,Fairfield,L,70,80,22,53,.415,8,27,.296,18,21,.857,5,18,13,8,3,14,22,,27,51,.529,6,15,.400,20,27,.741,15,44,18,4,4,23,21
22,22,2016-02-11,,Quinnipiac,W,84,77,27,55,.491,7,14,.500,23,33,.697,10,33,18,9,6,14,18,,26,63,.413,10,22,.455,15,24,.625,14,37,20,10,10,15,24
23,23,2016-02-13,@,Marist,W,81,73,24,59,.407,10,27,.370,23,26,.885,9,35,16,9,2,13,22,,24,57,.421,7,20,.350,18,26,.692,11,39,10,5,1,17,21
24,24,2016-02-15,@,Monmouth,L,70,79,24,57,.421,5,20,.250,17,21,.810,8,32,8,9,6,15,19,,28,56,.500,5,14,.357,18,24,.750,3,25,11,8,3,15,19
25,25,2016-02-17,@,St. Peter's,L,69,70,26,54,.481,4,20,.200,13,14,.929,4,24,13,7,2,11,23,,25,51,.490,7,13,.538,13,23,.565,7,30,16,6,0,12,16
26,26,2016-02-21,@,Quinnipiac,W,63,59,20,44,.455,8,15,.533,15,21,.714,2,21,12,11,1,14,22,,23,52,.442,6,19,.316,7,11,.636,8,33,13,4,0,17,20
27,27,2016-02-23,,St. Peter's,L,40,61,15,57,.263,3,23,.130,7,12,.583,10,29,7,6,5,12,18,,25,54,.463,4,13,.308,7,10,.700,10,41,18,8,3,14,15
28,28,2016-02-26,,Iona,L,73,86,24,53,.453,8,21,.381,17,19,.895,8,27,15,9,1,19,19,,29,59,.492,11,32,.344,17,21,.810,10,32,20,10,0,16,19
29,29,2016-02-28,@,Rider,L,57,60,19,52,.365,9,28,.321,10,11,.909,8,27,17,7,2,14,22,,19,42,.452,2,16,.125,20,26,.769,7,30,14,8,6,14,17
30,30,2016-03-03,N,Marist,W,81,63,33,52,.635,8,12,.667,7,11,.636,6,30,17,4,5,12,13,,23,54,.426,7,19,.368,10,11,.909,3,18,11,6,1,11,14
31,31,2016-03-05,N,Siena,L,76,89,27,61,.443,8,19,.421,14,20,.700,7,19,16,9,2,11,28,,24,50,.480,6,16,.375,35,45,.778,16,43,17,5,5,20,22
