Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Holy Cross,L,64,67,23,56,.411,4,24,.167,14,19,.737,9,35,11,3,4,10,19,,23,55,.418,8,23,.348,13,15,.867,4,31,14,4,2,9,18
2,2,2015-11-17,,Dartmouth,W,73,63,22,44,.500,10,23,.435,19,26,.731,3,32,11,6,6,19,23,,21,62,.339,3,19,.158,18,25,.720,11,36,12,11,2,14,25
3,3,2015-11-21,@,Kent State,L,72,79,27,53,.509,8,22,.364,10,14,.714,3,23,12,4,3,10,22,,26,58,.448,4,13,.308,23,29,.793,10,35,17,4,3,9,17
4,4,2015-11-29,@,Vermont,L,60,86,23,54,.426,6,17,.353,8,11,.727,4,18,8,7,4,11,13,,36,63,.571,7,17,.412,7,14,.500,16,44,13,9,2,13,15
5,5,2015-12-04,,Iona,L,66,101,25,66,.379,9,26,.346,7,11,.636,15,32,7,2,3,17,17,,38,60,.633,12,25,.480,13,20,.650,8,32,24,12,7,9,17
6,6,2015-12-06,@,Manhattan,W,75,70,22,43,.512,9,16,.563,22,26,.846,4,20,14,4,1,16,19,,25,54,.463,9,24,.375,11,17,.647,12,27,18,8,1,20,22
7,7,2015-12-09,,Albany (NY),L,53,75,19,51,.373,5,24,.208,10,18,.556,5,24,10,5,4,14,21,,28,57,.491,6,13,.462,13,24,.542,14,45,18,9,0,15,18
8,8,2015-12-12,,Delaware,L,69,70,21,53,.396,11,28,.393,16,22,.727,5,22,13,4,6,6,19,,23,53,.434,6,16,.375,18,28,.643,10,40,14,2,2,12,17
9,9,2015-12-20,@,Army,W,89,83,33,63,.524,5,12,.417,18,25,.720,6,37,13,2,5,10,23,,30,77,.390,7,38,.184,16,24,.667,14,37,13,2,3,5,24
10,10,2015-12-22,N,Brown,W (2 OT),84,83,29,72,.403,8,27,.296,18,21,.857,10,33,11,13,4,14,24,,29,59,.492,7,15,.467,18,25,.720,3,38,18,8,0,19,18
11,11,2015-12-29,@,Jacksonville,L,68,69,23,49,.469,12,26,.462,10,13,.769,2,23,11,2,3,17,15,,27,62,.435,10,22,.455,5,11,.455,14,36,11,9,3,16,19
12,12,2016-01-02,,Canisius,L,83,92,29,62,.468,15,35,.429,10,17,.588,8,29,17,6,0,11,24,,28,57,.491,9,24,.375,27,34,.794,11,34,15,4,4,10,17
13,13,2016-01-04,,St. Peter's,L,60,68,19,51,.373,10,26,.385,12,17,.706,5,30,10,8,3,12,17,,26,64,.406,6,21,.286,10,18,.556,16,44,14,11,3,11,16
14,14,2016-01-09,@,Iona,L,80,90,28,66,.424,11,24,.458,13,19,.684,10,32,13,3,1,7,20,,31,61,.508,11,30,.367,17,22,.773,6,33,16,1,4,7,18
15,15,2016-01-14,@,Rider,L (2 OT),100,102,28,68,.412,13,36,.361,31,46,.674,9,39,16,5,1,15,32,,32,66,.485,7,19,.368,31,47,.660,8,43,12,7,4,13,29
16,16,2016-01-17,@,St. Peter's,L,67,76,20,57,.351,7,21,.333,20,27,.741,12,29,10,10,3,13,29,,22,45,.489,6,10,.600,26,35,.743,10,36,15,8,2,15,22
17,17,2016-01-22,,Fairfield,L,76,88,23,58,.397,12,32,.375,18,26,.692,11,29,16,5,2,14,21,,31,50,.620,6,16,.375,20,26,.769,6,30,19,10,4,15,19
18,18,2016-01-24,@,Monmouth,L,72,83,23,67,.343,7,36,.194,19,22,.864,13,42,11,2,2,13,22,,27,59,.458,10,22,.455,19,23,.826,6,32,11,4,2,9,22
19,19,2016-01-28,,Niagara,L,66,69,25,51,.490,10,21,.476,6,14,.429,3,22,11,5,4,15,21,,27,62,.435,3,15,.200,12,18,.667,13,35,11,7,3,13,18
20,20,2016-01-30,@,Siena,L,66,77,25,62,.403,4,29,.138,12,19,.632,11,30,9,7,2,8,19,,29,60,.483,7,22,.318,12,18,.667,10,39,17,8,3,13,18
21,21,2016-02-04,@,Quinnipiac,L,53,79,16,59,.271,2,19,.105,19,24,.792,13,35,5,3,1,9,12,,30,65,.462,13,26,.500,6,11,.545,13,43,16,5,6,9,24
22,22,2016-02-07,,Siena,W,79,73,24,51,.471,8,22,.364,23,28,.821,6,21,14,7,4,7,17,,26,53,.491,9,19,.474,12,17,.706,11,31,12,5,3,14,22
23,23,2016-02-09,,Monmouth,L,61,87,20,60,.333,7,26,.269,14,18,.778,8,32,10,2,2,12,18,,31,61,.508,11,27,.407,14,20,.700,8,41,18,10,2,9,23
24,24,2016-02-13,,Manhattan,L,73,81,24,57,.421,7,20,.350,18,26,.692,11,39,10,5,1,17,21,,24,59,.407,10,27,.370,23,26,.885,9,35,16,9,2,13,22
25,25,2016-02-15,@,Fairfield,L,73,76,25,54,.463,8,19,.421,15,24,.625,4,32,15,4,4,13,20,,24,58,.414,13,28,.464,15,20,.750,4,28,12,4,4,11,20
26,26,2016-02-18,@,Niagara,L,72,76,26,68,.382,8,29,.276,12,16,.750,14,41,9,3,1,9,21,,26,60,.433,4,13,.308,20,29,.690,12,39,14,2,4,9,13
27,27,2016-02-20,@,Canisius,L,66,81,23,59,.390,10,29,.345,10,11,.909,12,29,16,1,4,10,11,,31,62,.500,7,20,.350,12,12,1.000,9,32,14,4,4,7,17
28,28,2016-02-23,,Rider,W,71,58,24,50,.480,8,20,.400,15,17,.882,5,37,12,1,1,10,19,,21,60,.350,7,18,.389,9,18,.500,10,30,10,4,3,5,15
29,29,2016-02-26,,Quinnipiac,W,91,77,31,55,.564,7,18,.389,22,27,.815,5,27,14,3,1,11,14,,28,62,.452,12,29,.414,9,13,.692,11,33,17,7,1,14,23
30,30,2016-03-03,N,Manhattan,L,63,81,23,54,.426,7,19,.368,10,11,.909,3,18,11,6,1,11,14,,33,52,.635,8,12,.667,7,11,.636,6,30,17,4,5,12,13
