,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Belmont,L,80,83,28,65,.431,6,26,.231,18,27,.667,15,43,19,7,4,11,20,,30,66,.455,12,34,.353,11,17,.647,8,30,23,2,1,12,22
2,2,2015-11-16,,IUPUI,W (1 OT),75,71,24,54,.444,3,17,.176,24,29,.828,10,32,13,9,2,20,15,,26,66,.394,9,32,.281,10,10,1.000,12,32,15,12,3,17,24
3,3,2015-11-19,,Iowa,L,61,89,22,57,.386,7,30,.233,10,14,.714,4,26,14,6,2,18,14,,36,66,.545,12,22,.545,5,7,.714,7,33,25,14,2,12,17
4,4,2015-11-23,N,LSU,W,81,80,30,58,.517,7,19,.368,14,24,.583,9,40,21,7,4,22,25,,27,73,.370,8,27,.296,18,25,.720,14,37,15,10,1,12,21
5,5,2015-11-24,N,Arizona State,W (1 OT),78,73,24,57,.421,3,14,.214,27,39,.692,6,36,10,6,6,11,23,,26,69,.377,4,18,.222,17,23,.739,13,45,10,3,4,13,28
6,6,2015-11-29,,Jackson State,W,80,61,30,59,.508,9,26,.346,11,15,.733,5,31,23,12,8,14,14,,25,69,.362,6,19,.316,5,7,.714,14,36,9,8,7,14,17
7,7,2015-12-02,,Grambling,W,95,49,34,58,.586,13,21,.619,14,18,.778,6,39,30,8,6,15,15,,15,57,.263,5,25,.200,14,15,.933,5,23,9,7,1,18,17
8,8,2015-12-05,,Maine,W,104,67,40,65,.615,7,13,.538,17,26,.654,8,44,26,12,11,13,18,,24,72,.333,8,29,.276,11,18,.611,12,32,20,11,3,16,20
9,9,2015-12-08,,San Jose State,W,80,62,28,69,.406,11,28,.393,13,20,.650,16,42,19,10,6,9,20,,23,62,.371,4,22,.182,12,17,.706,13,41,16,4,2,17,19
10,10,2015-12-12,@,Wisconsin,W,57,55,24,46,.522,3,5,.600,6,14,.429,6,32,13,4,3,11,14,,24,66,.364,6,17,.353,1,4,.250,11,33,12,7,4,7,16
11,11,2015-12-21,,Chicago State,W,91,74,29,63,.460,9,22,.409,24,32,.750,17,40,20,14,1,15,14,,29,61,.475,12,28,.429,4,7,.571,9,28,18,7,3,20,24
12,12,2015-12-27,,Presbyterian,W,84,66,30,73,.411,7,22,.318,17,23,.739,19,52,18,8,11,13,14,,26,76,.342,8,26,.308,6,7,.857,15,38,17,9,3,14,18
13,13,2015-12-30,,Seton Hall,L,63,83,24,64,.375,1,11,.091,14,20,.700,9,30,10,10,7,18,24,,27,62,.435,5,10,.500,24,28,.857,16,48,17,8,3,20,23
14,14,2016-01-02,@,Georgetown,L,70,80,22,56,.393,5,10,.500,21,30,.700,6,25,10,8,1,10,23,,26,53,.491,6,15,.400,22,23,.957,7,39,17,7,6,16,21
15,15,2016-01-05,@,Providence,W,65,64,22,43,.512,2,11,.182,19,25,.760,2,28,10,12,5,19,18,,23,61,.377,4,18,.222,14,18,.778,12,33,11,9,3,16,19
16,16,2016-01-09,,St. John's (NY),W,81,75,28,60,.467,7,18,.389,18,21,.857,9,34,23,8,4,20,17,,28,62,.452,11,24,.458,8,12,.667,6,28,20,6,8,18,19
17,17,2016-01-13,@,Villanova,L,68,83,24,53,.453,7,22,.318,13,17,.765,6,28,17,6,2,13,25,,25,56,.446,8,21,.381,25,30,.833,9,31,15,5,4,10,17
18,18,2016-01-16,,Xavier,L,66,74,24,70,.343,4,25,.160,14,21,.667,12,34,18,7,1,9,24,,25,59,.424,5,22,.227,19,26,.731,12,48,15,6,2,15,20
19,19,2016-01-20,,DePaul,L,56,57,20,42,.476,6,16,.375,10,15,.667,5,25,15,7,5,15,16,,22,57,.386,4,14,.286,9,11,.818,12,27,14,9,1,14,20
20,20,2016-01-24,@,St. John's (NY),W,78,73,27,52,.519,2,7,.286,22,29,.759,3,40,6,8,4,22,22,,24,69,.348,9,23,.391,16,23,.696,11,36,11,9,8,13,22
