,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-19,@,Tennessee,L,74,84,27,74,.365,9,35,.257,11,14,.786,13,39,16,6,4,14,26,,26,65,.400,7,23,.304,25,30,.833,13,45,15,7,6,12,16
2,2,2015-11-24,@,Morehead State,L,61,85,20,56,.357,8,25,.320,13,21,.619,6,25,10,9,3,17,23,,32,60,.533,3,10,.300,18,25,.720,11,44,21,13,4,15,21
3,3,2015-11-27,,James Madison,L,75,89,24,68,.353,11,34,.324,16,23,.696,8,27,16,10,6,11,21,,32,63,.508,9,17,.529,16,24,.667,15,50,10,4,3,17,19
4,4,2015-12-01,@,Ohio,L,70,85,29,69,.420,5,22,.227,7,11,.636,9,31,11,11,1,15,23,,30,59,.508,6,16,.375,19,31,.613,10,43,8,7,5,19,15
5,5,2015-12-04,,Akron,L,65,75,24,60,.400,5,25,.200,12,20,.600,7,31,13,4,4,12,19,,27,65,.415,9,26,.346,12,16,.750,14,46,16,7,3,17,17
6,6,2015-12-06,@,James Madison,L,84,107,31,72,.431,7,36,.194,15,28,.536,10,31,16,6,5,8,25,,34,68,.500,14,29,.483,25,34,.735,13,50,23,1,2,10,22
7,7,2015-12-09,,Eastern Illinois,W,82,76,28,57,.491,8,24,.333,18,30,.600,13,44,14,8,2,22,14,,32,71,.451,6,19,.316,6,10,.600,6,25,12,9,0,12,20
8,8,2015-12-12,,Eastern Kentucky,W,96,72,35,69,.507,15,32,.469,11,19,.579,13,43,24,11,2,13,12,,30,63,.476,8,19,.421,4,8,.500,4,24,16,8,4,16,18
9,9,2015-12-14,,North Carolina Central,W,92,73,37,68,.544,8,29,.276,10,13,.769,11,35,21,8,6,9,18,,28,63,.444,6,10,.600,11,18,.611,14,33,14,5,0,15,9
10,10,2015-12-17,N,West Virginia,L,68,86,17,50,.340,6,27,.222,28,36,.778,7,27,8,9,2,19,26,,30,65,.462,6,17,.353,20,35,.571,20,44,15,10,1,17,30
11,11,2015-12-21,N,Wyoming,W,90,82,30,62,.484,11,32,.344,19,22,.864,9,33,16,6,1,12,22,,26,56,.464,12,31,.387,18,21,.857,5,26,13,5,3,13,19
12,12,2015-12-22,N,Grand Canyon,L,81,85,32,68,.471,10,34,.294,7,11,.636,8,35,17,8,2,16,22,,29,63,.460,6,17,.353,21,30,.700,9,35,11,7,0,12,12
13,13,2015-12-27,@,Maryland,L,67,87,27,77,.351,6,31,.194,7,9,.778,12,33,13,10,2,13,13,,34,66,.515,13,27,.481,6,8,.750,9,43,16,4,4,18,12
14,14,2016-01-03,,Western Kentucky,W,94,76,37,71,.521,11,30,.367,9,13,.692,7,27,25,15,1,11,12,,33,60,.550,2,19,.105,8,15,.533,6,36,10,4,6,19,14
15,15,2016-01-07,,Florida Atlantic,W,90,67,35,74,.473,9,28,.321,11,12,.917,15,48,16,8,3,9,15,,24,64,.375,6,24,.250,13,19,.684,6,30,8,5,2,11,12
16,16,2016-01-09,,Florida International,W,99,81,31,58,.534,13,31,.419,24,30,.800,5,33,19,6,1,11,18,,33,71,.465,4,14,.286,11,14,.786,9,34,11,6,1,9,22
17,17,2016-01-14,@,North Texas,W,97,78,35,76,.461,14,34,.412,13,22,.591,11,42,18,7,7,10,18,,30,76,.395,4,14,.286,14,27,.519,11,44,5,8,4,10,17
18,18,2016-01-16,@,Rice,W,94,90,34,61,.557,11,22,.500,15,19,.789,7,33,18,5,2,12,15,,34,71,.479,9,34,.265,13,17,.765,11,31,19,7,0,7,14
19,19,2016-01-21,@,Charlotte,L,95,103,37,69,.536,12,26,.462,9,14,.643,3,29,14,4,4,12,20,,35,68,.515,10,15,.667,23,29,.793,10,42,13,8,2,12,16
20,20,2016-01-23,@,Old Dominion,W,78,75,29,57,.509,7,23,.304,13,16,.813,6,27,16,5,3,10,14,,29,64,.453,6,16,.375,11,14,.786,12,30,19,4,1,7,15
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-28,,Middle Tennessee,W,82,66,28,62,.452,12,36,.333,14,25,.560,8,33,19,7,3,13,19,,25,65,.385,3,16,.188,13,20,.650,12,40,3,7,2,14,20
22,22,2016-01-30,,Alabama-Birmingham,L,78,81,29,69,.420,11,29,.379,9,15,.600,7,34,13,5,2,14,14,,33,70,.471,7,18,.389,8,14,.571,7,39,15,2,3,13,19
23,23,2016-02-04,@,UTEP,L,108,112,38,71,.535,11,28,.393,21,25,.840,10,31,20,3,1,12,24,,37,66,.561,11,18,.611,27,37,.730,10,34,17,6,3,11,22
24,24,2016-02-06,@,UTSA,W,109,91,36,65,.554,18,34,.529,19,30,.633,8,41,30,3,7,14,27,,31,73,.425,5,21,.238,24,34,.706,11,32,16,9,3,10,22
25,25,2016-02-13,@,Western Kentucky,W (1 OT),96,93,37,71,.521,13,32,.406,9,13,.692,7,35,20,5,3,17,22,,35,77,.455,2,18,.111,21,33,.636,14,37,16,10,2,12,20
26,26,2016-02-18,,Charlotte,W,87,72,29,68,.426,12,36,.333,17,23,.739,9,47,15,5,4,15,13,,28,78,.359,8,27,.296,8,14,.571,10,40,13,5,1,11,21
27,27,2016-02-20,,Old Dominion,W,82,65,25,50,.500,10,25,.400,22,30,.733,5,32,16,3,4,11,12,,28,65,.431,1,11,.091,8,12,.667,10,34,8,5,0,11,22
28,28,2016-02-25,@,Alabama-Birmingham,L,91,95,34,77,.442,10,34,.294,13,16,.813,12,36,16,6,6,8,18,,31,66,.470,11,24,.458,22,30,.733,13,42,19,6,8,12,14
29,29,2016-02-27,@,Middle Tennessee,L,74,83,25,51,.490,7,24,.292,17,23,.739,4,26,10,6,2,15,23,,28,57,.491,11,21,.524,16,24,.667,9,34,14,8,2,11,20
30,30,2016-03-03,,Louisiana Tech,L,94,97,35,66,.530,10,26,.385,14,22,.636,5,25,20,7,2,11,17,,32,64,.500,11,20,.550,22,27,.815,7,33,13,8,2,11,20
31,31,2016-03-05,,Southern Miss,W (1 OT),108,106,37,74,.500,8,31,.258,26,33,.788,5,29,18,9,4,6,27,,30,57,.526,15,30,.500,31,41,.756,6,37,17,4,3,20,30
32,32,2016-03-10,N,UTEP,W,87,85,30,69,.435,13,39,.333,14,24,.583,15,41,20,7,3,15,20,,32,68,.471,4,10,.400,17,24,.708,14,34,12,12,2,11,20
